"Symbol","Company Name","ADTValue","Beta","Weighted Score","Wtd Sortino","Wtd BullishVolume","Wtd PriceUp","TDI","TII","MFI","Weighted Score","Price last week","Price this week","Price move %"
"^GSPC","S&P 500 Index","2.114839923213e+13","51.2","69.013","96.9049","52.823","57.31165","50","77.68781","61.88066","69.013","5557.23","5634.61","1.39",""
"XLF","Financial Select Sector SPDR Fund","825106","32.75","67.335","94.6678","52.039","55.29933","100","95.73021","61.56484","67.335","43.78","44.43","1.48",""
"XLI","Industrial Select Sector SPDR Fund","393061274","40.7","65.82","92.3138","50.13","55.01651","100","90.10394","48.02366","65.82","127.08","129.28","1.73",""
"XLK","Technology Select Sector SPDR Fund","1217554552","87.95","65.726","86.6997","51.235","59.24218","50","39.16052","59.81503","65.726","220.88","223.96","1.39",""
"XLV","Health Care Select Sector SPDR Fund","1614199857","19.35","64.011","88.5285","49.688","53.81523","84.59219","99.64001","62.16415","64.011","152.88","155.45","1.68",""
"XLP","Cinsumer Staples Select Sector SPDR Fund","1119587372","12.35","63.926","87.6575","50.947","53.1727","88.900245","100","62.20671","63.926","80.6","81.84","1.54",""
"XLB","Materials Select Sector SPDR Fund","1249989558","34.65","62.691","81.3523","51.764","54.95541","85.305245","64.98504","47.0658","62.691","90.58","92.73","2.37",""
"XLY","Consumer Discretionary Select Sector SPD","812380129","70.4","62.508","80.2999","51.515","55.71027","50","63.77231","54.30408","62.508","183.6","187.87","2.33",""
"XLRE","Real Estate Select Sector SPDR Fund","236892025","18.9","62.103","83.5145","49.673","53.12047","100","100","63.25052","62.103","41.86","43.37","3.61",""
"XLU","SPDR Select Sector Fund - Utili","705776295","10.25","62.059","83.0879","48.226","54.86376","73.76032","99.87678","62.10416","62.059","74.51","75.42","1.22",""
"XLE","Energy Select Sector SPDR Fund","1091749603","22.85","57.403","70.9697","46.433","54.80759","63.054985","21.36511","50.7355","57.403","90.62","90.39","-0.25",""
"^VIX","CBOE Volatility Index","552835997","-540","53.758","75.7742","40.485","45.01404","100","98.19902","42.24844","53.758","15.94","15.86","-0.5",""
