"Symbol","Company Name","ADTValue","Beta","Weighted Score","Wtd Sortino","Wtd BullishVolume","Wtd PriceUp","TDI","TII","MFI","Weighted Score","Price last week","Price this week","Price move %"
"XLK","Technology Select Sector SPDR Fund","2.035676394695e+13","99.75","71.152","99.8","54.48","59.17714","100","100","53.24593","71.152","226.5","228.41","0.84",""
"^GSPC","S&P 500 Index","690720","53.15","69.845","99.8","54.4","55.3358","100","100","56.55161","69.845","5424.08","5464.62","0.75",""
"XLI","Industrial Select Sector SPDR Fund","345952273","54.45","66.617","93.7301","51.602","54.51983","52.967765","58.45871","47.3193","66.617","121.33","122.97","1.35",""
"XLF","Financial Select Sector SPDR Fund","1310648051","22.9","65.903","92.0765","52.028","53.60335","68.456655","85.79307","56.92141","65.903","40.5","41.33","2.05",""
"XLY","Consumer Discretionary Select Sector SPD","1574099602","33.6","63.7","84.0521","51.497","55.54964","50","39.01346","51.91754","63.7","179.48","182.61","1.74",""
"XLB","Materials Select Sector SPDR Fund","1103618606","40.5","62.796","80.2673","52.721","55.39985","54.06273","59.96964","52.10853","62.796","89.29","89.64","0.39",""
"XLV","Health Care Select Sector SPDR Fund","1120357176","18.85","62.403","84.5614","50.847","51.80094","69.029115","89.57769","50.52789","62.403","145.63","146.81","0.81",""
"XLP","Cinsumer Staples Select Sector SPDR Fund","901579489","14.55","60.648","78.6957","50.707","52.54003","100","100","57.29074","60.648","76.59","77.67","1.41",""
"XLU","SPDR Select Sector Fund - Utili","275885874","1.3","57.77","73.2899","48.884","51.13476","89.93175","100","59.87934","57.77","69.7","69.39","-0.44",""
"XLE","Energy Select Sector SPDR Fund","882551758","27.65","57.183","71.9659","47.212","52.37152","41.10605","18.27302","55.92554","57.183","88.6","89.75","1.3",""
"XLRE","Real Estate Select Sector SPDR Fund","977186433","16.8","56.103","70.1559","47.664","50.48928","50","64.53553","52.75514","56.103","38.36","38.48","0.31",""
"^VIX","CBOE Volatility Index","612711768","-370.4","48.036","66.3484","34.87","42.88938","13.92312","0.11195","49.36215","48.036","12.22","13.2","8.02",""
