"Symbol","Company Name","ADTValue","Beta","Weighted Score","Wtd Sortino","Wtd BullishVolume","Wtd PriceUp","TDI","TII","MFI","Weighted Score","Price last week","Price this week","Price move %"
"ESUS","ETRACS 2x Leveraged MSCI US ESG Focus TR ETN","27494923","100","77.153","99.8","77.863","53.79742","100","100","60.94926","77.153","29.59","29.77","0.61",""
"FBGX","UBSAG FI Enhanced Large Cap Growth ETN","19745202","100","76.09","99.8","72","56.4712","100","100","57.59608","76.09","943.29","943.29","0",""
"ROM","ProShares Ultra Technology","44470","100","72.632","99.8","58.932","59.16334","100","100","56.12214","72.632","70.3","69.83","-0.67",""
"XSEP","FT Vest U.S. Equity Enhance & Moderate Buffer ETF - September","1087412","6.8","72.137","99.8","58.69","57.92101","100","100","74.23479","72.137","37.68","37.72","0.11",""
"SPUU","Direxion Daily S&P 500 Bull 2x Shares","207238583","100","71.96","99.8","61.07","55.01059","100","100","50.98515","71.96","131.97","131.65","-0.24",""
"QTOC","Innovator Growth Accelerated Plus ETF - October","7593596","5.9","71.783","99.8","55.438","60.11248","100","100","35.98317","71.783","27.42","27.5","0.29",""
"XBOC","Innovator U.S. Equity Accelerated 9 Buffer ETF - October","3334856","0.55","71.275","99.8","53.916","60.10906","100","100","62.39224","71.275","29.2","29.26","0.21",""
"TECL","Direxion Daily Technology Bull 3X Shares","17942573","100","70.805","99.8","53.498","59.11604","100","100","51.06346","70.805","97.01","97.38","0.38",""
"BULZ","MicroSectors Solactive FANG Innovation 3X Leveraged ETN","4496","100","70.76","99.8","57.586","54.89431","100","98.22364","53.1397","70.76","156.22","161.5","3.38",""
"XTOC","Innovator U.S. Equity Accelerated Plus ETF - October","1384431","-0.2","70.667","99.8","53.524","58.67658","100","100","67.80679","70.667","28.25","28.28","0.11",""
"XDEC","FT Vest U.S. Equity Enhance & Moderate Buffer ETF - December","119097","5.8","70.48","99.8","54.888","56.75191","100","100","60.12423","70.48","36","36.07","0.19",""
"TQQQ","ProShares UltraPro QQQ","129174158","100","69.689","99.8","52.739","56.52722","100","100","53.51867","69.689","73.82","73.82","0",""
"FNGU","MicroSectors FANG+ Index 3X Leveraged ETN","3729352","100","69.427","99.8","55.29","53.19044","100","100","53.21555","69.427","424.3","445.11","4.9",""
"LTL","ProShares Ultra Communication Services","14921882","17.5","69.393","97.454","53.781","56.94388","93.732295","100","39.46332","69.393","67.59","68.05","0.68",""
"SSO","ProShares Ultra S&P 500","20791938","100","69.12","99.8","51.647","55.91426","100","100","50.99027","69.12","82.95","82.6","-0.42",""
"QLD","ProShares Ultra QQQ","3852304","100","69.114","99.8","51.655","55.88766","100","100","54.08324","69.114","99.72","99.81","0.09",""
"SPXL","Direxion Daily S&P 500 Bull 3X Shares","2138852","100","69.075","99.8","51.749","55.6748","100","100","51.2704","69.075","146.82","146.07","-0.51",""
"AAPU","Direxion Daily AAPL Bull 2X Shares","72139271","100","69.06","87.5329","66.224","53.42301","100","100","62.15259","69.06","31.9","32.56","2.07",""
"XDJA","Innovator U.S. Equity Accelerated ETF - January","912788","26.2","68.91","99.8","48.694","58.23611","100","100","30.63343","68.91","27.15","27.15","0",""
"UPRO","ProShares UltraPro S&P500","1916005","100","68.498","99.8","50.814","54.87854","100","100","51.17901","68.498","77.28","76.84","-0.57",""
"QTJA","Innovator Growth Accelerated Plus ETF - January","404228","30.4","68.438","99.8","49.737","55.77783","100","100","63.42751","68.438","23.66","23.72","0.25",""
"GGLL","Direxion Daily GOOGL Bull 2X Shares","189751","64.4","68.319","92.2877","55.884","56.78443","76.241775","100","58.04009","68.319","46.7","47.17","1.01",""
"MTUL","ETRACS 2x Leveraged MSCI US Momentum Factor TR ETN","29728354","100","68.199","99.8","57.292","47.50495","90.919535","100","59.45978","68.199","29.9","27.83","-6.92",""
"SOXL","Direxion Daily Semiconductor Bull 3X Shares","2844","100","68.16","99.289","52.913","52.27889","100","100","54.1596","68.16","56.45","55.36","-1.93",""
