"Symbol","Company Name","ADTValue","AggregateScore","Sortino","Beta","BullishVolume","PriceUp","TDI","TII","MFI"
"EWV","ProShares UltraShort MSCI Japan","513774","22.66","49.9884","-80.9","44.958","44.66667","54.98976","42.84935","47.07729",""
"EZJ","ProShares Ultra MSCI Japan","246769","56.444","74.9838","88.05","47.481","54.5657","29.668615","25.98449","63.37822",""
"FAS","Direxion Daily Financial Bull 3X Shares","85750485","69.89","85.9278","100","47.817","54.66667","71.036455","100","58.74421",""
"FAZ","Direxion Daily Financial Bear 3X Shares","64938594","7.538","40.7597","-172.8","52.043","44.44444","27.745675","0","43.80848",""
"FBL","GraniteShares 2x Long META Daily ETF","24914776","76.971","97.7491","100","48.072","53.45212","90.44799","100","58.62817",""
"FEDL","ETRACS 2x Leveraged IFED Invest with the Fed TR Index ETN","29953","74.041","89.126","100","14.057","53.87931","90.519395","100","80.18507",""
"FLYD","MicroSectors Travel -3x Inverse Leveraged ETN","15332","16.035","44.1346","-194.6","48.17","48.44444","0","0","66.09451",""
"FLYU","MicroSectors Travel 3x Leveraged ETN","104282","76.385","81.4481","100","53.569","50.66964","100","100","49.01064",""
"FNGD","MicroSectors FANG+ Index -3X Inverse Leveraged ETN","40838588","4.421","30.2","-231.05","52.725","44","4.27327","0","43.6167",""
"FNGG","Direxion Daily NYSE FANG+ Bull 2X Shares","2374569","75.258","99.8","100","49.823","55.55556","82.22157","99.82137","57.36197",""
"FNGO","MicroSectors FANG+ Index 2X Leveraged ETN","1488906","75.377","99.8","100","50.436","55.55556","83.280425","99.96027","55.32807",""
"FNGU","MicroSectors FANG+ Index 3X Leveraged ETN","330118395","74.817","99.8","100","55.273","54.44444","80.238155","99.24954","54.47336",""
"FXP","ProShares UltraShort FTSE China 50","1042973","48.456","64.5156","34.95","35.528","52.22222","0","0","51.97737",""
"GBTC","Grayscale Bitcoin Trust ETF","171388636","72.62","99.8","100","49.945","50.88889","81.80446","93.5421","50.55579",""
"GDXD","MicroSectors Gold Miners -3X Inverse Leveraged ETNs","15334984","27.658","54.3092","-64.95","50.997","49.11111","20.181005","0","44.50339",""
"GDXU","MicroSectors Gold Miners 3X Leveraged ETN","43669824","62.423","72.1796","60.75","46.463","48.22222","79.66981","92.09397","57.90972",""
"GGLL","Direxion Daily GOOGL Bull 2X Shares","27794137","59.607","86.6575","100","43.354","55.55556","50","72.58115","59.1036",""
"GGLS","Direxion Daily GOOGL Bear 1X Shares ETF","546231","20.082","37.5704","-52.45","50.237","42.88889","46.45532","2.72574","52.51181",""
"GUSH","Direxion Daily S&P Oil & Gas Exp. & Prod. Bull 2X Shares","25971878","41.674","64.2689","47.95","45.718","52.88889","50","28.55059","52.34122",""
"HDGE","AdvisorShares Ranger Equity Bear ETF","1728541","26.045","50.0199","-69.25","47.609","47.55556","17.63462","0","41.65146",""
"HDLB","ETRACS Monthly Pay 2x Leveraged US High Dividend Low Volatility ETN Series B","44404","45.757","67.7576","3.35","58.612","50.55679","50","100","40.01937",""
"HIBL","Direxion Daily S&P 500 High Beta Bull 3X Shares","3102233","68.411","78.4267","100","51.721","51.55556","70.68355","97.96129","57.84728",""
"HIBS","Direxion Daily S&P 500 High Beta Bear 3X Shares","3290389","9.672","49.9954","-208.1","54.741","48.22222","13.237905","0","49.32311",""
"INDL","Direxion Daily MSCI India Bull 2X Shares","2547176","52.304","82.8343","50.5","48.249","55.33333","14.896605","10.94126","48.0638",""
"IWDL","ETRACS 2x Leveraged US Value Factor TR ETN","6222","64.177","85.6581","78.2","52.848","53.8206","57.375925","99.81665","64.14182",""
"IWFL","ETRACS 2x Leveraged US Growth Factor TR ETN","14266","74.155","98.633","100","53.607","55.8209","84.715995","98.02643","43.56613",""
"IWML","ETRACS 2x Leveraged US Size Factor TR ETN","24625","67.537","82.1366","100","39.499","50.87282","69.944715","100","60.36145",""
"JDST","Direxion Daily Junior Gold Miners Index Bear 2X Shares","26969115","34.138","54.4446","-59.4","50.346","52","3.623145","0","48.82355",""
"JETD","MAX Airlines -3X Inverse Leveraged ETNs","62861","17.765","52.883","-147","36.923","47.32143","0","0","34.22422",""
"JNUG","Direxion Daily Junior Gold Miners Index Bull 2X Shares","42353218","65.96","74.7956","55.85","47.874","47.77778","89.19522","99.43118","57.60148",""
