"Symbol","Company Name","ADTValue","Beta","Weighted Score","Wtd Sortino","Wtd BullishVolume","Wtd PriceUp","TDI","TII","MFI","Weighted Score","Price last week","Price this week","Price move %"
"WEBL","Direxion Daily Dow Jones Internet Bull 3X Shares","682771","100","63.98","82.3915","53.343","56.20596","43.76813","22.97025","51.99346","63.98","16.18","18.17","12.3",""
"SHNY","MicroSectors Gold 3X Leveraged ETNs","22521535","65.6","63.948","89.3411","51.631","50.87322","100","100","51.69024","63.948","43.5","45.23","3.98",""
"UXI","ProShares Ultra Industrials","8456506","85.95","63.878","89.8071","45.569","56.25835","100","99.57813","42.70749","63.878","36.03","37.26","3.41",""
"UTSL","Direxion Daily Utilities Bull 3X Shares","204509","21.05","63.649","88.6952","47.303","54.94851","98.72712","100","59.03377","63.649","36.68","38.45","4.83",""
"WANT","Direxion Daily Consumer Discretionary Bull 3X Shares","369624","100","63.564","80.2554","54.847","55.59103","50","54.08993","64.39439","63.564","36.62","38.64","5.52",""
"BIB","ProShares Ultra Nasdaq Biotechnology","263719","76.9","63.484","80.6571","59.446","50.34935","54.735405","98.78431","51.16189","63.484","67.88","67.06","-1.21",""
"GBTC","Grayscale Bitcoin Trust ETF","629068","100","63.053","91.9333","47.248","49.97783","15.599525","0","48.28145","63.053","46.62","50.03","7.31",""
"MLPR","ETRACS Quarterly Pay 1.5x Leveraged Alerian MLP Index ETN","315951","37.5","62.702","81.6148","52.167","54.32277","42.09329","14.72807","47.14822","62.702","55.37","57.56","3.96",""
"FBL","GraniteShares 2x Long META Daily ETF","88964936","100","62.608","84.3512","48.954","54.51924","67.204635","95.60192","57.97406","62.608","27.54","31.51","14.42",""
"EURL","Direxion Daily FTSE Europe Bull 3x Shares","54957056","100","62.558","79.7523","56.582","51.34072","77.617905","77.59878","50.18599","62.558","27.92","27.96","0.14",""
"SKYU","ProShares Ultra Nasdaq Cloud Computing ETF","21178915","100","62.477","85.0023","47.164","55.26553","82.25527","83.28445","57.79836","62.477","25.06","27.07","8.02",""
"TECL","Direxion Daily Technology Bull 3X Shares","58946034","100","62.421","81.0766","48.311","57.87632","49.86837","0.52438","55.18027","62.421","80","83.66","4.58",""
"XDOC","Innovator U.S. Equity Accelerated ETF - October","2171972","5.6","62.209","99.8","29.166","57.66118","71.181145","100","64.79668","62.209","29.55","29.58","0.1",""
"DPST","Direxion Daily Regional Banks Bull 3X Shares","1679805","100","62.065","81.0759","54.289","50.82927","50.163925","99.60932","60.0297","62.065","96.28","104.6","8.64",""
"USD","ProShares Ultra Semiconductors","403222570","100","62.007","88.2123","43.148","54.66075","41.04513","1.1441","51.34938","62.007","109.56","111.75","2",""
"CURE","Direxion Daily Healthcare Bull 3X Shares","167384","48.9","61.966","82.3132","50.925","52.65928","100","100","58.72487","61.966","140.18","136.05","-2.95",""
"NUGT","Direxion Daily Gold Miners Index Bull 2X Shares","222639949","100","61.443","82.3694","50.083","51.87682","70.281095","96.7622","56.0681","61.443","50.47","51.16","1.37",""
"OOTO","Direxion Daily Travel & Vacation Bull 2X Shares","13517151","93.9","61.428","73.2952","57.125","53.8645","33.582995","14.729","62.13381","61.428","13.33","14.44","8.33",""
"UYM","ProShares Ultra Materials","37083175","81.25","61.04","79.3523","47.795","55.97142","86.28396","84.37361","53.00824","61.04","28.09","28.72","2.24",""
"MVV","ProShares Ultra MidCap 400","17037306","100","61.019","81.3268","48.351","53.37965","53.498065","72.14847","44.40415","61.019","65.97","68.49","3.82",""
"MTUL","ETRACS 2x Leveraged MSCI US Momentum Factor TR ETN","747118","100","60.939","85.973","42.461","54.38211","50","33.66423","76.67389","60.939","26.72","28.71","7.45",""
"UCYB","ProShares Ultra Nasdaq Cybersecurity ETF","17745756","100","60.809","81.4039","44.821","56.20194","71.352735","85.80711","46.29455","60.809","41.83","42.91","2.58",""
"AMZU","Direxion Daily AMZN Bull 2X Shares","2070938","100","60.695","80.9853","49.491","51.60779","24.072055","6.07634","50.61618","60.695","32.5","34.72","6.83",""
"NVDU","Direxion Daily NVDA Bull 2X Shares","27199","100","60.651","82.4641","45.727","53.76286","40.11533","8.85281","51.32594","60.651","87.3","86.29","-1.16",""
"CONL","GraniteShares 2x Long COIN Daily ETF","4093827","100","60.614","82.5344","51.326","47.98128","0","0","46.23285","60.614","20.07","23.01","14.65",""
