"Symbol","Company Name","ADTValue","Beta","Weighted Score","Wtd Sortino","Wtd BullishVolume","Wtd PriceUp","TDI","TII","MFI","Weighted Score","Price last week","Price this week","Price move %"
"ESUS","ETRACS 2x Leveraged MSCI US ESG Focus TR ETN","5463078","100","80.073","88.7119","97.737","53.77121","100","100","82.0716","80.073","33.34","32.35","-2.97",""
"XDEC","FT Vest U.S. Equity Enhance & Moderate Buffer ETF - December","24442319","6.1","73.97","99.8","64.337","57.77285","93.725245","100","78.75812","73.97","36.93","36.95","0.05",""
"XTJA","Innovator U.S. Equity Accelerated Plus ETF - January","616296","12.8","71.924","97.6764","59.429","58.66765","96.3643","100","72.70945","71.924","27.36","27.38","0.07",""
"XDJA","Innovator U.S. Equity Accelerated ETF - January","20508706","15.95","71.638","97.8997","58.829","58.18673","96.957175","100","55.6094","71.638","28.07","28.04","-0.11",""
"XSEP","FT Vest U.S. Equity Enhance & Moderate Buffer ETF - September","41230","10.65","70.894","99.8","55.287","57.59547","78.28111","99.95588","55.77637","70.894","38.54","38.33","-0.54",""
"UYG","ProShares Ultra Financials","2159139","80.9","70.225","96.2125","57.038","57.42301","76.40187","100","61.43938","70.225","81.2","80.3","-1.11",""
"QTOC","Innovator Growth Accelerated Plus ETF - October","718131","26.6","69.736","92.3975","56.614","60.19598","87.27783","99.41454","63.72317","69.736","28.5","28.01","-1.72",""
"XBOC","Innovator U.S. Equity Accelerated 9 Buffer ETF - October","212465","15.5","68.652","95.6052","50.674","59.67626","66.047355","97.83556","60.83747","68.652","29.9","29.62","-0.94",""
"XTOC","Innovator U.S. Equity Accelerated Plus ETF - October","223295823","20.2","68.618","94.3768","51.593","59.88506","79.862875","97.71405","62.84374","68.618","29.03","28.67","-1.24",""
"SCDL","ETRACS 2x Leveraged U.S. Dividend Factor TR ETN","4850395","36.75","67.817","87.0797","65.416","50.95604","70.265895","100","48.8183","67.817","41.48","40.88","-1.45",""
"FAS","Direxion Daily Financial Bull 3X Shares","14437545","100","67.398","94.5791","50.084","57.53141","77.859595","100","57.73873","67.398","141.78","138.8","-2.1",""
"QTJA","Innovator Growth Accelerated Plus ETF - January","463061","29.7","67.086","88.235","56.64","56.38335","100","100","62.94223","67.086","24.59","24.54","-0.2",""
"LTL","ProShares Ultra Communication Services","43988958","81","67.04","94.3719","49.078","57.66929","100","100","70.16763","67.04","75.52","77.06","2.04",""
"XBJA","Innovator U.S. Equity Accelerated 9 Buffer ETF - January","116249","10.65","66.928","97.8419","45.789","57.15201","93.486845","100","67.48433","66.928","28.45","28.41","-0.14",""
"SPUU","Direxion Daily S&P 500 Bull 2x Shares","178055661","100","66.832","89.8102","54.557","56.1291","100","100","59.80944","66.832","147.34","141.39","-4.04",""
"IWFL","ETRACS 2x Leveraged US Growth Factor TR ETN","213750","100","66.132","83.799","57.892","56.70641","91.133005","97.94344","45.80456","66.132","44.57","43.08","-3.34",""
"NVDL","GraniteShares 2x Long NVDA Daily ETF","3492464","100","66.05","95.0887","47.422","55.63932","84.683595","93.08103","52.98433","66.05","78.97","70.38","-10.88",""
"CHAU","Direxion Daily CSI 300 China A Share Bull 2x Shares","54156903","-67.45","65.734","69.0442","82.947","45.21114","100","99.08512","56.37075","65.734","16.41","15.82","-3.6",""
"AAPU","Direxion Daily AAPL Bull 2X Shares","8246013","100","65.377","79.3436","62.282","54.50505","90.18959","89.278","57.64688","65.377","37.75","34.39","-8.9",""
"OOTO","Direxion Daily Travel & Vacation Bull 2X Shares","23924280","89.75","65.148","81.3715","59.334","54.73762","100","100","64.15485","65.148","17.14","17.06","-0.47",""
"HDLB","ETRACS Monthly Pay 2x Leveraged US High Dividend Low Volatility ETN Series B","8635583","5.8","65.118","82.4369","60.155","52.76209","50","100","39.91973","65.118","14.25","14.36","0.77",""
"DUSL","Direxion Daily Industrials Bull 3X Shares","3246177","100","64.882","88.7501","51.768","54.12762","100","100","58.96552","64.882","64.74","61.94","-4.32",""
"WEBL","Direxion Daily Dow Jones Internet Bull 3X Shares","42334678","100","64.85","85.4016","52.351","56.79823","100","100","55.57116","64.85","20.65","21.09","2.13",""
"DDM","ProShares Ultra Dow 30","116854515","72.95","64.677","86.2584","51.136","56.63661","100","99.92652","53.96942","64.677","95.36","93.85","-1.58",""
"FNGO","MicroSectors FANG+ Index 2X Leveraged ETN","31788736","100","64.656","88.153","49.165","56.64942","78.11953","99.95179","56.21491","64.656","77.18","74.84","-3.03",""
"SSO","ProShares Ultra S&P 500","2668139","100","64.581","89.3417","47.403","56.99729","100","100","54.65857","64.581","92.4","88.63","-4.08",""
"SPXL","Direxion Daily S&P 500 Bull 3X Shares","197938","100","64.511","88.4431","47.726","57.36388","100","100","57.8306","64.511","169.59","159.18","-6.14",""
"SKYU","ProShares Ultra Nasdaq Cloud Computing ETF","1182334","100","64.266","87.1559","49.796","55.84657","100","100","65.22005","64.266","28.93","29.82","3.08",""
"UDOW","ProShares UltraPro Dow 30","94137420","100","64.251","85.1791","50.618","56.95689","100","99.79269","56.17829","64.251","95.4","93.06","-2.45",""
"FNGU","MicroSectors FANG+ Index 3X Leveraged ETN","172630","100","64.101","87.781","50.033","54.4883","73.939835","99.03916","56.13962","64.101","460","437.32","-4.93",""
"UCC","ProShares Ultra Consumer Discretionary","20366345","100","63.888","81.1935","55.458","55.01114","90.49179","100","44.98357","63.888","42.71","41.8","-2.13",""
"UPRO","ProShares UltraPro S&P500","3354879","100","63.869","88.3723","46.408","56.82779","100","100","56.24577","63.869","89.12","83.66","-6.13",""
