[Stock_List]SymbolExchange	sortino_ratio_raw	sortino_ratio_normalised	ta_score	risk_score	combo_score	CQR	Beta	OutlierPC	CloseToSMA6Ratio	UltraShortTerm_Score
NG.TO	3.868	99.8	50.37	63.19	56.09	5	2.77	54.99	0.951	41.168
NGC.V	2.129	89.699	71.65	49.32	54.27	5	-0.77	59.53	0.979	97.179
NGD.TO	0.122	66.415	50.33	36.98	44.03	5	1.04	33.71	0.989	75.036
NKG.V	-0.741	56.403	46.46	34.65	33.61	5	1.1	49.5	0.99	37.5
NKL.V	0.99	76.48	62.93	54.97	52.59	5	-0.75	51.01	1.013	84.13
OCO.V	-1.277	50.182	38.16	44.61	36.55	5	0.1	43.97	0.944	24.415
ODV.V	2.017	88.391	37.35	39.5	42.61	5	1.41	37.24	0.954	33.619
OGN.V	0.307	68.561	39.7	38.02	42.85	5	0.13	52.59	0.978	32.998
OOR.V	0.103	66.194	41.54	28.28	29.22	5	-1.47	50.59	1.0	37.5
PGZ.V	1.321	80.329	42.79	44.78	39.79	5	-0.56	45.89	0.986	37.5
RBX.V	0.277	68.213	49.41	43.11	47.05	5	0.86	54.51	0.987	44.907
RCK.V	0.543	71.302	49.68	48.35	44.87	5	-0.45	47.46	0.987	48.762
REG.V	1.952	87.642	52.39	66.1	55.06	5	0.0	61.89	0.995	49.214
ROS.V	4.933	99.8	52.96	49.63	42.38	5	-0.24	58.23	1.0	37.5
ROX.V	3.019	99.8	43.01	32.75	36.59	5	-2.58	35.19	1.029	37.5
SALT.V	0.709	73.221	33.69	27.78	26.61	5	-1.23	16.89	0.961	23.942
SCZ.V	6.562	99.8	53.6	59.82	53.42	5	1.43	50.42	0.948	68.671
SGML.V	0.804	74.322	42.19	53.43	43.64	5	-0.79	48.62	0.889	13.021
SIC.V	0.0	65.0	27.91	24.68	20.67	5	-1.17	27.17	1.0	25.25
SLI.V	2.709	96.423	37.81	50.1	52.01	5	-0.5	51.9	0.982	26.469
SLVR.V	4.384	99.8	41.71	52.78	46.06	5	1.69	45.19	0.927	36.742
TECK-B.TO	-1.048	52.848	35.45	45.9	36.91	5	0.44	20.95	0.941	37.659
THX.V	1.367	80.856	44.51	47.4	45.85	5	1.86	47.84	0.982	29.232
TKO.TO	4.462	99.8	48.05	47.71	47.53	5	0.54	48.43	0.986	35.585
TMQ.TO	2.895	98.581	51.99	49.52	51.54	5	-1.01	53.68	0.937	44.857
TORQ.V	0.0	65.0	60.01	44.48	43.48	5	0.71	68.58	1.0	50.0
TUD.V	0.918	75.645	56.32	60.36	48.06	5	0.71	71.66	1.014	33.879
WM.TO	4.148	99.8	42.86	41.2	38.52	5	0.99	55.64	1.0	37.5
WPM.TO	0.932	75.81	60.34	54.8	58.68	5	1.49	68.01	1.001	70.845
