"Symbol","Company Name","ADTValue","AggregateScore","Sortino","Beta","BullishVolume","PriceUp","TDI","TII","MFI"
"G.TO","AUGUSTA GOLD CORP","31360","59.645","66.9654","59.1","44.827","37.58389","75.945615","96.82875","60.31952",""
"GBU.V","GABRIEL RESOURCES LTD","3409","55.861","92.1764","100","17.594","27.11864","19.642855","19.50731","73.91935",""
"GGM.V","GRANADA GOLD MINE INC","2993","80.814","99.8","100","69.48","10.42254","100","100","85.99752",""
"GMV.V","GMV MINERALS INC.","14139","66.95","92.7264","10.95","71.06","24.94172","100","100","68.97408",""
"GOT.V","GOLIATH RESOURCES LIMITED","189726","54.537","82.0535","100","59.996","41.33333","50","39.42085","58.95494",""
"GPH.V","GRAPHITE ONE INC","23292","51.211","66.0663","41.55","55.566","39.64365","60.711115","78.80701","55.41943",""
"GRAT.V","GRATOMIC INC","6193","8.652","47.2146","-118.55","51.438","26.78571","50","14.53707","39.14122",""
"GRZ.V","GOLD RESERVE INC","42884","59.927","75.0734","100","71.979","45.87379","0","0","26.5603",""
"GSVR.V","GUANAJUATO SILVER COMPANY LTD","276930","66.108","65.4869","100","59.901","31.77778","86.090975","81.95723","51.45027",""
"HPY.V","HAPPY CREEK MINERALS LTD.","1605","53.827","88.1481","81.75","89.832","13.54582","32.091095","7.20366","60.49379",""
"III.TO","IMPERIAL METALS CORP","901531","56.913","68.638","39.9","20.427","40.88889","89.344035","89.50829","60.33857",""
"IMG.TO","IAMGOLD CORP","13982372","65.363","93.6239","100","60.87","47.11111","50","96.31103","59.62566",""
"JG.V","JAPAN GOLD CORP","5705","66.953","53.0733","100","25.166","29.11051","100","100","61.32303",""
"K.TO","KINROSS GOLD CORP.","44785156","79.921","99.8","98","59.484","53.11111","96.473095","100","56.1088",""
"KC.V","KUTCHO COPPER CORP","6008","30.864","62.6582","-31.75","58.676","29.26829","54.24857","28.27334","60.42684",""
"KNT.TO","K92 MINING INC","6989505","74.001","75.7139","83.9","56.798","47.55556","100","100","54.03918",""
"LA.V","LOS ANDES COPPER LIMITED","12834","35.462","56.4399","3.95","68.624","39.56311","38.661885","0","56.98052",""
