"Symbol","Company Name","ADTValue","Beta","Weighted Score","Wtd Sortino","Wtd BullishVolume","Wtd PriceUp","TDI","TII","MFI","Weighted Score","Price last week","Price this week","Price move %"
"MTT.V","MAGNA TERRA MINERALS INC","13277","100","57.444","80.0067","75.841","16.48395","31.238445","0","59.72418","57.444","0.02","0.03","50",""
"ALDE.V","ALDEBARAN RESOURCES INC","708","-12.65","57.096","76.0982","53.72","41.46986","53.08709","73.76576","56.79386","57.096","1","0.99","-1",""
"III.TO","IMPERIAL METALS CORP","16994","47.55","57.073","70.5825","58.911","41.72653","23.644185","0.84457","51.18823","57.073","2.17","2.14","-1.38",""
"XIM.V","XIMEN MINING CORP","7322164","-55.1","56.616","66.5058","69.57","33.77165","11.50476","0","35.90722","56.616","0.11","0.12","9.09",""
"EMX.V","EMX ROYALTY CORPORATION","27070","67.75","56.156","72.0259","53.509","42.93274","36.09874","19.9498","60.8381","56.156","2.55","2.62","2.75",""
"GGM.V","GRANADA GOLD MINE INC","6398","-75","55.988","84.981","72.049","10.93341","30.04926","18.79662","70.71692","55.988","0.03","0.02","-33.33",""
"LRA.V","LARA EXPLORATION LTD","119248","-10.45","55.974","82.1064","51.814","34.00238","50","100","66.56238","55.974","0.99","0.99","0",""
"EMO.V","EMERITA RESOURCES CORP","62743","100","55.584","80.46","46.147","40.14486","54.14488","98.50521","50.17976","55.584","0.65","0.64","-1.54",""
"NKL.V","NICKEL 28 CAPITAL CORP","29619","100","55.521","58.6045","73.395","34.56482","58.290895","86.89989","66.45814","55.521","0.67","0.71","5.97",""
"MGI.V","MAGNUM GOLDCORP INC","141273","-936.95","54.961","73.5543","72.231","19.0991","34.21927","26.7915","73.48899","54.961","0.01","0.01","0",""
"GSVR.V","GUANAJUATO SILVER COMPANY LTD","118269","90.9","54.878","70.3927","64.079","30.16309","92.984545","96.76095","62.96284","54.878","0.28","0.3","7.14",""
"AMRQ.V","AMAROQ MINERALS LTD","63604","19.3","54.782","77.7108","43.746","42.89021","12.512555","0","23.90851","54.782","1.08","1.11","2.78",""
"GMV.V","GMV MINERALS INC.","55496095","-62.1","54.478","76.751","62.255","24.42943","0","0","48.65032","54.478","0.11","0.12","9.09",""
"AMX.V","AMEX EXPLORATION INC","16939","62.3","54.264","68.8481","51.939","42.00345","27.40518","0","58.76107","54.264","1.39","1.5","7.91",""
"RBX.V","ROBEX RESOURCES INC","22436","-38.55","54.046","70.09","56.061","35.98821","50","85.32183","58.23768","54.046","2.8","2.84","1.43",""
"RG.V","ROMIOS GOLD RESOURCES INC","9292","100","53.977","75.6433","76.538","9.74821","25","15.41408","26.59928","53.977","0.02","0.01","-50",""
"MFG.V","MAYFAIR GOLD CORP","1911","11.85","53.864","68.5972","54.235","38.76094","29.698005","0","45.16642","53.864","1.98","1.9","-4.04",""
"VVC.V","VVC Exploration Corp.","8366","-18.75","53.799","67.7402","83.085","10.57036","29.4702","7.249","27.76637","53.799","0.04","0.04","0",""
"CKG.V","CHESAPEAKE GOLD CORP.","149354","45.85","53.614","76.9684","41.797","42.07714","50","36.55442","45.7083","53.614","2.16","2.2","1.85",""
"FNV.TO","FRANCO-NEVADA CORPORATION","23444","78.65","53.597","67.2619","42.194","51.3358","50","36.47734","49.39139","53.597","167.66","176.02","4.99",""
"LITH.V","LITHIUM CHILE INC","11768","73.8","53.444","73.5792","51.298","35.45558","21.6507","5.01043","41.42905","53.444","0.7","0.72","2.86",""
"NG.TO","NOVAGOLD RES INC.","57068","100","53.402","68.0148","45.49","46.70017","82.097905","99.40894","63.88791","53.402","4.84","5.52","14.05",""
"KC.V","KUTCHO COPPER CORP","324350","-38.2","53.265","71.8525","60.958","26.98358","50","90.94876","62.07551","53.265","0.16","0.16","0",""
"BTO.TO","B2Gold Corp.","5612","88.2","53.261","65.4964","48.197","46.08918","78.728805","62.66875","61.18959","53.261","3.78","4.15","9.79",""
"ADZN.V","ADVENTUS MINING CORPORATION","59461","77.95","53.186","71.9148","56.146","31.49617","50","64.23775","73.03141","53.186","0.37","0.39","5.41",""
"AVU.V","AVRUPA MINERALS LTD.","9659500","33.95","53.162","74.7409","60.92","23.82587","100","96.3139","60.90507","53.162","0.025","0.03","20",""
"LA.V","LOS ANDES COPPER LIMITED","3184","20.55","52.849","57.489","61.072","39.98717","0","0","41.3795","52.849","9.6","9.53","-0.73",""
"ADZ.V","ADAMERA MINERALS CORP","35761618","62.75","52.769","75.8168","59.332","23.15868","96.9465","76.73401","59.23963","52.769","0.145","0.145","0",""
"AR.TO","ARGONAUT GOLD INC.","9384","98.6","52.765","72.9309","50.69","34.67554","52.896635","94.7492","72.45043","52.765","0.47","0.51","8.51",""
"PLY.V","PLAYFAIR MINING LTD","4788893","-84.05","52.105","72.2375","74.651","9.42533","70.13678","0.71599","68.42239","52.105","0.02","0.01","-50",""
"DAN.V","ARIANNE PHOSPHATE INC","44195","1.2","51.784","64.0457","65.501","25.80549","12.67327","21.98128","40.38252","51.784","0.28","0.24","-14.29",""
"SLVR.V","SILVER TIGER METALS INC","5384","100","51.372","73.6869","46.663","33.76694","50","89.75016","66.71598","51.372","0.23","0.24","4.35",""
"ROX.V","CANSTAR RESOURCES INC","104413","-69","51.362","74.2977","66.753","13.03674","1.67598","21.0887","57.90719","51.362","0.03","0.04","33.33",""
"NFG.V","NEW FOUND GOLD CORP","96855","80.7","51.327","61.7668","49.163","43.05001","0","0","47.17962","51.327","3.98","4.48","12.56",""
"NKG.V","NEVADA KING GOLD CORP","82452","65.35","50.942","63.855","61.103","27.86848","19.25798","0","49.78839","50.942","0.26","0.29","11.54",""
"LME.V","LAURION MINERAL EXPLORATION INC","19561","10.15","50.355","65.8576","53.712","31.49643","41.648525","10.35629","56.84705","50.355","0.4","0.38","-5",""
"MTA.V","METALLA ROYALTY AND STREAMING L","22121","78.6","50.22","60.4841","46.154","44.02267","21.391595","13.59462","66.76841","50.22","3.98","4.14","4.02",""
"CMD.V","COMMANDER RESOURCES LTD","39969","-44.4","49.969","75.2882","56.182","18.4376","89.002525","100","76.29939","49.969","0.09","0.09","0",""
"RCK.V","ROCK TECH LITHIUM INC","35724459","40.4","49.95","68.3697","39.216","42.26361","100","100","60.53074","49.95","1.68","1.65","-1.79",""
"G.TO","AUGUSTA GOLD CORP","141312","8.45","49.939","66.5831","46.357","36.8756","24.230935","4.16408","66.18678","49.939","0.9","0.89","-1.11",""
"SLI.V","STANDARD LITHIUM LTD","104092","100","49.685","53.6319","50.594","44.82976","50","43.93299","54.88113","49.685","1.8","1.81","0.56",""
"TUD.V","TUDOR GOLD CORP","44565","98.95","49.447","60.9857","52.091","35.26484","35.192665","1.80671","48.35908","49.447","0.76","0.8","5.26",""
"ELE.V","ELEMENTAL ALTUS ROYALTIES CORP","110","21.3","49.3","64.5375","44.897","38.46465","1.363525","0","76.10347","49.3","1.09","1.12","2.75",""
"OOR.V","OPUS ONE GOLD CORPORATION","1081","100","49.108","81.541","56.423","9.36026","50","48.4266","30.38555","49.108","0.02","0.03","50",""
"BCM.V","BEAR CREEK MINING CORP.","100534","9.45","49.085","70.6984","36.851","39.70535","50","47.78925","68.03703","49.085","0.38","0.35","-7.89",""
"LEM.V","LEADING EDGE MATERIALS CORP","7528","-63.1","48.958","66.051","49.681","31.14129","90.55301","92.24763","59.55731","48.958","0.11","0.11","0",""
"ZNX.V","ZINCX RESOURCES CORP","107636","-117.3","48.71","72.2885","56.166","17.67458","62.894485","97.0262","34.19536","48.71","0.09","0.09","0",""
"AWE.V","THUNDERSTRUCK RESOURCES LTD","2686","100","48.673","67.7006","45.019","33.3004","81.753835","74.0025","40.39695","48.673","0.065","0.06","-7.69",""
"CNC.V","CANADA NICKEL COMPANY INC","890790","36.2","48.585","63.5796","45.501","36.67406","0","0","49.09726","48.585","1.22","1.14","-6.56",""
"AMY.V","RECYCLICO BATTERY MATERIALS INC","1049933","-167.8","48.335","61.9736","57.522","25.50973","23.02217","15.30439","40.3844","48.335","0.11","0.16","45.45",""
"DIAM.TO","STAR DIAMOND CORPORATION","7064","-20.45","47.856","67.9071","64.196","11.46532","47.57606","4.05502","64.9145","47.856","0.07","0.07","0",""
"MAI.V","MINERA ALAMOS INC","4700712","36.25","47.736","65.3496","50.628","27.23035","45.079785","23.4025","53.54213","47.736","0.32","0.3","-6.25",""
"DBG.V","DOUBLEVIEW GOLD CORP","58780","27.95","47.407","60.4106","44.819","36.99039","0","0.25057","49.00404","47.407","0.38","0.325","-14.47",""
"EMN.V","EURO MANGANESE INC","36640","-23.15","47.353","58.1178","56.668","27.27317","0","0","52.91732","47.353","0.07","0.065","-7.14",""
"OIII.V","O3 MINING INC","112014","36.35","47.349","65.8149","34.345","41.88567","0","0.93329","35.5834","47.349","1.35","1.37","1.48",""
"GPH.V","GRAPHITE ONE INC","52895","97.9","46.884","53.9023","49.056","37.69364","29.61643","2.4208","38.27476","46.884","0.68","0.68","0",""
"NOU.V","NOUVEAU MONDE GRAPHITE INC","117369","65","46.728","49.0876","50.51","40.58734","16.931335","3.64613","35.80342","46.728","2.55","2.49","-2.35",""
"PGZ.V","PAN GLOBAL RESOURCES INC.","193913","96.8","46.205","59.9446","44.151","34.51836","27.649935","0","50.54073","46.205","0.17","0.17","0",""
"BRC.V","BLACKROCK SILVER CORP","51522","100","46.168","67.9789","39.358","31.16728","19.229465","0.3907","44.66912","46.168","0.28","0.29","3.57",""
"EAU.V","ENGINEER GOLD MINES LTD","353","100","45.595","67.6397","44.168","24.97783","36.18493","1.6632","47.32571","45.595","0.035","0.035","0",""
"FF.TO","FIRST MINING GOLD CORP","1009","87.15","45.273","67.3513","40.297","28.1695","34.33523","1.60693","53.40959","45.273","0.135","0.14","3.7",""
"SIC.V","SOKOMAN MINERALS CORP","858841","100","45.085","65.2253","57.023","13.0065","50","9.3133","38.17807","45.085","0.05","0.05","0",""
"GRAT.V","GRATOMIC INC","18143","-5.35","44.902","56.569","51.096","27.04182","50","7.72318","38.72814","44.902","0.085","0.1","17.65",""
"ODV.V","OSISKO DEVELOPMENT CORP","5911","27.75","44.867","51.9797","42.475","40.14551","50","11.77686","51.1459","44.867","2.87","2.93","2.09",""
"NGC.V","NORTHERN GRAPHITE CORPORATION","1581","100","44.552","52.4759","47.206","33.97278","50","3.14189","52.30595","44.552","0.12","0.135","12.5",""
"ESK.V","ESKAY MINING CORP.","63332","-58.15","44.359","52.8236","47.61","32.64341","19.10718","15.64697","50.21847","44.359","0.27","0.26","-3.7",""
"CNX.V","CALLINEX MINES INC","69539","18.7","44.273","45.5524","46.607","40.65904","72.192565","61.99681","50.68076","44.273","1.26","1.15","-8.73",""
"ETL.V","E3 LITHIUM LTD","57365","80.3","44.184","56.2071","35.421","40.92535","8.527035","0.98925","45.79419","44.184","1.23","1.23","0",""
"DME.V","DESERT MOUNTAIN ENERGY CORP","1013","100","43.963","58.5992","41.661","31.62789","59.56551","75.12915","45.29008","43.963","0.28","0.29","3.57",""
"FL.V","FRONTIER LITHIUM INC","727065","66.55","43.662","54.8892","43.312","32.78344","13.57118","0.24671","33.90908","43.662","0.67","0.69","2.99",""
"ROS.V","ROSCAN GOLD CORPORATION","61390","-1.2","43.594","61.685","51.977","17.12048","75.101295","55.02915","59.71492","43.594","0.09","0.07","-22.22",""
"SGML.V","SIGMA LITHIUM CORPORATION","1953","77.45","43.365","48.0722","38.145","43.87879","13.317455","2.1745","46.05267","43.365","17","17.01","0.06",""
"MKA.V","MKANGO RESOURCES LTD.","27019","-30.75","43.361","60.2276","46.613","23.2411","27.93642","30.40354","43.18304","43.361","0.1","0.08","-20",""
"THX.V","THOR EXPLORATIONS LTD.","221115","-28.9","42.954","69.5608","34.766","24.53449","50","91.10676","55.70311","42.954","0.26","0.27","3.85",""
"CRE.V","CRITICAL ELEMENTS LITHIUM CORPO","2451","38.4","42.886","46.2472","45.278","37.13328","48.13775","11.61671","41.62356","42.886","0.71","0.66","-7.04",""
"OCO.V","OROCO RESOURCE CORP.","388770","31.9","42.786","54.209","43.82","30.32913","26.295965","0","43.4104","42.786","0.38","0.36","-5.26",""
"LI.V","AMERICAN LITHIUM CORP","21071","77.45","42.751","41.8849","50.981","35.38704","27.942275","2.5656","44.30796","42.751","0.77","0.78","1.3",""
"FPX.V","FPX NICKEL CORP","316015","5.65","42.611","65.3522","35.459","27.02172","12.183995","44.3519","53.45308","42.611","0.3","0.32","6.67",""
"SALT.V","ATLAS SALT INC","57412","58.9","41.647","47.065","42.181","35.69549","17.689955","0","38.28741","41.647","0.58","0.56","-3.45",""
"AVL.TO","AVALON ADVANCED MATERIALS INC","73711612","86.4","41.584","59.744","53.429","11.57921","0.901985","0","21.92336","41.584","0.06","0.06","0",""
"GBU.V","GABRIEL RESOURCES LTD","61914","-274.5","41.529","80.6513","16.107","27.82866","67.41427","25.47921","41.60662","41.529","0.02","0.02","0",""
"MN.V","MANGANESE X ENERGY CORP","1850254","100","40.299","63.0716","42.911","14.9151","15.40301","0.58107","33.11376","40.299","0.06","0.07","16.67",""
"LIO.V","LION ONE METALS LIMITED","8559","25.15","40.272","53.9614","34.591","32.26312","35.208685","36.91971","38.90691","40.272","0.48","0.45","-6.25",""
"ELBM.V","ELECTRA BATTERY MATERIALS CORP","7467","6.6","40.07","56.1629","30.641","33.40658","31.218935","18.19953","48.18578","40.07","0.6","0.59","-1.67",""
"WM.TO","WALLBRIDGE MINING COMPANY LTD","137465","6.15","38.398","64.8092","33.085","17.29884","37.86506","2.65152","45.38346","38.398","0.09","0.08","-11.11",""
"BYN.V","BANYAN GOLD CORP","705","73.05","37.213","54.9452","22.625","34.06849","0","1.35871","38.22862","37.213","0.21","0.21","0",""
"ABR.V","ARBOR METALS CORP","1237191","-17.15","36.518","38.5397","41.683","29.33105","15.449645","0","28.54043","36.518","0.4","0.4","0",""
"AMM.TO","ALMADEN MINERALS LTD.","45031","100","36.335","56.3865","31.772","20.8459","0","0","42.95718","36.335","0.09","0.07","-22.22",""
"TORQ.V","TORQ RESOURCES INC","61950459","78.5","35.832","52.3891","28.779","26.32688","50","0","38.46031","35.832","0.09","0.09","0",""
"JG.V","JAPAN GOLD CORP","6316","100","35.579","56.4025","21.841","28.49234","17.82716","0","14.53864","35.579","0.065","0.065","0",""
"ZFR.V","ZEPHYR MINERALS LTD","3978","100","34.751","62.9974","17.476","23.78005","11.29666","18.44211","44.78553","34.751","0.045","0.045","0",""
"CUSN.V","CORNISH METALS INC","1184","-27.4","27.748","56.2272","5.709","21.30792","0","0","45.10843","27.748","0.1","0.09","-10",""
"ADE.V","ADEX MINING INC.","4356","100","21.667","65","0","0","50","0","32.5","21.667","0.01","0.01","0",""
