"Symbol","Company Name","ADTValue","Beta","Weighted Score","Wtd Sortino","Wtd BullishVolume","Wtd PriceUp","TDI","TII","MFI","Weighted Score","Price last week","Price this week","Price move %"
"GRZ.V","","30093","50","77.556","99.8","83.641","49.22779","100","92.04689","74.16583","77.556","4.85","5.31","9.48",""
"ARTG.V","","666583","50","72.085","99.8","69.636","46.81843","77.120645","100","70.53688","72.085","10.81","10.63","-1.67",""
"K.TO","","90147372","50","71.218","99.8","60.373","53.48017","100","100","68.92473","71.218","11.18","11.07","-0.98",""
"SFR.V","","1820","50","70.165","91.058","86.648","32.78912","50.210955","99.68323","80.89182","70.165","0.31","0.37","19.35",""
"TKO.TO","","3450","50","69.771","99.8","63.002","46.50998","50","100","64.95168","69.771","3.92","3.73","-4.85",""
"ELD.TO","","613668","50","69.103","94.7788","58.23","54.30007","55.52936","100","57.21094","69.103","21.41","22.04","2.94",""
"AEM.TO","","117192396","50","67.896","93.9947","55.274","54.41932","50","100","63.75111","67.896","93.31","92.95","-0.39",""
"CCO.TO","Cameco Corporation","1014","50","67.856","96.4518","54.406","52.71052","77.191145","100","56.83773","67.856","72.32","75.63","4.58",""
"AGI.TO","","15857280","50","67.663","96.2462","54.371","52.37152","50","100","59.80224","67.663","22.82","22.79","-0.13",""
"LUN.TO","","33998","50","66.99","93.7652","54.3","52.90564","54.08996","100","55.36276","66.99","16.7","15.67","-6.17",""
"IMG.TO","","1424275","50","66.675","93.1155","60.174","46.73663","50","100","61.45666","66.675","5.51","5.36","-2.72",""
"VZLA.V","","9964","50","66.566","87.0119","68.264","44.42178","72.74049","100","61.88743","66.566","2.38","2.5","5.04",""
"OSI.V","","18553","50","66.229","99.8","56.965","41.92054","56.72946","100","64.89962","66.229","1.8","1.82","1.11",""
"OGN.V","","159895","50","65.936","99.8","59.128","38.88103","73.228595","100","65.25283","65.936","1.3","1.32","1.54",""
"REG.V","","9186","50","65.109","96.8625","55.871","42.5923","57.759585","100","71.76706","65.109","2.02","1.98","-1.98",""
"NGD.TO","","1703124","50","64.867","98.3455","51.224","45.03277","50","100","65.05521","64.867","2.74","2.98","8.76",""
"CVV.V","","1463945","50","64.736","88.9265","69.187","36.09559","33.96655","15.81568","46.39769","64.736","0.58","0.66","13.79",""
"RGD.V","","13125","50","64.376","86.6441","73.797","32.68588","100","100","80.89083","64.376","0.63","0.66","4.76",""
"MKO.V","","2046","50","64.371","93.7288","55.576","43.80952","90.47191","100","64.32039","64.371","3.51","3.41","-2.85",""
"CAD.V","","1753","50","64.02","92.899","56.49","42.67159","83.387075","90.98531","54.27329","64.02","2.63","2.56","-2.66",""
"GTWO.V","","1131","50","63.547","92.1889","58.701","39.7498","100","100","70.95684","63.547","1.3","1.37","5.38",""
"TECK-B.TO","","151021","50","63.328","88.4076","50.826","50.75142","50","100","55.70389","63.328","70.15","70.89","1.05",""
"AMRQ.V","","129709","50","63.09","86.8964","58.896","43.47885","28.067075","0.25059","25.15304","63.09","1.28","1.31","2.34",""
"AXM.V","","88091","50","62.989","78.9103","93.427","16.62972","81.11111","92.58342","40.72121","62.989","0.02","0.02","0",""
"BSR.V","","15171495","50","62.842","81.7947","71.582","35.14937","64.1394","87.03631","48.46723","62.842","0.47","0.47","0",""
"CUU.V","","62139","50","62.669","79.0972","78.213","30.6958","100","100","70.42341","62.669","0.24","0.3","25",""
"WPM.TO","","247283","50","62.42","85.3599","50.299","51.60187","87.229155","100","50.99368","62.42","77.75","74.65","-3.99",""
"AFR.V","","75788575","50","61.287","67.3825","98.887","17.59214","86.486485","60.47316","25.08737","61.287","0.015","0.01","-33.33",""
"ALDE.V","","72799","50","60.871","81.7067","59.97","40.93506","66.27479","100","54.58329","60.871","1.07","1.1","2.8",""
"SCZ.V","","4047","50","60.795","83.4952","64.372","34.51648","100","100","63.18058","60.795","0.43","0.47","9.3",""
"OLV.V","","332104","50","60.76","83.9183","67.237","31.12481","0","0","62.28758","60.76","0.07","0.07","0",""
"ALS.TO","","22504","50","60.567","74.1653","58.453","49.08204","50","100","53.2652","60.567","21.86","22.01","0.69",""
"LUM.V","","100003","50","60.223","83.6885","62.581","34.39842","50","96.45566","58.76874","60.223","0.57","0.57","0",""
"RG.V","","187484","50","60.18","78.1793","92.386","9.97536","92.105265","40.41038","19.19573","60.18","0.02","0.02","0",""
"KNT.TO","","222635","50","59.864","76.0823","55.716","47.79404","94.041385","100","66.33007","59.864","7.7","7.62","-1.04",""
"ABRA.V","","303380","50","59.362","84.5294","55.501","38.05666","100","100","62.05527","59.362","2.52","2.35","-6.75",""
"XTM.V","","25190","50","59.301","80.9977","67.45","29.45676","84.906275","99.9105","62.70099","59.301","0.08","0.09","12.5",""
"GOT.V","","13643","50","59.18","76.7675","59.218","41.55506","51.75149","91.16425","60.21356","59.18","0.89","0.95","6.74",""
"HPY.V","","57641","50","58.873","75.9107","89.592","11.11647","50","100","68.35712","58.873","0.04","0.04","0",""
"MGG.V","","9678","50","58.31","84.2778","60.817","29.83625","50","94.41573","47.822","58.31","0.3","0.28","-6.67",""
"III.TO","","11979","50","57.938","75.833","56.223","41.75708","89.80334","98.8555","49.81878","57.938","2.4","2.37","-1.25",""
"XIM.V","","3086","50","57.302","67.5818","70.709","33.61643","50","57.55158","31.90936","57.302","0.135","0.135","0",""
"GMV.V","","21387","50","57.239","82.2299","63.628","25.85808","36.899125","29.57992","53.67599","57.239","0.16","0.15","-6.25",""
"TMQ.TO","","7446606","50","57.076","71.2278","60.89","39.10988","45.98701","40.29872","60.76471","57.076","0.66","0.7","6.06",""
"ABX.TO","","36724","50","56.955","69.6787","50.28","50.90613","51.20298","100","61.42698","56.955","23.47","23.25","-0.94",""
"MTT.V","","7248","50","56.865","78.3603","76.208","16.02558","63.216265","94.06601","59.79312","56.865","0.04","0.03","-25",""
"ADZN.V","","130860","50","56.509","83.7045","53.785","32.03732","81.60893","100","78.9298","56.509","0.55","0.53","-3.64",""
"NKL.V","","92865","50","56.327","60.7756","73.002","35.20397","71.723225","77.83678","54.70084","56.327","0.76","0.76","0",""
"PPX.V","","31004","50","56.24","81.3664","68.433","18.91985","50","100","76.3866","56.24","0.06","0.06","0",""
"EMX.V","","176018","50","56.116","72.5173","52.13","43.69943","50","100","63.09692","56.116","2.8","2.63","-6.07",""
"LITH.V","","178489","50","56.038","78.243","53.264","36.60777","50","85.96929","50.29809","56.038","0.77","0.79","2.6",""
"KC.V","","110219","50","55.924","76.7162","62.248","28.80927","66.1222","100","62.56268","55.924","0.185","0.195","5.41",""
"GGM.V","","56432657","50","55.9","86.8425","69.192","11.66461","50","93.01164","71.78986","55.9","0.04","0.04","0",""
"MFG.V","","15581","50","55.864","73.8882","53.977","39.72603","50","48.09754","39.96013","55.864","2.01","2.02","0.5",""
"AMX.V","","43684","50","55.841","72.8567","52.02","42.64597","57.029825","89.2511","63.32311","55.841","1.67","1.65","-1.2",""
"LRA.V","","30291","50","55.734","81.5237","51.562","34.11587","100","100","63.61031","55.734","0.92","0.98","6.52",""
"MGI.V","","3819","50","55.667","74.6528","72.992","19.35671","50","78.5248","72.39318","55.667","0.015","0.015","0",""
"CKG.V","","21249","50","55.651","81.8829","41.386","43.68508","76.74607","100","48.84717","55.651","2.49","2.74","10.04",""
"EMO.V","","155623","50","55.214","82.0924","44.672","38.87756","94.239875","92.22317","59.71247","55.214","0.7","0.68","-2.86",""
"GSVR.V","","31732","50","55.073","70.5973","65.355","29.26632","50","80.61257","68.38245","55.073","0.28","0.31","10.71",""
"ADZ.V","","14973","50","54.842","77.3302","65.806","21.38845","26.20959","27.55835","74.4913","54.842","0.01","0.02","100",""
"DBG.V","","41604","50","54.275","74.4363","49.298","39.08943","57.204475","60.60429","56.71817","54.275","0.48","0.48","0",""
"MAI.V","","422878","50","54.163","73.5359","61.382","27.57231","88.93393","97.30104","62.82603","54.163","0.41","0.39","-4.88",""
"VVC.V","","267201","50","53.968","66.076","84.107","11.72163","72.516555","62.67692","16.4864","53.968","0.05","0.04","-20",""
"LA.V","","3906","50","53.838","58.9257","62.431","40.15684","22.048755","0","42.96132","53.838","10.06","9.94","-1.19",""
"CVW.V","","227427","50","53.519","69.2698","55.086","36.20034","50","62.98125","57.46962","53.519","0.68","0.8","17.65",""
"NFG.V","","9416310","50","53.441","63.7514","53.723","42.84799","50","85.99834","54.26648","53.441","4.89","4.73","-3.27",""
"PLY.V","","15400","50","53.27","75.586","73.668","10.55741","3.37838","14.05973","68.11832","53.27","0.03","0.02","-33.33",""
"DAN.V","","35670866","50","53.131","65.4741","67.791","26.1286","27.54579","0","52.02003","53.131","0.25","0.26","4",""
"AVU.V","","16236","50","53.042","72.9508","62.08","24.09453","25.41841","16.35723","57.88073","53.042","0.02","0.025","25",""
"CMD.V","","5512057","50","52.926","74.9262","64.441","19.41034","50","70.24059","73.90875","52.926","0.08","0.09","12.5",""
"CNC.V","","45142","50","52.738","72.9615","47.33","37.92363","26.5039","35.53462","50.26833","52.738","1.42","1.42","0",""
"LME.V","","4266","50","52.438","69.2623","55.512","32.54102","68.119765","76.35014","55.84037","52.438","0.44","0.44","0",""
"AWE.V","","186069","50","52.293","68.0792","54.643","34.15779","50","13.31808","54.69253","52.293","0.065","0.07","7.69",""
"G.TO","","94931","50","52.271","72.7261","45.398","38.68816","50","100","67.46297","52.271","1.1","1.1","0",""
"FNV.TO","","128659","50","51.936","63.572","42.058","50.17886","63.14448","100","50.9086","51.936","167.77","167.69","-0.05",""
"RBX.V","","36412","50","51.844","69.7152","50.907","34.91109","100","100","62.13643","51.844","2.8","2.85","1.79",""
"NG.TO","","26230","50","51.778","66.5271","42.868","45.94038","65.642355","100","53.92453","51.778","4.97","5.39","8.45",""
"SLVR.V","","54455","50","51.725","74.7672","46.678","33.7285","81.99567","100","67.9346","51.725","0.28","0.25","-10.71",""
"AR.TO","","47943669","50","51.095","69.9716","50.512","32.8002","75.11305","100","65.94846","51.095","0.44","0.45","2.27",""
"MTA.V","","131098","50","50.961","62.3035","45.667","44.91155","50","95.1092","52.38916","50.961","4.46","4.36","-2.24",""
"ELE.V","","173065","50","50.789","66.2199","47.438","38.71003","50","98.47879","74.78279","50.789","1.2","1.15","-4.17",""
"SLI.V","","120089","50","50.754","57.1931","50.781","44.28874","92.247015","90.74922","56.68339","50.754","2.35","2.22","-5.53",""
"ROX.V","","521","50","50.62","75.1611","63.459","13.24139","56.46853","70.63604","49.35353","50.62","0.04","0.05","25",""
"BTO.TO","B2Gold Corp.","1789","50","50.458","60.5298","46.908","43.93496","56.807895","84.84428","57.61629","50.458","3.79","3.84","1.32",""
"NKG.V","","162935","50","50.285","67.9558","52.927","29.9708","11.801765","0","44.97564","50.285","0.34","0.33","-2.94",""
"TUD.V","","9327","50","50.281","59.1446","56.589","35.10815","1.13902","0.31308","45.20068","50.281","0.77","0.78","1.3",""
"CNX.V","","226432","50","50.118","58.2076","49.87","42.27742","53.607195","84.26259","56.83906","50.118","1.4","1.59","13.57",""
"EAU.V","","5986","50","49.987","71.4081","52.623","25.92917","82.017895","100","70.26742","49.987","0.06","0.055","-8.33",""
"BCM.V","","32332","50","49.868","72.6191","37.046","39.93989","79.279635","100","73.86172","49.868","0.41","0.4","-2.44",""
"GPH.V","","911195","50","49.66","60.842","49.06","39.07746","21.16023","21.98745","37.47875","49.66","0.87","0.83","-4.6",""
"LEM.V","","1076617","50","49.585","68.5182","47.608","32.63023","44.92965","33.85843","51.32164","49.585","0.15","0.125","-16.67",""
"EMN.V","","10609","50","49.358","60.8175","58.493","28.76244","37.09843","22.82965","52.2167","49.358","0.08","0.08","0",""
"OOR.V","","4776458","50","49.223","79.7231","59.123","8.82353","28.94737","39.39394","22.29361","49.223","0.03","0.02","-33.33",""
"NOU.V","","74871","50","49.137","55.2284","51.026","41.15792","32.11095","4.1238","52.72262","49.137","2.88","2.98","3.47",""
"BYN.V","","38827","50","48.491","63.0524","48.247","34.17492","22.76456","32.14297","53.9146","48.491","0.3","0.31","3.33",""
"ZNX.V","","141970","50","47.673","72.1348","52.158","18.72735","93.38419","97.58047","35.60899","47.673","0.1","0.09","-10",""
"OIII.V","","69928","50","47.535","64.7035","36.553","41.34917","47.609305","55.46353","40.48825","47.535","1.42","1.36","-4.23",""
"BRC.V","","172384","50","47.077","69.8362","40.137","31.25696","52.60934","100","52.59805","47.077","0.33","0.32","-3.03",""
"ETL.V","","183974","50","46.583","61.9553","36.046","41.74624","72.99106","95.92543","49.02766","46.583","1.75","1.73","-1.14",""
"CRE.V","","84413","50","46.467","55.3346","45.659","38.40847","100","99.8886","44.6533","46.467","0.93","0.88","-5.38",""
"PGZ.V","","1217","50","46.434","59.2339","44.639","35.4285","50","84.36947","42.44593","46.434","0.2","0.18","-10",""
"SGML.V","","3722","50","46.306","54.2092","40.211","44.49766","77.00295","94.25985","44.97494","46.306","22.5","20.89","-7.16",""
"ESK.V","","705813","50","46.01","56.0439","48.44","33.54516","50","55.3355","47.48413","46.01","0.34","0.35","2.94",""
"MKA.V","","27452","50","45.863","66.5728","46.623","24.39207","74.71278","94.00735","45.49491","45.863","0.13","0.13","0",""
"DIAM.TO","","9112","50","45.781","67.4128","58.52","11.41139","15.790525","2.2759","55.78833","45.781","0.07","0.07","0",""
"RCK.V","","4520","50","45.705","60.5442","35.57","41.00025","73.76465","87.09505","57.83823","45.705","1.31","1.4","6.87",""
"FL.V","","23302","50","45.564","58.6716","44.203","33.81818","50","86.47477","41.46988","45.564","0.8","0.82","2.5",""
"ROS.V","","48581","50","45.26","63.4078","55.514","16.85964","47.442785","33.29883","57.29936","45.26","0.1","0.09","-10",""
"FF.TO","","69874","50","45.242","66.1825","41.407","28.13501","61.265215","96.86816","52.35476","45.242","0.14","0.14","0",""
"SIC.V","","6619","50","45.201","63.3731","58.599","13.63155","0","0","36.57916","45.201","0.05","0.05","0",""
"OCO.V","","882590","50","44.827","58.4956","43.176","32.8097","50","61.43098","44.9857","44.827","0.44","0.43","-2.27",""
"DME.V","","55868","50","44.587","59.7199","42.651","31.39082","91.47931","88.77689","43.49839","44.587","0.45","0.39","-13.33",""
"AMY.V","","4786","50","44.56","54.8904","52.974","25.81523","18.69824","0","47.23747","44.56","0.15","0.14","-6.67",""
"LI.V","","35263","50","44.398","45.2726","52.091","35.82951","29.97119","24.80129","42.22899","44.398","1.01","0.94","-6.93",""
"THX.V","","209138","50","43.814","69.9041","35.876","25.66275","85.821875","100","54.94866","43.814","0.27","0.27","0",""
"AVL.TO","","6308","50","43.19","60.0869","56.807","12.67504","0","0","32.10849","43.19","0.07","0.07","0",""
"SALT.V","","520346","50","43.143","49.7317","42.689","37.00912","45.08967","21.98322","45.01826","43.143","0.66","0.64","-3.03",""
"ODV.V","","29187","50","42.798","48.9007","40.164","39.32789","19.34634","8.17678","44.87424","42.798","2.75","2.77","0.73",""
"LIO.V","","348986","50","42.743","56.3346","38.513","33.38064","59.053675","78.36165","34.86726","42.743","0.52","0.51","-1.92",""
"NGC.V","","93888","50","42.488","47.0129","47.156","33.29589","0","0","49.78585","42.488","0.14","0.12","-14.29",""
"GRAT.V","","81023603","50","42.204","50.8934","48.649","27.06972","5.41001","0","46.79054","42.204","0.09","0.09","0",""
"FPX.V","","60197","50","41.759","64.8679","33.334","27.07512","65.16206","51.49586","51.02948","41.759","0.32","0.32","0",""
"ELBM.V","","2114446","50","40.563","57.2074","30.149","34.33358","42.318675","4.03682","66.14243","40.563","0.65","0.64","-1.54",""
"AMM.TO","","19194","50","40.198","63.3864","35.061","22.1455","10.79057","1.91095","45.17574","40.198","0.18","0.16","-11.11",""
"NCU.TO","","15115","50","40.08","62.66","40.399","17.18157","51.318485","99.95551","40.96976","40.08","0.09","0.1","11.11",""
"ABR.V","","166047","50","39.277","45.2837","41.25","31.29784","50","0","52.36528","39.277","0.56","0.57","1.79",""
"MN.V","","789","50","38.779","60.1133","41.435","14.78817","28.67614","0","42.38003","38.779","0.08","0.07","-12.5",""
"WM.TO","","1155171","50","38.279","65.7608","31.413","17.66445","85.93466","98.99604","50.34279","38.279","0.1","0.09","-10",""
"GBU.V","","63154","50","37.624","73.0229","10.394","29.45574","50","0","61.44626","37.624","0.02","0.02","0",""
"JG.V","","58396326","50","36.457","58.3791","20.914","30.07806","50","26.92892","21.03774","36.457","0.09","0.075","-16.67",""
"TORQ.V","","10607","50","35.406","51.3871","27.211","27.61905","0.66282","0","36.42977","35.406","0.11","0.1","-9.09",""
"ZFR.V","","5062","50","33.284","64.6317","10.785","24.43481","53.003305","100","42.23595","33.284","0.055","0.055","0",""
"CUSN.V","","1225","50","30.459","61.7809","6.532","23.06309","35.71653","20.81342","48.19752","30.459","0.12","0.13","8.33",""
"ADE.V","","6228","50","21.667","65","0","0","50","0","32.5","21.667","0.01","0.01","0",""
