[Stock_List]SymbolExchange	sortino_ratio_raw	sortino_ratio_normalised	ta_score	risk_score	combo_score	CQR	Beta	OutlierPC	CloseToSMA6Ratio	UltraShortTerm_Score
BSE.NS	0.38	69.406	49.58	39.94	47.74	5	1.32	42.73	0.992	64.182
BSOFT.NS	-0.215	62.507	61.78	42.47	43.68	5	1.43	41.13	1.026	84.398
CALSOFT.NS	3.851	99.8	37.9	35.96	38.05	0	1.0	25.13	0.944	46.685
CANFINHOME.NS	-0.31	61.401	28.07	34.2	38.7	5	0.04	11.39	0.966	33.915
CARBORUNIV.NS	-1.337	49.487	31.98	22.1	28.26	5	0.43	9.45	0.967	37.983
CARERATING.NS	0.728	73.449	40.09	43.17	47.7	5	0.42	29.14	0.98	60.353
CDSL.NS	0.226	67.623	37.38	30.51	39.86	5	1.12	15.96	0.946	59.92
CEATLTD.NS	-1.176	51.36	41.05	40.74	41.33	5	0.48	26.66	0.987	66.115
CENTENKA.NS	2.278	91.423	56.38	48.18	46.03	0	0.4	46.07	0.99	67.788
CENTEXT.NS	2.159	90.047	54.27	48.38	55.99	0	0.26	51.25	0.993	57.773
CENTUM.NS	-0.872	54.88	42.17	34.8	47.61	5	0.3	22.67	0.983	69.601
CESC.NS	0.906	75.51	52.39	58.98	57.4	5	1.63	41.98	1.007	66.198
CGCL.NS	2.421	93.081	59.7	54.28	52.82	5	0.61	58.87	0.993	67.169
CHAMBLFERT.NS	-0.949	53.988	36.48	36.27	37.14	0	0.64	22.38	0.979	61.03
CHENNPETRO.NS	0.027	65.309	42.21	60.5	51.5	0	0.95	31.21	0.953	36.849
CHOLAFIN.NS	-1.571	46.779	29.05	33.34	27.34	5	1.27	18.35	0.974	54.11
CHOLAHLDNG.NS	-0.155	63.205	40.12	35.29	43.19	5	0.59	13.5	0.954	58.894
CIPLA.NS	2.227	90.829	62.57	86.06	74.22	5	0.2	87.12	1.037	58.193
COALINDIA.NS	-0.991	53.5	40.79	34.35	38.18	5	0.84	41.43	0.997	66.689
COCHINSHIP.NS	-1.384	48.949	37.85	24.66	39.08	5	1.0	24.19	0.973	64.751
CONSOFINVT.NS	0.549	71.368	37.94	38.27	45.24	5	0.64	27.65	0.983	38.423
CONTROLPR.NS	0.438	70.084	53.59	42.59	46.73	5	-0.14	29.13	0.996	74.912
COROMANDEL.NS	0.468	70.433	71.16	61.77	63.7	5	-0.59	81.56	1.035	69.61
CREST.NS	-1.298	49.94	32.12	26.85	30.2	0	0.57	31.04	0.993	56.074
CUB.NS	0.801	74.288	32.82	34.77	39.9	0	0.91	18.9	0.979	44.7
CUMMINSIND.NS	5.651	99.8	48.52	67.81	57.37	5	0.85	55.8	0.993	49.238
CUPID.NS	4.213	99.8	67.35	77.02	71.01	5	-0.46	67.68	1.016	54.445
CYBERTECH.NS	-0.127	63.528	34.14	51.2	44.29	0	1.35	15.66	0.905	30.152
CYIENT.NS	-1.035	52.996	31.55	58.44	44.02	5	0.74	19.41	0.986	54.193
DALMIASUG.NS	-4.4	30.2	34.27	21.84	31.14	0	0.39	23.97	0.987	66.428
DATAMATICS.NS	10.864	99.8	73.68	94.43	80.9	5	0.69	77.59	1.072	65.244
DBL.NS	-0.432	59.991	46.09	32.65	36.8	5	1.25	31.24	1.002	68.217
DCMSHRIRAM.NS	3.68	99.8	66.45	63.29	61.22	0	0.04	60.84	1.007	74.441
DECCANCE.NS	4.923	99.8	57.79	52.8	51.93	5	0.5	60.18	0.988	48.111
DEEPAKFERT.NS	1.357	80.745	63.22	50.05	56.4	5	0.31	48.99	1.02	84.371
DEEPAKNTR.NS	-1.223	50.815	30.31	20.77	26.71	5	0.67	17.16	0.982	49.732
DELTACORP.NS	-1.206	51.012	31.9	44.33	32.87	0	0.94	12.31	0.979	46.223
DENORA.NS	1.998	88.182	59.05	59.7	58.7	5	0.06	48.52	1.003	76.991
DHAMPURSUG.NS	-0.284	61.71	38.33	31.44	38.94	0	0.82	20.07	0.98	65.693
DHANUKA.NS	1.572	83.232	76.25	75.26	71.2	5	-0.29	84.89	1.056	80.97
DHUNINV.NS	0.681	72.894	52.27	57.82	48.99	5	0.74	63.79	1.006	60.749
DICIND.NS	-0.678	57.137	40.09	29.02	37.17	5	0.15	68.62	1.006	43.774
DLF.NS	0.786	74.116	39.6	32.74	39.68	0	1.45	22.62	0.979	63.251
DOLLAR.NS	-1.084	52.421	40.76	43.01	37.38	5	0.55	36.13	0.987	64.641
DPWIRES.NS	-1.685	45.459	29.85	20.2	23.61	5	1.38	27.11	0.986	48.823
DTIL.NS	0.472	70.481	31.59	31.32	32.82	5	1.4	29.26	0.99	39.926
DVL.NS	0.826	74.585	51.12	64.42	58.93	5	0.67	54.55	0.984	68.623
DYNPRO.NS	2.866	98.249	70.96	59.01	59.63	5	-0.66	67.21	1.019	73.999
ECLERX.NS	1.537	82.83	49.32	72.47	57.19	5	-0.4	65.98	1.005	33.797
EDELWEISS.NS	0.071	65.829	39.31	33.78	42.52	0	0.99	19.34	0.964	52.487
EIDPARRY.NS	3.58	99.8	72.53	81.46	78.14	5	-0.28	75.13	1.021	65.287
EIMCOELECO.NS	0.159	66.85	46.2	46.03	48.83	5	0.74	37.82	1.013	53.654
EKC.NS	0.128	66.482	49.5	39.93	44.9	0	1.78	29.93	0.994	73.395
ELGIRUBCO.NS	-2.936	30.947	33.83	17.97	30.28	0	1.03	21.42	0.97	34.993
EMKAY.NS	1.416	81.424	46.76	59.77	56.22	0	0.21	39.22	0.972	59.896
ENERGYDEV.NS	0.767	73.896	59.65	48.05	56.29	0	0.96	42.1	1.03	81.023
ERIS.NS	1.167	78.534	57.86	52.44	62.52	5	-0.81	66.22	1.005	65.284
ESCORTS.NS	0.918	75.645	66.63	59.54	57.55	5	0.54	76.47	1.013	68.553
ESTER.NS	-2.445	36.634	44.8	37.4	41.48	5	0.77	33.69	1.003	67.905
EVEREADY.NS	4.59	99.8	59.61	75.93	65.47	5	-0.16	66.18	0.995	55.641
EVERESTIND.NS	1.451	81.83	61.91	36.93	45.8	5	0.17	37.44	0.999	70.905
EXPLEOSOL.NS	2.804	97.523	46.69	40.66	48.25	5	-0.57	39.3	1.0	64.277
FDC.NS	1.07	77.409	39.92	39.94	42.45	5	0.01	33.7	0.995	48.141
FEDERALBNK.NS	0.466	70.401	33.06	27.82	37.12	0	0.35	18.57	0.979	46.057
FIEMIND.NS	3.989	99.8	46.67	51.5	51.23	5	-0.41	49.53	0.983	57.246
FINCABLES.NS	-1.42	48.529	41.02	35.47	40.85	5	0.03	30.62	0.998	68.35
FINPIPE.NS	-0.681	57.097	49.81	42.84	52.1	5	0.17	52.88	1.007	66.428
FLUOROCHEM.NS	-0.946	54.028	51.38	38.24	42.99	5	0.28	60.47	0.999	64.721
FORCEMOT.NS	2.648	95.719	48.87	79.84	65.16	5	-0.62	64.05	0.995	33.098
GAEL.NS	-1.077	52.509	30.36	36.54	41.02	0	0.61	20.67	0.982	62.891
GAIL.NS	-0.708	56.785	42.39	43.89	48.29	5	0.81	36.56	0.993	62.851
GALAXYSURF.NS	2.356	92.325	62.15	56.44	61.51	5	0.77	73.04	1.014	68.902
GANDHITUBE.NS	1.632	83.937	57.2	82.08	68.89	5	0.57	74.09	1.006	42.633
GANECOS.NS	-0.826	55.417	43.04	54.99	50.73	5	-0.05	35.93	0.998	53.628
GANESHHOUC.NS	-2.019	41.58	42.23	40.07	37.01	0	0.64	29.57	1.001	65.645
GEECEE.NS	-0.716	56.698	43.41	37.88	40.77	0	0.03	42.19	0.997	63.008
GESHIP.NS	0.375	69.352	50.95	34.9	44.76	0	0.09	27.42	0.99	73.87
GHCL.NS	-0.012	64.861	62.96	64.09	54.15	0	0.4	62.97	1.01	77.928
GICRE.NS	-2.44	36.694	30.69	18.04	30.46	5	0.87	28.44	0.986	48.886
GIPCL.NS	0.418	69.846	46.82	36.67	43.11	0	1.24	27.54	0.995	65.959
GLENMARK.NS	10.369	99.8	62.74	65.1	64.26	5	-1.12	58.01	1.005	63.093
GLOBUSSPR.NS	5.219	99.8	67.97	94.46	82.57	5	-0.69	76.1	1.05	59.535
GMBREW.NS	-0.065	64.247	27.72	23.55	28.71	5	0.68	16.38	0.975	39.508
GNA.NS	-0.99	53.521	38.21	51.68	48.97	5	0.28	19.55	0.945	46.822
GNFC.NS	-0.263	61.951	48.85	39.18	43.7	0	0.75	34.8	0.994	61.047
GOACARBON.NS	-0.883	54.757	29.33	20.17	30.23	0	0.57	17.02	0.976	41.693
GOCLCORP.NS	3.226	99.8	42.54	52.02	50.33	5	1.15	40.57	0.977	60.307
GODFRYPHLP.NS	0.925	75.727	56.6	59.83	54.17	5	0.47	50.99	0.993	68.533
GODREJAGRO.NS	2.482	93.795	60.97	82.17	67.46	5	0.59	72.06	1.006	67.278
GOLDIAM.NS	-1.52	47.369	29.34	23.87	22.53	0	0.19	29.6	0.975	41.502
GOODLUCK.NS	2.147	89.909	66.38	61.78	61.87	5	1.47	54.49	1.052	95.858
GPIL.NS	-0.111	63.71	60.31	53.24	55.38	5	0.91	70.86	1.011	71.7
GRASIM.NS	2.604	95.203	50.39	53.8	52.93	5	0.92	40.79	1.007	62.459
GREENLAM.NS	-1.716	45.093	38.82	54.21	46.4	5	0.47	38.82	0.992	46.367
GROBTEA.NS	2.053	88.81	56.26	43.91	45.72	5	1.81	42.36	1.01	75.724
GRPLTD.NS	-2.899	31.374	19.48	31.15	28.45	5	1.0	13.97	0.932	33.302
GRSE.NS	-0.945	54.041	38.63	23.79	37.4	5	-0.27	28.13	0.968	64.483
GSPL.NS	-0.305	61.463	36.86	46.87	41.06	5	0.41	23.37	0.981	52.034
GTPL.NS	0.921	75.686	46.64	42.97	44.78	5	0.95	49.56	0.99	50.014
GUJALKALI.NS	-0.372	60.687	33.82	50.17	40.61	0	0.91	24.36	0.973	44.623
GUJAPOLLO.NS	5.145	99.8	50.5	79.5	68.25	0	-0.92	68.81	1.006	25.906
GUJGASLTD.NS	-0.326	61.213	31.66	26.68	35.48	5	0.81	23.39	0.973	40.706
GULFOILLUB.NS	0.784	74.099	49.19	32.55	39.99	5	0.62	27.73	0.99	66.175
HAL.NS	-1.953	42.342	33.06	26.06	30.83	5	0.68	21.21	0.974	62.532
HARRMALAYA.NS	0.046	65.53	41.97	37.92	44.05	5	0.9	32.92	0.978	60.597
HDFCBANK.NS	2.135	89.765	58.92	68.36	64.56	5	1.16	72.47	1.004	62.436
HEG.NS	0.967	76.22	53.85	58.5	60.9	5	0.49	54.19	0.996	69.398
HEIDELBERG.NS	2.182	90.308	68.73	76.49	62.11	5	0.58	69.24	1.016	66.581
HERITGFOOD.NS	2.229	90.86	46.43	48.01	47.89	5	0.85	34.81	0.996	63.542
HEROMOTOCO.NS	0.173	67.009	50.89	62.38	61.21	5	0.8	60.33	1.009	63.385
HFCL.NS	-1.32	49.689	42.4	42.93	44.57	0	1.75	32.01	1.002	72.382
HGINFRA.NS	-0.789	55.846	30.04	32.22	30.3	5	1.1	27.05	0.976	34.837
HGS.NS	1.7	84.719	59.22	50.64	50.25	0	0.5	52.53	0.99	71.828
HINDALCO.NS	1.709	84.824	57.95	48.67	53.68	0	0.96	61.04	1.0	60.25
HINDCOMPOS.NS	1.451	81.832	53.67	62.87	58.85	5	0.75	74.4	1.01	48.818
HINDPETRO.NS	0.305	68.536	46.3	54.97	59.47	0	2.05	31.44	0.995	64.416
HINDZINC.NS	-0.073	64.157	46.13	34.76	42.36	5	0.8	48.76	0.992	65.814
HITECH.NS	-0.975	53.691	39.6	23.84	29.71	5	1.47	24.99	0.986	65.072
HMVL.NS	-0.606	57.968	31.86	26.65	26.12	5	0.71	26.56	0.989	39.351
HONDAPOWER.NS	0.047	65.546	46.18	31.13	37.35	5	0.53	29.19	0.993	68.077
HSCL.NS	0.501	70.816	43.94	42.78	47.31	0	0.93	24.83	0.971	57.563
ICICIBANK.NS	0.874	75.139	55.93	60.87	54.78	5	0.88	71.85	1.002	57.843
ICRA.NS	0.75	73.703	36.69	35.78	50.4	5	0.36	25.73	0.99	51.702
IFBAGRO.NS	3.454	99.8	59.81	89.83	75.86	5	1.03	88.77	1.08	43.746
IFCI.NS	-1.838	43.674	43.57	35.53	43.13	0	1.09	26.06	0.987	64.563
IFGLEXPOR.NS	-1.043	52.899	44.86	27.91	41.51	5	-0.21	21.19	0.964	66.666
IGL.NS	-0.446	59.832	46.36	45.06	45.47	5	1.71	28.87	0.995	57.286
IGPL.NS	0.508	70.899	54.92	55.82	54.36	5	-0.07	53.13	0.999	68.182
IIFL.NS	3.493	99.8	51.99	57.35	58.86	5	1.19	51.67	0.99	72.285
IMFA.NS	2.516	94.182	47.37	42.26	47.01	5	0.37	37.19	0.993	66.336
IMPAL.NS	0.734	73.518	35.15	34.99	43.78	5	0.49	16.88	0.984	53.598
INDIACEM.NS	0.991	76.501	68.13	72.74	62.75	0	-0.03	73.22	1.006	73.676
INDIAGLYCO.NS	-1.017	53.204	48.75	28.19	40.24	5	0.08	28.75	0.995	71.574
INDIANB.NS	1.575	83.268	43.13	60.32	54.87	5	0.16	37.03	0.996	59.084
INDIANCARD.NS	-1.511	47.475	24.45	16.96	25.87	0	1.41	6.04	0.931	26.506
INDIGO.NS	1.031	76.955	43.16	46.34	45.78	5	1.12	30.45	0.987	54.253
INDNIPPON.NS	2.895	98.587	48.91	52.53	52.07	5	-0.27	44.1	0.987	62.937
INDOSTAR.NS	-1.256	50.43	39.65	22.86	35.46	5	1.77	30.21	0.987	62.891
INDOWIND.NS	-1.692	45.367	34.29	34.33	32.95	0	1.18	23.24	0.986	65.926
INDUSINDBK.NS	0.134	66.557	42.37	42.14	41.82	5	0.68	17.86	0.975	59.919
INDUSTOWER.NS	0.007	65.078	43.69	35.04	43.1	5	1.05	28.37	0.988	65.86
INFOBEAN.NS	7.683	99.8	81.99	87.27	80.54	5	1.21	81.65	1.123	94.908
INFY.NS	-0.522	58.945	37.55	57.18	43.93	5	1.1	21.64	0.983	60.52
INGERRAND.NS	-0.41	60.248	45.9	44.69	51.78	5	0.39	28.04	0.976	56.923
INSECTICID.NS	4.593	99.8	70.98	74.14	70.39	5	-0.6	84.14	1.042	69.946
INTELLECT.NS	-0.266	61.919	31.4	53.98	51.01	5	1.15	16.64	0.939	43.184
IOC.NS	0.533	71.185	43.98	56.57	55.98	0	1.17	29.82	0.989	61.544
IOLCP.NS	1.168	78.554	47.6	59.14	52.61	5	1.9	45.24	0.979	57.861
IPCALAB.NS	-0.032	64.633	54.04	64.72	52.17	5	-0.36	61.52	0.999	57.741
ITC.NS	-1.059	52.711	27.62	27.17	26.96	5	0.88	25.55	0.993	38.709
ITI.NS	-1.327	49.602	40.83	22.85	39.52	0	-0.51	23.49	0.984	67.689
JASH.NS	0.994	76.528	44.75	63.15	54.12	5	0.59	41.54	0.98	57.999
