"Symbol","Company Name","ADTValue","Beta","Weighted Score","Wtd Sortino","Wtd BullishVolume","Wtd PriceUp","TDI","TII","MFI","Weighted Score","Price last week","Price this week","Price move %"
"SOBHA.NS","Sobha Limited","199761424","0.15","75.088","99.8","77.578","47.88569","21.527335","0","48.80516","75.088","1690","1710.15","1.19",""
"CAREERP.NS","CAREER POINT LTD","3444800307","73.7","75.023","99.8","77.391","47.8778","100","100","68.64192","75.023","515","477.35","-7.31",""
"FDC.NS","FDC LTD","675043734","28.75","75.012","99.362","75.522","50.15324","81.833385","98.95225","71.7505","75.012","541.05","571.1","5.55",""
"NSIL.NS","Nalwa Sons Investments Limited","205405796","61.45","75.001","96.987","77.57","50.44691","57.242205","100","75.10493","75.001","4651.85","4505","-3.16",""
"CENTENKA.NS","Century Enka Ltd","983912357","23.75","74.853","90.2067","81.614","52.73811","91.07925","97.18238","83.93264","74.853","745","721.25","-3.19",""
"KICL.NS","KALYANI INVESTMENT","1538910147","56.7","74.836","99.8","72.247","52.4612","50","99.80448","79.14324","74.836","5999.95","5912.6","-1.46",""
"ASALCBR.NS","Associated Alcohols & Breweries Limited","15728144","89.8","74.789","99.8","76.854","47.71323","70.08457","100","71.13147","74.789","908.7","913.45","0.52",""
"SUNDRMBRAK.NS","SUNDARAM BRAKE LIN","170864107","20.95","74.747","99.8","71.291","53.15102","99.539885","99.74501","73.09937","74.747","1143","1162.05","1.67",""
"BAJAJHLDNG.NS","Bajaj Holdings & Investment Limited","3842957992","54.7","74.738","99.8","71.298","53.11456","65.555685","100","67.58728","74.738","10199.95","10693.4","4.84",""
"HONDAPOWER.NS","HONDA INDIA POWER","3977406","3.65","74.711","88.8446","82.876","52.41291","50","96.5948","77.88098","74.711","3843.65","3674.85","-4.39",""
"BEPL.NS","BHANSALI ENG POLYM","17913445","96.7","74.686","99.5882","75.944","48.52722","52.12564","100","73.74543","74.686","166.78","163.28","-2.1",""
"EMKAY.NS","Emkay Global Financial Services Ltd","513672043","46.35","74.676","97.5269","80.781","45.72062","81.64666","100","72.63226","74.676","187","186","-0.53",""
"FORCEMOT.NS","Force Motors Limited","261406856","80.35","74.669","99.8","76.192","48.01556","2.4266","20.41766","45.66428","74.669","8386.4","7711.5","-8.05",""
"ASAHISONG.NS","Asahi Songwon Colors Limited","3099804178","-33.5","74.663","99.8","77.241","46.94851","95.323035","100","75.449","74.663","512","520.2","1.6",""
"DBL.NS","Dilip Buildcon Limited","521183288","43","74.641","95.2995","78.31","50.31387","50","100","71.42245","74.641","564","546.85","-3.04",""
"SARDAEN.NS","Sarda Energy & Minerals Limited","36007895","57.6","74.623","99.8","70.775","53.29391","100","99.70756","74.50888","74.623","352.05","355.85","1.08",""
"MPSLTD.NS","MPS Limited","81291184","82.5","74.608","99.8","75.833","48.19019","51.26053","99.41464","71.1517","74.608","2391.9","2430.4","1.61",""
"BSE.NS","BSE Limited","9348930","62.5","74.596","99.8","72.252","51.7359","74.8028","76.44997","51.46456","74.596","2839.5","2824.25","-0.54",""
"SHAKTIPUMP.NS","SHAKTI PUMPS INDIA","171636099","-47.25","74.553","99.8","70.589","53.26928","50","100","66.98347","74.553","4499","4410.45","-1.97",""
"ZENSARTECH.NS","ZENSAR TECHNOLOGIE","4528897","100","74.534","99.8","73.532","50.26952","50","100","76.1566","74.534","774","778.6","0.59",""
"SWARAJENG.NS","Swaraj Engines Limited","193137835","60.65","74.488","99.8","70.209","53.45356","50","100","67.26215","74.488","3434.95","3311.75","-3.59",""
"CREST.NS","Crest Ventures Ltd","942515","100","74.452","99.026","76.648","47.68071","83.125565","99.9281","74.73603","74.452","459","463.45","0.97",""
"GOODLUCK.NS","Goodluck India Limited","5328551301","31.5","74.447","99.8","70.012","53.52846","86.50413","94.69911","67.62695","74.447","1175","1222.55","4.05",""
"ALBERTDAVD.NS","Albert David Ltd","2689828611","89.3","74.342","99.8","74.041","49.18453","58.69904","91.71781","72.04971","74.342","1680","1579.25","-6",""
"KSB.NS","KSB Limited","2921828318","17.4","74.2","92.2583","77.769","52.57255","26.43586","29.56661","55.66792","74.2","911.2","895.8","-1.69",""
"APLLTD.NS","Alembic Pharmaceuticals Limited","2377530","23.9","74.196","90.7769","80.902","50.90811","91.1743","100","74.98496","74.196","1075.75","1105.7","2.78",""
"BIL.NS","BHARATIYA INTL LTD","663054728","35","74.195","99.8","76.76","46.02414","72.26097","93.8311","75.72191","74.195","488.15","522.9","7.12",""
"JMFINANCIL.NS","JM Financial Ltd","310196060","60.95","74.185","88.8897","82.942","50.72185","81.243465","100","77.36814","74.185","106.15","124.22","17.02",""
"ALLSEC.NS","Allsec Technologies Limited","49270611","56.15","74.168","99.8","74.923","47.78024","40.443505","27.02615","76.23243","74.168","1120.85","1109.35","-1.03",""
"NATCOPHARM.NS","NATCO Pharma Limited","61824441","34.05","74.121","99.8","66.97","55.593","76.299975","100","77.92686","74.121","1550.3","1559.9","0.62",""
"BAJAJ-AUTO.NS","Bajaj Auto Limited","5302122130","47.8","74.074","99.8","65.008","57.4145","67.72836","99.68736","62.21445","74.074","10926","10830.1","-0.88",""
"OIL.NS","Oil India Limited","795960128","94.9","74.072","99.8","66.137","56.27889","92.34994","100","69.20227","74.072","725.35","626.95","-13.57",""
"PRECWIRE.NS","PRECISION WIRES IN","117578882","73.55","74.067","96.3576","78.481","47.3624","50.755775","99.71196","77.56717","74.067","185.06","185.16","0.05",""
"HSCL.NS","Himadri Speciality Chemical Ltd","12504183","41.6","74.028","99.8","72.478","49.80734","94.36547","100","70.94224","74.028","525.1","529.8","0.9",""
"ITI.NS","ITI Ltd","38894805","71.75","73.893","91.1771","84.12","46.38088","11.697145","15.24035","78.59828","73.893","306.15","289.15","-5.55",""
"APARINDS.NS","Apar Industries Limited","2109333040","62.9","73.85","99.8","67.994","53.75708","55.22531","93.82391","65.47398","73.85","9170","8942.7","-2.48",""
"KIRLOSIND.NS","Kirloskar Industries Limited","158584125","84.45","73.821","97.4211","72.614","51.42843","28.686665","2.88229","66.69484","73.821","5672.05","5549.3","-2.16",""
"SHARDAMOTR.NS","SHARDA MOTOR INDUS","2108220096","85","73.807","99.8","72.829","48.79133","50","100","70.00913","73.807","2711","2611.45","-3.67",""
"CESC.NS","CESC","1870201077","39.7","73.769","95.7783","73.861","51.66888","72.1409","100","71.37877","73.769","195.55","187.93","-3.9",""
"WABAG.NS","VA TECH WABAG LTD","2043238455","38.85","73.683","99.8","69.744","51.50628","50","99.522","60.98847","73.683","1281","1312.05","2.42",""
"SALZERELEC.NS","Salzer Electronics Limited","674135964","60.9","73.642","99.8","70.686","50.441","72.60078","100","71.26875","73.642","1100","1012.65","-7.94",""
"FINCABLES.NS","Finolex Cables Limited","2557154041","29.3","73.496","93.0335","78.311","49.14215","50","34.56332","78.32527","73.496","1452.25","1413.25","-2.69",""
"CDSL.NS","CENTRAL DEPOSITORY","5678694166","73.75","73.426","99.8","71.048","49.42892","100","100","61.29368","73.426","1443","1401.5","-2.88",""
"PNBHOUSING.NS","PNB Housing Finance Limited","7737264697","57.1","73.419","95.674","73.026","51.55556","85.82613","99.81776","62.33542","73.419","985","1023.4","3.9",""
