"Symbol","Company Name","ADTValue","Beta","Weighted Score","Wtd Sortino","Wtd BullishVolume","Wtd PriceUp","TDI","TII","MFI","Weighted Score","Price last week","Price this week","Price move %"
"WOCKPHARMA.NS","Wockhardt Limited","199642953","71.05","79.566","99.8","85.806","53.09091","50","100","72.36621","79.566","1022","1032.55","1.03",""
"PILANIINVS.NS","Pilani Investment and Industries Corporation Limited","233882030","60.55","79.556","99.8","85.704","53.16482","50","100","79.20004","79.556","5690","5372.95","-5.57",""
"SUVENPHAR.NS","Suven Pharmaceuticals Ltd","1019611163","6.55","78.632","99.8","83.577","52.52033","50","100","80.87837","78.632","1211","1215.3","0.36",""
"BASF.NS","BASF India Limited","3870873607","18.75","78.139","99.8","80.277","54.34146","68.418815","100","72.01455","78.139","6874","6726.3","-2.15",""
"UFLEX.NS","Uflex Ltd","186176907","100","77.962","95.8595","87.348","50.67849","82.104135","100","82.19042","77.962","760.4","743.9","-2.17",""
"DICIND.NS","DIC India Limited","337434060","-1065.6","77.86","99.8","82.815","50.96526","100","100","80.39008","77.86","725.1","721.45","-0.5",""
"SOLARA.NS","Solara Active Pharma Sciences Limited","77490285","49.4","77.779","97.0771","87.938","48.32126","50","100","71.98587","77.779","788.95","749.5","-5",""
"SUMMITSEC.NS","Summit Securities Limited","428590284","100","77.653","99.8","79.077","54.08327","66.771245","100","79.0367","77.653","2674.5","2659.6","-0.56",""
"GODFRYPHLP.NS","Godfrey Phillips India Limited","676218838","41","77.573","99.8","83.687","49.23085","100","100","74.73567","77.573","7456.95","7598.15","1.89",""
"BSE.NS","BSE Limited","7606978","55.2","77.297","99.8","79.506","52.58537","100","100","70.30972","77.297","2960","3984.95","34.63",""
"OFSS.NS","Oracle Financial Services Software Limited","4110976","83.6","77.217","99.8","79.183","52.66716","50","100","70.85771","77.217","12250","11371.6","-7.17",""
"GUJAPOLLO.NS","Gujarat Apollo Industries Ltd","47667219","68.75","77.213","99.8","86.842","44.9963","100","100","84.04177","77.213","399","379.4","-4.91",""
"RANEHOLDIN.NS","Rane Holdings Limited","311157180","34.15","77.213","99.8","80.438","51.39985","64.173845","100","82.297","77.213","2351","2082.6","-11.42",""
"SEAMECLTD.NS","Seamec Limited","41792350","48.3","77.206","99.8","82.305","49.51269","50","87.01487","73.13154","77.206","1443.9","1392.05","-3.59",""
"DHUNINV.NS","DHUNSERI INVESTMEN","11324844","43.15","77.149","99.8","81.869","49.77679","100","100","80.93236","77.149","2520","2367.85","-6.04",""
"QUICKHEAL.NS","Quick Heal Technologies Limited","1486452416","92.85","76.869","99.8","82.182","48.62478","68.055775","100","78.62399","76.869","709","666.8","-5.95",""
"TCPLPACK.NS","TCPL PACKAGING LTD","44865174","38.3","76.685","99.8","79.655","50.60064","74.42571","100","84.05197","76.685","3360","3482.85","3.66",""
"20MICRONS.NS","20 Microns Ltd","12608180","88.55","76.601","99.8","83.408","46.59473","86.744605","100","78.45522","76.601","310.1","301.65","-2.72",""
"GLENMARK.NS","GLENMARK PHARM","83685348","41.9","76.498","99.8","72.085","57.61025","73.103405","100","65.98072","76.498","1769.6","1636.75","-7.51",""
"BHAGERIA.NS","Bhageria Industries Limited","1743851978","22.3","76.463","92.0309","89.855","47.50333","100","100","86.906","76.463","274.8","249.57","-9.18",""
"NEWGEN.NS","Newgen Software Technologies Limited","62055048","78.45","76.43","99.8","77.455","52.03351","78.029935","100","66.27244","76.43","1225","1323.05","8",""
"GRSE.NS","GARDEN REACH SHIPB","52046249","80.35","76.386","99.8","79.948","49.40921","50","4.84497","74.74275","76.386","1789.45","1855.6","3.7",""
"GOLDIAM.NS","Goldiam International Ltd","1549022373","-7","76.311","99.8","80.956","48.17837","100","100","79.52068","76.311","389.7","357.3","-8.31",""
"JUBLINDS.NS","JUBILANT INDUSTRIE","3685107","14.4","76.2","99.8","80.936","47.86302","63.179015","100","66.29846","76.2","1792.9","1752.25","-2.27",""
"CHOLAHLDNG.NS","Cholamandalam Financial Holdings Limited","196725857","79.45","76.06","99.8","77.774","50.60557","54.24794","100","74.86668","76.06","1909.95","2025.5","6.05",""
"HONDAPOWER.NS","HONDA INDIA POWER","509802854","9.35","76.033","91.035","82.954","54.11086","50","56.07235","78.21346","76.033","3735","3863.4","3.44",""
"COCHINSHIP.NS","Cochin Shipyard Limited","83111685","88.05","75.834","99.8","77.727","49.97389","43.39266","2.72519","70.18916","75.834","1825","1846.05","1.15",""
