"Symbol","Company Name","ADTValue","AggregateScore","Sortino","Beta","BullishVolume","PriceUp","TDI","TII","MFI"
"BANG.NS","Bang Overseas Ltd","3296481","52.353","75.4453","82.7","80.374","45.77778","49.025985","9.02272","71.20437",""
"BANSWRAS.NS","Banswara Syntex Ltd","4834843","41.082","74.8329","28.35","56.644","46.44444","38.02873","0.0398","57.32022",""
"BASF.NS","BASF India Limited","348224270","65.329","99.8","-18.9","78.037","51.77778","85.78464","99.97509","75.04297",""
"BBL.NS","Bharat Bijlee Limited","121835246","57.689","99.8","51","61.588","51.77778","10.987875","7.68211","53.9537",""
"BDL.NS","BHARAT DYNAMICS LT","837596809","53.864","95.1033","34.2","70.057","51.55556","13.646495","0","53.42216",""
"BEPL.NS","BHANSALI ENG POLYM","240212148","60.87","86.8525","99.15","71.354","46.88889","25.209365","6.46024","65.80073",""
"BFINVEST.NS","BF INVESTMENT LTD","117075327","74.911","93.6423","69.9","80.627","46","83.293115","99.44966","68.17063",""
"BHAGERIA.NS","Bhageria Industries Limited","22583179","57.626","81.142","46.9","86.247","47.11111","50","58.24886","83.73356",""
"BHANDARI.NS","Bhandari Hosiery Exports Ltd","7460697","49.388","78.7422","39.45","61.149","37.33333","12.72155","0.81656","53.66457",""
"BHARATRAS.NS","Bharat Rasayan Limited","103851468","41.085","80.0288","8.95","67.436","43.33333","34.491985","0.0328","56.79597",""
"BIL.NS","BHARATIYA INTL LTD","8690133","81.14","99.8","79.85","76.278","47.11111","100","100","64.93844",""
"BIRLACORPN.NS","Birla Corporation Limited","142135299","39.342","75.2027","31.3","51.336","51.77778","37.168865","0","40.11777",""
"BLBLIMITED.NS","BLB Ltd","1849146","55.251","59.3724","92.05","43.945","43.55556","50","89.55551","58.27538",""
"BPCL.NS","Bharat Petroleum Corp Ltd","3746134594","53.307","89.94","74.45","54.296","52.22222","40.04113","24.315","58.01102",""
"BSE.NS","BSE Limited","16362158984","80.427","99.8","73.65","76.394","52.88889","95.752335","100","68.75387",""
"BSOFT.NS","BIRLASOFT (INDIA)","1757769448","51.405","97.0349","54.3","57.69","51.77778","25.05222","0","49.13764",""
"CALSOFT.NS","California Software Co Ltd","1541695","51.022","70.6054","84.2","69.841","41.55556","50","21.28807","69.66561",""
"CANFINHOME.NS","Can Fin Homes Limited","604407582","56.087","83.473","61.55","47.257","54.44444","37.212895","72.31794","47.99344",""
"CARBORUNIV.NS","Carborundum Universal Limited","166853747","47.51","88.2264","34.5","61.783","51.55556","28.164415","0","52.83307",""
"CAREERP.NS","CAREER POINT LTD","5638825","52.122","99.8","5.85","78.549","47.55556","46.873625","52.44232","74.40544",""
"CARERATING.NS","CARE Ratings Limited","213330132","70.363","99.8","-9.75","74.659","50.22222","100","99.95454","77.65869",""
"CDSL.NS","CENTRAL DEPOSITORY","6741738238","63.747","99.8","66.95","69.899","48.66667","50","99.90547","61.00958",""
"CEATLTD.NS","CEAT Limited","545679382","59.957","94.2537","59.9","73.599","49.22049","50.909875","76.83842","64.06804",""
"CENTENKA.NS","Century Enka Ltd","49905371","54.829","85.2731","62.9","77.489","51.11111","35.647645","2.64857","75.67689",""
"CENTEXT.NS","Century Extrusions Ltd","1985428","52.678","99.8","41.1","62.103","40.44444","14.0727","0","53.44582",""
"CENTUM.NS","Centum Electronics Limited","29222851","59.652","98.0467","23.05","62.099","45.55556","67.9379","94.41254","58.52574",""
"CESC.NS","CESC LTD","939065313","58.054","97.2618","56.75","71.234","50.66667","48.91101","61.90662","66.38054",""
