"Symbol","Company Name","Wtd Sortino Score"
"MERK","Merck Tbk","35.80132606309"
"BBRM","Pelayaran Nasional Bina Buana Raya","35.16263089836"
"BSDE","Bumi Serpong Damai Tbk","34.41288475261"
"ASII","Astra International Tbk","33.77885315701"
"LTLS","Lautan Luas Tbk","33.55471959483"
"MYTX","Asia Pacific Investama Tbk PT","32.9941974046"
"SDPC","Millennium Pharmacon International","31.82001698607"
"HAIS","PT Hasnur Internasional","31.44581831585"
"SSIA","Surya Semesta Internusa Tbk","31.35680263897"
"KJEN","Krida Jaringan Nusantara Tbk PT","30.9779967439"
"VOKS","Voksel Electric Tbk","29.82677182944"
"BUDI","Budi Starch & Sweetener Tbk","29.62245672296"
"SMDR","Samudera Indonesia Tbk","29.16138831512"
"BBCA","Bank Central Asia Tbk","28.99232709814"
"PANS","Panin Sekuritas Tbk","28.97354819562"
"ENRG","Energi Mega Persada Tbk","28.40599409706"
"BDMN","Bank Danamon Indonesia Tbk","27.68933558259"
"PGLI","Pembangunan Graha Lestari Tbk","26.95110569828"
"CTRA","Ciputra Development Tbk","26.77213120182"
"BBNI","Bank Negara Indonesia Tbk","26.7076107906"
"INDS","Indospring Tbk","26.53639559702"
"INDX","Tanah Laut Tbk","26.53639559702"
"AMAR","Bank Amar Indonesia ","26.50549472064"
"APLN","Agung Podomoro Land Tbk","25.92273104126"
"HEXA","Hexindo Adiperkasa Tbk","25.40975121684"
"NRCA","Nusa Raya Cipta Tbk","24.88272483238"
"POWR","Cikarang Listrindo Tbk PT","24.71944650861"
"KBLM","Kabelindo Murni Tbk","24.23861458892"
"SNLK","PT Sunter Lakeside Hotel Tbk","23.76171650535"
"BFIN","BFI Finance Indonesia Tbk","23.18404534335"
"SHIP","Sillo Maritime Perdana Tbk PT","23.1513538489"
"BMTR","Global Mediacom Tbk","22.26981782617"
"KKGI","Resource Alam Indonesia Tbk","21.90672659264"
"PPGL","Prima Globalindo Logistik Tbk","21.64224081589"
"EPMT","Enseval Putra Megatrading Tbk","21.47757504619"
"CASA","Capital Financial Indonesia Tbk PT","21.13645523355"
"DGIK","Nusa Konstruksi Enjiniring Tbk","20.48861782746"
"ITMG","Indo Tambangraya Megah Tbk","19.83402053406"
"SMDM","Suryamas Dutamakmur Tbk","19.81596680439"
"PNLF","Panin Financial Tbk","19.76171038615"
"KDSI","Kedawung Setia Industrial Tbk","19.33288966686"
"ULTJ","Ultra Jaya Milk Industry Tbk","19.20468123928"
"ELSA","Elnusa Tbk","19.18828565985"
"INDF","Indofood Sukses Makmur Tbk PT","18.95885442432"
"RICY","Ricky Putra Globalindo Tbk","18.9134763098"
"BRIS","Bank BRISyariah Tbk PT","18.84235111931"
"TCID","Mandom Indonesia Tbk","18.59652995017"
"IMJS","Indomobil Multi Jasa Tbk","18.35947162022"
"INCO","Vale Indonesia Tbk","18.144516322"
"BMSR","Bintang Mitra Semestaraya Tbk","17.55136854436"
"ASGR","Astra Graphia Tbk","16.90571918838"
"ARNA","Arwana Citramulia Tbk","16.64255924524"
"KMDS","Kurniamitra Duta Sentosa Tbk","15.21012081474"
"AGII","Aneka Gas Industri Tbk PT","15.12428119464"
"DLTA","Delta Djakarta Tbk","15.11661596377"
"APIC","Pacific Strategic Financial","14.92514030537"
"MIKA","Mitra Keluarga Karyasehat Tbk PT","14.59027285675"
"CSAP","Catur Sentosa Adiprana Tbk","14.04013510882"
"VICI","Victoria Care Indonesia Tbk Pt","13.78430270249"
"TRJA","Transkon Jaya Pt","13.65219236602"
"HMSP","Hanjaya Mandala Sampoerna Tbk PT","13.48256287747"
"PTPW","Pratama Widya Tbk Pt","13.46298947721"
"SFAN","Surya Fajar Capital Tbk PT","13.27088721828"
"PDES","Destinasi Tirta Nusantara Tbk","12.57755707587"
"HEAL","Medikaloka Hermina PT","12.1987515982"
"SMAR","Sinar Mas Agro Resources and Technology Tbk PT","12.12913877788"
"LPPF","Matahari Department Store Tbk","12.09436951412"
"SCNP","PT Selaras Citra Nusantara Perkasa Tbk","12.01655376203"
"TSPC","Tempo Scan Pacific Tbk","11.7300735828"
"ROTI","Nippon Indosari Corpindo Tbk","11.60731555748"
"DPNS","Duta Pertiwi Nusantara Tbk","10.47904467257"
"TOTO","Surya Toto Indonesia Tbk","10.4371321707"
"BEEF","Estika Tata Tiara Tbk PT","10.12675138685"
"JKON","Jaya Konstruksi Manggala Pratama","10.10789997154"
"UNVR","Unilever Indonesia Tbk","9.79882553861"
"GGRM","Gudang Garam Tbk","9.635806841983"
"NZIA","Nusantara Almazia","9.580574952242"
"MLBI","Multi Bintang Indonesia Tbk","9.405848488971"
"BINA","Bank Ina Perdana PT","9.16358652166"
"MREI","Maskapai Reasuransi Indonesia","8.590680508284"
"PMJS","Putra Mandiri Jembar Tbk PT","8.156419033866"
"NPGF","Nusa Palapa Gemilang PT Tbk","8.146927823598"
"RIGS","Rig Tenders Tbk","7.719561491844"
"BTPN","Bank Tabungan Pensiunan Nasional","7.05092099069"
"KBLI","Kmi Wire And Cable Tbk","6.812749819044"
"MDKI","Emdeki Utama Tbk PT","6.687113811986"
"PNBN","Bank Pan Indonesia Tbk","6.573459157888"
"DMAS","Puradelta Lestari PT","5.822353945383"
"MLIA","PT Mulia Industrindo Tbk","5.805903866615"
"MPOW","Megapower Makmur TBK PT","5.58084567627"
"AMFG","Asahimas Flat Glass Tbk","5.142560237874"
"CLPI","Colorpak Indonesia Tbk","5.112385518037"
"ERAA","Erajaya Swasembada Tbk","5.014066196895"
"PWON","Pakuwon Jati Tbk","4.615418134966"
"IPCM","Jasa Armada Indonesia Tbk PT","4.583069494077"
"JTPE","Jasuindo Tiga Perkasa Tbk","4.496249147698"
"BAPA","Bekasi Asri Pemula Tbk","4.426788310922"
"DSNG","Dharma Satya Nusantara Ptdsn","4.374235120224"
"RALS","Ramayana Lestari Sentosa Tbk","3.904430712043"
"BALI","Bali Towerindo Sentra Tbk","3.705607337401"
"INTP","Indocement Tunggal Prakarsa","3.5120359423"
"JSMR","Jasa Marga Tbk","3.505389918314"
"BCIP","Bumi Citra Permai Tbk","3.40834567558"
"TLKM","Telkom Indonesia (Persero) Tbk PT","3.392602653896"
"CEKA","Wilmar Cahaya Indonesia Tbk","3.386835766118"
"SDRA","Bank Woori Saudara Indonesia 1906","3.073884812976"
"AKPI","Argha Karya Prima Ind Tbk","2.615079137156"
"SPTO","PT Surya Pertiwi Tbk","2.496169774606"
"SMRA","Summarecon Agung Tbk","2.411852110764"
"ADRO","Adaro Energy Tbk","2.263605924638"
"NIRO","City Retail Developments Tbk PT","2.102428164328"
"BJBR","Bank Jabar","1.764596162074"
"CARE","Metro Healthcare Indonesia","1.644429326053"
"KEJU","Mulia Boga Raya PT","1.584943342342"
"BRNA","Berlina Tbk","1.579989790768"
"APII","Arita Prima Indonesia Tbk","1.491397400617"
"PBID","Panca Budi Idaman Tbk PT","1.384128359179"
"SCCO","Supreme Cable Manufacturing Corp","1.063700777204"
"GPSO","Geoprima Solusi Tbk PT","1.043492607741"
"MINA","Sanurhasta Mitra PT","0.644630163747"
"ITIC","Indonesian Tobacco Tbk PT","0.61696499999"
"TAXI","Express Transindo Utama Tbk","0"
"BUKK","Bukaka Teknik Utama Tbk Pt","-0.325796542906"
"NFCX","NFC Indonesia PT Tbk","-0.4793770533533"
"STAR","PT Buana Artha Anugerah Tbk","-0.6208297161101"
"PTSN","Sat Nusapersada Tbk","-0.8515625062088"
"SGRO","Sampoerna Agro Tbk","-0.8897082938799"
"PTBA","Bukit Asam Tbk PT","-0.9072393812908"
"JAYA","Armada Berjaya Trans Tbk PT","-1.267092161291"
"MBAP","Mitrabara Adiperdana PT","-1.368557355833"
"CCSI","Communication Cable Systems Indonesia Tbk PT","-1.674027377682"
"RUIS","Radiant Utama Interinsco Tbk","-1.824049952686"
"DOID","Delta Dunia Makmur Tbk","-2.339525446731"
"LPLI","Star Pacific Tbk","-3.338982418654"
"KONI","Perdana Bangun Pusaka Tbk PT","-3.49738777753"
"DEWA","Darma Henwa Tbk","-3.940819702195"
"BBMD","Bank Mestika Dharma Tbk","-4.0324093217"
"UNSP","Bakrie Sumatera Plantations","-4.533010525389"
"MASB","Bank Multiarta Sentosa PT","-5.021701397459"
"BJTM","Bank Pembangunan Timur Tbk","-5.244216893525"
"TPIA","Chandra Asri Petrochemical Tbk","-6.084945001685"
"INDO","Royalindo Investa Wijaya","-6.196733727332"
"TOWR","PT Sarana Menara","-6.294237541935"
"GWSA","Greenwood Sejahtera Tbk","-6.338806396761"
"INDY","Indika Energy Tbk","-6.577288989229"
"EKAD","Ekadharma International Tbk","-6.765480027352"
"AIMS","Akbar Indomakmur Stimec Tbk","-6.976798402222"
"SAFE","Steady Safe TBK PT","-7.029129929245"
"ANTM","Aneka Tambang Persero Tbk","-7.979086789119"
"MCAS","M Cash Integrasi Tbk PT","-8.040208966644"
"GOOD","Garudafood Putra Putri Jaya Tbk PT","-8.304357938668"
"IGAR","Champion Pacific Indonesia Tbk","-8.428369592722"
"UNTR","United Tractors Tbk PT","-8.565475683539"
"BRPT","Barito Pacific Tbk","-8.809119753618"
"META","Nusantara Infrastructure Tbk","-8.87237412917"
"SOCI","Soechi Lines Tbk","-8.917426848648"
"SRSN","Indo Acidatama Tbk","-9.261782632604"
"CMNP","Citra Marga Nusaphala Persada","-9.847102850507"
"BKSL","Sentul City Tbk","-10.26232918173"
"TBLA","Tunas Baru Lampung Tbk","-10.5378063425"
"LEAD","Logindo Samudramakmur Tbk","-10.83485339031"
"FOOD","Sentra Food Indonesia Tbk PT","-11.26265647618"
"BOSS","Borneo Olah Sarana Sukses PT","-11.39438636564"
"PRDA","Prodia Widyahusada Tbk PT","-11.39650738247"
"PGAS","Perusahaan Gas Negara Persero","-11.8594577016"
