[Stock_List]SymbolExchange	sortino_ratio_raw	sortino_ratio_normalised	ta_score	risk_score	combo_score	CQR
STOB.L	0	0	39.2	63.533	66.33189118373	0
SYM.L	0	0	52.393	54.74	74.26108357006	0
TALK.L	0	0	40.514	81.293	68.81972001113	0
TATE.L	0	0	61.954	84.444	83.54680806733	0
TCM.L	0	0	48.241	48.889	71.00919778374	0
TDE.L	0	0	43.8832090625	43.38709666667	56.8993380625	0
TEF.L	0	0	51.079	84.385	75.82835077496	0
THL.L	0	0	0	0	0	0
TIDE.L	0	0	46.945	38.243	69.53747521596	0
TON.L	0	0	47.17	25.589	69.16603662846	0
TRI.L	0	0	51.204	73.411	74.87907156803	0
TTG.L	0	0	50.776	57.448	73.31593768997	0
TUNE.L	0	0	67.629	78.503	87.34029157159	0
TYMN.L	0	0	64.646	52.593	83.23489319036	0
TYT.L	0	0	0	0	0	0
UCG.L	0	0	45.384	43.489	68.77444174175	0
ULS.L	0	0	49.969	55.177	72.60100605784	0
UVEL.L	0	0	36.412	40.457	38.38154426818	0
VCP.L	0	0	51.026	84.943	75.84873676212	0
VNET.L	0	0	44.676	73.111	70.54795975002	0
VP.L	0	0	39.245	64.336	66.4280882281	0
VTC.L	0	0	37.478	46.936	64.05364480371	0
WCW.L	0	0	59.259	44.259	78.66337393152	0
WIZZ.L	0	0	71.589	56.811	98.18583908024	0
WPP.L	0	0	50.887	59.318	73.52661443423	0
WRL.L	0	0	41.971	34.768	66.10868388616	0
WSP.L	0	0	0	0	0	0
WTB.L	0	0	36.586	51.182	63.83023685652	0
ZOO.L	0	0	39.785	45.689	65.35074483041	0
