[Stock_List]SymbolExchange	sortino_ratio_raw	sortino_ratio_normalised	ta_score	risk_score	combo_score	CQR
HEWP	0	0	38.163	47.693	64.50682577379	0
HEWU	0	0	46.222	34.615	68.87895995331	0
HEWW	0	0	29.706	19.848	58.4628199402	0
HEWY	0	0	49.136	20.417	70.36947737485	0
HEZU	0	0	43.029	68.033	69.05113220658	0
HHYX	0	0	62.454	40.569	80.92359392964	0
HJPX	0	0	53.004	49.39	74.35702727382	0
HSCZ	0	0	54.363	62.333	76.1906951603	0
HYG	0	0	57.526	84.506	80.32405890666	0
HYGH	0	0	55.422	52.27	76.27248419319	0
HYXE	0	0	71.282	21.319	87.30422957961	0
HYXU	0	0	64.531	50.504	92.83753994177	0
IAGG	0	0	70.237	85.926	89.98739434965	0
IAI	0	0	50.892	55.381	73.25319534662	0
IAK	0	0	32.417	50.185	61.46161378657	0
IAT	0	0	43.006	79.092	70.08933612013	0
IAU	0	0	46.965	58.666	70.81994200111	0
IBB	0	0	50.04	56.716	72.75647750572	0
IBCC	0	0	52.319	41.925	73.4538716968	0
IBCD	0	0	53.816	70.154	76.41403268013	0
IBCE	0	0	53.266	43.266	74.20068708604	0
IBDB	0	0	48.127	42.111	70.53941024626	0
IBDC	0	0	57.971	73.163	79.63913015729	0
IBDD	0	0	50.821	44.486	72.53195446588	0
IBDH	0	0	63.406	54.503	82.38733377656	0
IBDJ	0	0	59.889	72.797	81.01628607762	0
IBDK	0	0	48.528	46.929	71.08569882677	0
IBDL	0	0	64.799	55.149	83.50232032159	0
IBDM	0	0	55.2	50.197	75.98563346324	0
IBDN	0	0	54.343	54.463	75.63148353834	0
IBDO	0	0	51.696	50.254	73.48311522003	0
IBDP	0	0	61.279	52.696	80.65379097377	0
IBDQ	0	0	48.129	57.491	71.51132776204	0
IBDR	0	0	60.835	50.037	80.1637720433	0
IBMF	0	0	52.3108784375	53.67366666667	68.4129784375	0
IBMG	0	0	31.603	45.185	60.68361549257	0
IBMH	0	0	31.844	55.387	35.91845090215	0
IBMI	0	0	37.121	50.142	64.06440865067	0
IBMJ	0	0	32.77	54.287	61.96055158897	0
IBMK	0	0	42.995	55.775	68.03342253077	0
ICF	0	0	54.576	77.463	77.57954787964	0
ICLN	0	0	56.395	50.408	76.87056007836	0
ICOL	0	0	52.749	36.818	73.5150179362	0
ICSH	0	0	67.815	42.248	85.20278540259	0
ICVT	0	0	55.217	67.784	77.21682101744	0
IDU	0	0	54.659	52.593	75.74000534335	0
IDV	0	0	55.018	52.046	75.96559138478	0
IEF	0	0	47.005	49.63	70.22216420761	0
IEFA	0	0	57.515	50.37	88.09834020003	0
IEI	0	0	40.275	64.847	67.08604647622	0
IEMG	0	0	54.525	48.889	75.41941204948	0
IEO	0	0	47.284	78.695	72.75395472584	0
IEUR	0	0	53.874	49.63	74.99393440139	0
IEUS	0	0	57.966	49.63	77.9855081217	0
IEV	0	0	56.912	80.741	79.53424143908	0
IEZ	0	0	45.001	60.746	69.69359287223	0
IFEU	0	0	60.386	49.112	89.93635507936	0
IFGL	0	0	61.362	51.852	90.73186725379	0
IGE	0	0	50.136	62.341	73.23520001536	0
IGF	0	0	55.739	68.594	77.65499620913	0
IGM	0	0	76.367	57.778	101.7711424941	0
IGN	0	0	63.191	48.216	91.80050609904	0
IGOV	0	0	52.578	51.706	74.19610517568	0
IGRO	0	0	61.474	74.035	82.294343586	0
IGV	0	0	69.498	55.556	96.60618109748	0
IHE	0	0	52.164	59.767	74.44844781465	0
IHF	0	0	63.9	50.37	82.53212902258	0
IHI	0	0	72.275	53.333	98.51229580621	0
IJH	0	0	49.834	69.863	73.6390049173	0
IJJ	0	0	53.983	87.407	78.11378122591	0
IJK	0	0	59.978	89.63	92.44121810643	0
IJR	0	0	61.231	67.521	81.60608464257	0
IJS	0	0	56.509	51.852	77.04053330786	0
IJT	0	0	54.946	57.982	76.29963974463	0
ILF	0	0	51.014	48.068	72.87232761591	0
ILTB	0	0	61.892	54.966	81.25597312223	0
IMTB	0	0	50.31	37.889	71.83521398931	0
IMTM	0	0	50.427	50.602	72.61771784737	0
INDA	0	0	67.669	58.784	85.96565500268	0
INDF	0	0	46.71	42.45	69.59888163613	0
INDY	0	0	67.312	52.593	85.32202220066	0
INTF	0	0	52.748	52.865	74.39002113355	0
IOO	0	0	68.873	73.53	97.23728508139	0
IPAC	0	0	61.142	53.723	80.61078482195	0
IPFF	0	0	55.024	50.37	75.86819423843	0
IQLT	0	0	55.158	68.01	87.6566447738	0
ISCF	0	0	53.005	37	73.70712329891	0
ISHG	0	0	64.713	63.033	93.65018252524	0
ISTB	0	0	44.341	54.99	68.83513121946	0
ISZE	0	0	57.415	24.097	76.47706918946	0
ITA	0	0	58.845	48.889	78.59927553031	0
ITB	0	0	65.093	67.02	84.50650794465	0
ITOT	0	0	59.174	56.296	89.50862439698	0
IUSB	0	0	56.358	55.437	77.15450506101	0
IUSG	0	0	72.091	90.37	100.7825312343	0
IUSV	0	0	51.803	58.748	74.12267051557	0
IVE	0	0	50.993	51.852	73.09078423687	0
IVLU	0	0	65.39	50.407	83.69307025322	0
IVV	0	0	60.84	62.77	91.00061626714	0
IVW	0	0	67.918	57.778	86.10053123855	0
IWB	0	0	59.863	55.556	89.92419580536	0
IWC	0	0	53.945	61.929	75.86323957418	0
IWD	0	0	47.78	54.815	71.08691848892	0
IWF	0	0	70.76	73.208	98.56127339762	0
IWL	0	0	60.126	46.815	79.45051199489	0
IWM	0	0	55.61	70.258	77.69638917453	0
IWN	0	0	50.575	78.938	74.95758354536	0
IWO	0	0	58.052	74.256	79.78903760693	0
IWP	0	0	60.945	80.678	92.33145507659	0
IWR	0	0	52.058	57.778	74.23262166703	0
IWS	0	0	51.984	64.329	74.66442310559	0
IWV	0	0	62.184	87.959	93.7451895688	0
IWX	0	0	44.167	55.415	68.75389362974	0
IWY	0	0	69.392	87.725	98.65526073277	0
IXC	0	0	55.146	72.556	77.5556245429	0
IXG	0	0	48.222	52.593	71.23414498967	0
IXJ	0	0	58.585	55.229	78.7827648962	0
IXN	0	0	70.824	54.074	88.19976614958	0
IXP	0	0	57.938	55.579	88.65564909068	0
IXUS	0	0	61.487	80.65	92.68791287973	0
IYC	0	0	56.427	60.518	77.54756526262	0
IYE	0	0	47.05	81.493	72.87936823553	0
IYF	0	0	42.914	51.111	67.65147067795	0
IYG	0	0	45.637	56.39	69.77765156553	0
IYH	0	0	56.98	50.37	77.29852987606	0
IYJ	0	0	57.936	55.054	78.29026094247	0
IYK	0	0	57.432	64.354	78.55675644042	0
IYLD	0	0	55.683	70.908	77.80174477966	0
IYM	0	0	54.923	51.427	75.85883072267	0
IYR	0	0	62.993	80.653	83.98547270695	0
IYT	0	0	52.565	70.312	75.55143404304	0
IYW	0	0	68.963	68.781	87.64513509311	0
IYY	0	0	64.617	63.02	93.58308354078	0
IYZ	0	0	55.465	71.17	77.66744122217	0
JKD	0	0	50.236	53.333	72.66121727586	0
JKE	0	0	74.771	52.593	100.3227021636	0
JKF	0	0	51.454	54.05	73.55569550348	0
JKG	0	0	50.897	82.563	75.52485032233	0
JKH	0	0	68.338	61.892	86.6881653616	0
JKI	0	0	45.965	54.481	69.85640534332	0
JKJ	0	0	53.602	39.136	74.23624982877	0
JKK	0	0	63.26	53.319	92.1015201747	0
JKL	0	0	52.387	50.852	74.00764217539	0
JPMV	0	0	70.984	38.593	87.59438352092	0
JPXN	0	0	59.388	36.926	78.41971816348	0
JXI	0	0	52.046	51.185	73.78738033194	0
KLD	0	0	68.896	57.926	86.88294855056	0
KSA	0	0	56.567	58.386	77.50244343658	0
KXI	0	0	56.163	51.926	76.7916038499	0
LEMB	0	0	55.94	49.938	76.50964609747	0
LQD	0	0	55.219	58.383	76.52391575847	0
LQDH	0	0	59.04	42.741	78.42278353444	0
LRGF	0	0	58.094	60.797	78.78818188542	0
MATF	0	0	52.337	51.13	73.98950256624	0
MBB	0	0	51.507	52.57	73.49622772633	0
MCHI	0	0	65.148	78.194	85.4081322313	0
MEAR	0	0	37.184	47.072	63.89107482708	0
MPCT	0	0	54.641	62.714	76.41736061027	0
MTUM	0	0	61.952	87.355	83.81426457501	0
MUB	0	0	40.177	48.148	42.69463690395	0
MXI	0	0	63.909	54.074	82.74974352734	0
NEAR	0	0	60.771	79.259	82.21005691696	0
NYF	0	0	37.018	67.532	42.19933312459	0
OEF	0	0	58.219	56.993	78.6243610175	0
PFF	0	0	54.052	51.111	75.21122783794	0
PICK	0	0	58.814	51.852	78.74683033215	0
QAT	0	0	46.993	78.519	72.54800515169	0
QLTA	0	0	53.134	47.111	74.31670152052	0
QUAL	0	0	51.229	79.598	75.46281326163	0
REET	0	0	48.159	84.802	73.93587362952	0
REM	0	0	50.214	75.036	74.35174451645	0
REZ	0	0	58.57	48.889	78.39360298449	0
RING	0	0	46.497	55.851	70.30441726584	0
RXI	0	0	62.078	50.815	91.16508577438	0
SCJ	0	0	71.552	78.713	99.51032598283	0
SCZ	0	0	54.592	69.143	76.88012984127	0
SHV	0	0	62.336	48.325	91.21926552133	0
SHY	0	0	37.891	73.425	66.49013939864	0
SHYG	0	0	54.611	51.111	75.61396306166	0
SIZE	0	0	45.989	74.47	71.51299463734	0
SLQD	0	0	42.65	49.371	67.36762655527	0
SLV	0	0	44.351	61.204	69.31193884491	0
SLVP	0	0	49.392	61.42	72.65732681568	0
SMIN	0	0	60.366	86.667	82.58364944715	0
SMLF	0	0	56.317	46.926	76.61454784726	0
SMMV	0	0	52.435	59.989	85.43014945492	0
SOXX	0	0	69.747	84.188	89.45685971439	0
STIP	0	0	51.532	72.87	75.05631449119	0
SUB	0	0	36.767	66.541	41.83665510399	0
TCHF	0	0	72.445	63.407	90.05619530832	0
TFLO	0	0	42.597	43.331	66.95883966654	0
