[Stock_List]SymbolExchange	sortino_ratio_raw	sortino_ratio_normalised	ta_score	risk_score	combo_score	CQR	Beta	OutlierPC	CloseToSMA6Ratio	UltraShortTerm_Score
600330.SS	6.287	99.8	80.29	90.87	75.65	5	1.32	90.37	1.056	76.443
600331.SS	6.614	99.8	63.98	90.38	75.52	0	1.17	76.48	1.022	52.131
600335.SS	0.507	70.878	54.61	61.04	48.85	0	1.25	58.56	0.992	56.236
600336.SS	-0.501	59.186	49.88	52.83	47.84	5	1.35	54.27	0.994	48.563
600337.SS	-0.686	57.047	26.68	31.72	31.46	0	1.64	17.54	0.959	28.086
600338.SS	1.832	86.256	61.53	66.69	57.05	0	1.36	65.31	0.984	56.909
600339.SS	1.346	80.616	54.77	59.53	52.56	0	1.34	68.46	0.998	46.628
600345.SS	0.931	75.8	60.69	56.12	57.36	0	1.29	56.13	1.024	70.515
600346.SS	1.353	80.699	47.04	62.17	52.88	0	0.63	67.5	0.989	40.708
600348.SS	2.519	94.223	58.54	72.86	59.27	5	1.36	63.25	0.982	65.712
600350.SS	-1.224	50.804	32.1	38.23	35.75	5	0.09	32.67	0.991	63.406
600352.SS	2.921	98.879	59.32	74.35	65.63	5	0.97	70.57	1.002	57.183
600353.SS	1.733	85.098	53.22	57.78	57.58	0	1.01	42.29	1.006	68.454
600354.SS	0.75	73.706	45.15	49.08	48.06	0	-0.82	46.51	0.986	40.536
600362.SS	3.32	99.8	51.52	71.29	55.35	5	1.36	61.25	0.987	44.344
600366.SS	2.59	95.044	54.45	67.02	62.36	0	1.43	68.27	1.019	38.758
600367.SS	1.224	79.193	49.62	36.22	42.33	0	1.27	62.38	0.992	44.448
600368.SS	0.912	75.585	40.96	57.71	44.37	0	0.83	46.15	0.988	47.572
600373.SS	-0.051	64.406	39.19	45.88	39.16	0	1.1	41.77	0.996	49.902
600378.SS	1.659	84.24	47.26	53.64	44.13	5	1.21	47.44	0.988	51.072
600382.SS	1.53	82.752	47.38	55.82	55.87	5	1.31	42.69	0.991	62.744
600392.SS	12.907	99.8	71.27	92.09	81.26	0	1.19	77.37	1.101	55.824
600398.SS	-0.419	60.143	36.32	54.07	42.45	0	1.23	27.5	0.984	46.104
600400.SS	0.039	65.449	46.36	43.58	38.5	0	1.35	46.04	0.992	42.753
600406.SS	0.369	69.277	49.39	45.14	37.8	5	0.52	46.96	0.981	55.68
600408.SS	2.101	89.368	46.61	63.81	54.58	5	1.43	56.43	0.974	35.034
600409.SS	6.459	99.8	68.69	85.38	69.48	0	1.36	75.09	1.015	69.884
600415.SS	1.882	86.834	59.62	69.8	69.4	5	1.48	77.8	1.047	51.424
600419.SS	1.017	76.793	41.32	72.73	64.44	5	0.97	63.75	0.994	16.715
600426.SS	4.01	99.8	61.37	81.25	70.13	5	0.99	71.44	1.004	60.88
600435.SS	4.626	99.8	83.51	85.08	76.27	0	1.54	93.1	1.105	92.226
600436.SS	-0.114	63.683	51.26	63.07	49.98	5	0.31	69.72	0.999	63.564
600438.SS	3.3	99.8	66.95	78.43	63.72	0	1.4	63.05	1.001	73.424
600439.SS	-0.766	56.116	30.32	46.34	40.19	0	1.48	5.76	0.921	37.103
600446.SS	3.079	99.8	75.93	72.73	69.36	0	1.38	79.43	1.081	82.388
600449.SS	1.24	79.381	54.67	54.65	46.24	0	1.3	53.97	0.98	55.474
600456.SS	3.192	99.8	65.66	67.75	60.87	0	1.43	72.55	1.006	62.353
600458.SS	3.061	99.8	47.95	37.62	38.25	5	1.32	33.31	0.989	65.763
600459.SS	3.724	99.8	47.47	63.94	53.2	0	1.27	57.46	0.981	40.094
600460.SS	3.109	99.8	68.78	86.42	76.37	0	1.42	78.52	1.019	59.013
600469.SS	2.084	89.171	55.89	75.02	55.13	5	1.25	66.34	0.994	54.493
600477.SS	2.058	88.873	49.99	62.61	47.79	0	1.37	53.95	0.983	52.271
600479.SS	2.748	96.881	70.77	91.17	75.2	0	1.1	77.41	1.014	59.02
600486.SS	4.659	99.8	72.5	88.16	79.5	5	1.06	84.75	1.067	75.209
600498.SS	2.562	94.718	69.04	86.1	71.59	0	1.31	73.12	1.019	70.22
600499.SS	1.85	86.461	55.24	73.89	64.21	0	1.2	62.59	0.993	53.419
600507.SS	8.047	99.8	70.26	82.79	66.08	0	1.24	71.04	1.006	74.409
600508.SS	2.597	95.121	57.09	74.41	59.67	0	1.39	61.52	0.987	64.297
600509.SS	0.596	71.912	46.71	63.54	51.05	0	1.21	44.89	0.988	52.428
600511.SS	0.782	74.074	50.56	55.24	49.47	5	0.68	60.29	0.995	50.732
600519.SS	-1.198	51.101	39.49	64.76	55.16	5	0.64	53.59	0.985	43.293
600522.SS	2.111	89.493	55.1	68.16	54.15	5	1.33	47.99	0.996	58.012
600525.SS	-1.759	44.591	26.57	37.79	30.01	0	1.25	16.01	0.979	36.026
600530.SS	0.399	69.628	40.56	44.21	49.7	0	1.32	46.64	0.982	22.681
600531.SS	3.113	99.8	53.73	63.59	58.12	5	1.29	56.86	0.983	55.71
600546.SS	1.966	87.809	60.21	74.21	59.97	5	1.35	66.75	0.984	66.07
600549.SS	7.66	99.8	64.08	90.42	71.87	0	1.19	74.1	1.02	49.124
600550.SS	-0.856	55.073	53.56	55.27	48.81	0	1.33	50.63	0.98	66.36
600552.SS	1.342	80.569	64.61	78.58	64.81	0	1.29	71.38	1.007	58.324
600558.SS	-0.145	63.314	49.02	54.13	49.92	0	1.28	50.22	0.974	49.159
600559.SS	0.646	72.492	50.7	66.13	50.11	0	1.26	59.56	0.993	58.453
600563.SS	3.246	99.8	46.01	51.16	42.01	5	1.23	43.31	0.988	46.506
600566.SS	2.22	90.748	56.47	64.71	53.06	0	0.88	58.85	0.995	62.238
600569.SS	3.735	99.8	66.7	82.15	69.44	0	1.34	69.23	1.003	75.91
600580.SS	4.204	99.8	58.85	82.18	62.65	5	1.22	68.08	0.993	54.333
600585.SS	0.802	74.301	51.31	61.16	49.33	0	0.45	58.71	0.966	41.69
600588.SS	1.731	85.075	73.87	75.55	68.28	0	1.3	72.47	1.033	71.421
600592.SS	-1.013	53.254	39.18	35.44	41.38	0	1.46	52.31	0.985	37.625
600596.SS	7.327	99.8	73.51	91.23	77.4	0	1.34	76.84	1.037	74.293
600598.SS	0.625	72.253	45.55	61.19	48.99	0	-0.62	58.43	0.995	51.836
600600.SS	-0.761	56.176	37.21	50.4	39.67	5	0.32	46.04	0.991	44.737
600602.SS	1.739	85.172	50.91	65.18	56.28	0	1.18	60.52	0.991	40.509
600619.SS	7.098	99.8	71.24	94.0	77.26	0	1.26	77.55	1.063	55.674
600620.SS	1.359	80.765	46.33	53.69	46.78	0	1.34	52.4	0.978	41.764
600621.SS	3.274	99.8	68.27	88.66	75.46	5	1.43	86.55	1.028	69.539
600622.SS	1.316	80.26	66.72	66.91	61.07	0	1.53	59.81	1.027	71.489
600633.SS	1.754	85.349	60.63	57.23	54.56	0	1.4	61.77	1.007	70.174
600635.SS	1.895	86.984	53.53	56.3	46.63	0	1.36	59.68	0.99	47.498
600638.SS	0.91	75.561	43.42	42.99	47.51	0	1.28	46.98	0.993	53.467
600641.SS	1.904	87.086	66.69	91.11	75.1	0	1.37	82.62	1.034	58.622
600655.SS	1.042	77.089	52.62	62.42	50.49	0	1.46	63.91	0.992	42.508
600657.SS	0.392	69.545	66.72	61.52	55.61	0	1.51	67.71	1.034	78.699
600660.SS	-1.658	45.762	28.01	41.7	36.16	0	0.61	10.68	0.973	33.861
600663.SS	1.065	77.353	52.22	57.83	47.76	0	1.44	60.14	0.996	50.0
600665.SS	1.617	83.761	46.46	66.33	52.21	0	1.39	48.16	0.998	50.421
600674.SS	-2.047	41.258	38.06	64.87	46.28	0	0.11	43.02	0.99	52.53
600675.SS	1.162	78.482	60.28	60.68	53.82	0	1.4	53.65	1.003	66.202
600685.SS	3.152	99.8	65.08	69.25	70.83	5	1.61	76.06	1.02	67.414
600686.SS	-0.657	57.378	41.84	44.9	41.86	5	1.37	28.81	0.991	64.934
600690.SS	1.107	77.842	47.78	64.53	48.36	5	1.44	56.84	0.979	39.641
600698.SS	3.613	99.8	68.83	73.99	71.12	0	1.73	64.17	1.043	58.466
600699.SS	0.111	66.292	64.55	71.29	65.27	5	1.14	74.14	1.013	66.397
600702.SS	0.036	65.422	46.63	67.71	53.56	5	0.63	63.35	0.993	50.745
600704.SS	2.683	96.125	46.48	50.91	43.1	0	1.39	44.33	0.98	46.4
600708.SS	0.536	71.22	73.05	81.28	68.77	0	1.31	91.41	1.061	79.356
600710.SS	3.687	99.8	62.04	56.73	52.63	5	1.21	67.79	1.002	55.327
600711.SS	5.132	99.8	56.74	71.64	63.15	0	0.64	70.16	1.004	38.557
600717.SS	3.411	99.8	52.67	65.24	49.03	0	1.33	57.25	0.992	54.167
600720.SS	0.591	71.857	55.57	58.95	48.92	0	1.36	57.36	0.978	64.836
600728.SS	2.163	90.092	56.85	72.12	59.9	0	1.29	68.02	1.012	54.9
600736.SS	0.825	74.574	57.74	62.32	53.58	0	1.39	64.17	1.002	53.786
600737.SS	1.212	79.063	53.07	51.24	47.71	0	0.88	55.27	0.987	60.398
600739.SS	3.365	99.8	64.17	89.65	71.55	5	1.37	70.67	1.008	63.744
600740.SS	2.024	88.478	60.7	74.21	61.11	0	1.36	59.99	0.978	69.138
600741.SS	1.751	85.309	63.48	76.46	67.73	5	0.62	69.56	1.005	67.377
600742.SS	1.994	88.127	55.7	76.68	64.7	0	1.35	69.69	1.003	45.566
600754.SS	-0.195	62.735	50.29	60.64	48.46	0	1.22	65.6	0.998	51.693
600755.SS	1.425	81.527	53.38	62.38	51.83	0	1.33	64.96	0.999	46.497
600756.SS	-0.401	60.343	54.61	51.02	47.73	0	1.32	61.67	1.003	61.726
600760.SS	4.549	99.8	73.04	79.66	72.14	5	0.91	72.31	1.028	76.32
600761.SS	2.517	94.196	33.76	52.22	45.82	5	1.21	33.07	0.964	28.804
600763.SS	3.088	99.8	71.47	80.52	68.05	5	1.33	78.07	1.028	63.387
600764.SS	2.461	93.544	66.29	66.94	66.67	5	1.5	69.14	1.011	59.704
