"Symbol","Company Name","ADTValue","Beta","Weighted Score","Wtd Sortino","Wtd BullishVolume","Wtd PriceUp","TDI","TII","MFI","Weighted Score","Price last week","Price this week","Price move %"
"601985.SS","China National Nuclear Power Co., Ltd","396076808","32.75","73.091","99.8","65.781","53.69265","100","100","62.37858","73.091","11.17","11.7","4.74",""
"600025.SS","Huaneng Lancang River Hydropower Inc","251987654","22.7","72.216","99.8","62.257","54.59045","100","100","57.21908","72.216","11.48","11.84","3.14",""
"601298.SS","Qingdao Port International Co., Ltd","70917175","45.95","69.385","92.3367","59.775","56.04295","74.83313","100","65.29047","69.385","9.2","9.32","1.3",""
"601088.SS","China Shenhua Energy Company Limited","159860944","32.65","68.004","88.823","63.429","51.76046","90.775455","94.72269","53.96992","68.004","41","41.97","2.37",""
"601899.SS","Zijin Mining Group Company Limited","433106542","74.3","67.012","93.0842","57.549","50.40238","49.773965","68.04349","57.33257","67.012","18.5","17.94","-3.03",""
"600000.SS","Shanghai Pudong Development Bank Co., Ltd","323728561","11.8","66.716","92.0172","61.064","47.06558","51.411235","100","61.49912","66.716","8.83","8.73","-1.13",""
"601939.SS","China Construction Bank Corporation","831135210","-0.9","66.701","85.5516","62.148","52.40485","83.410725","100","58.12934","66.701","7.37","7.55","2.44",""
"600183.SS","Shengyi Technology Co Ltd","2178140825","32.1","65.776","86.2563","62.344","48.72754","61.238715","100","59.32346","65.776","22.81","22.25","-2.46",""
"600685.SS","CSSC Offshore & Marine Engineering (Group) Company Limited","220468070","87.25","65.327","78.6196","67.357","50.00445","75.38758","93.72281","57.75161","65.327","28.93","29.05","0.41",""
"603358.SS","Huada Automotive Technology Corp.,Ltd","165822262","68.25","65.315","89.2895","62.034","44.62091","50","100","61.11332","65.315","31.2","29.3","-6.09",""
"600989.SS","Ningxia Baofeng Energy Group Co., Ltd","28133078","45.7","65.242","87.2164","58.554","49.95496","61.932715","92.25841","55.87538","65.242","17.45","17.6","0.86",""
"600350.SS","Shandong Hi-speed Company Limited","46517814","38.15","64.685","84.3824","56.851","52.82257","50.897735","79.68914","55.34503","64.685","8.8","8.8","0",""
