"Symbol","Company Name","ADTValue","AggregateScore","Sortino","Beta","BullishVolume","PriceUp","TDI","TII","MFI"
"600415.SS","Zhejiang China Commodities City Group Co., Ltd","1137868278","72.883","99.8","32.1","63.298","48.1069","100","100","66.87666",""
"600419.SS","Xinjiang Tianrun Dairy Co., Ltd","61789448","66.795","48.6841","54.15","54.461","44.54343","100","96.40821","69.31645",""
"600426.SS","Shandong Hualu-Hengsheng Chemical Co., Ltd","551564119","48.192","53.4092","55.4","48.227","48.1069","56.661285","71.37434","47.50334",""
"600436.SS","ZHANGZHOU PIENTZEHUANG PHARMACE","602846407","68.752","61.58","66.75","55.017","45.4343","100","97.38655","55.0986",""
"600458.SS","Zhuzhou Times New Material Technology Co., Ltd","184318213","73.529","86.2323","54.7","62.635","46.7706","100","97.90109","66.46072",""
"600459.SS","Sino-platinum Metals Co Ltd","155046489","67.781","64.3294","51.1","54.239","48.99777","100","95.26201","60.54162",""
"600469.SS","Aeolus Tyre Co., Ltd","89078682","69.738","81.0484","47.3","57.437","48.1069","100","100","54.27297",""
"600486.SS","Jiangsu Yangnong Chemical Co., Ltd","147776915","62.971","53.1079","45.2","50.312","44.54343","98.35367","92.33695","58.59147",""
"600507.SS","Fangda Special Steel Technology Co Ltd","98209610","63.853","50.1236","50.15","51.434","39.42094","100","95.89057","59.95246",""
"600508.SS","Shanghai Datun Energy Resourses Co Ltd","92822123","62.772","65.4701","47.65","60.389","46.54788","84.22083","92.3122","58.59039",""
"600511.SS","China National Medicines Corporation Ltd","229048577","53.921","75.781","46.05","55.865","51.00223","60.430755","78.09107","49.79867",""
"600519.SS","KWEICHOW MOUTAI","7764204491","66.207","62.5527","58.75","48.409","44.32071","100","90.68818","58.72994",""
"600522.SS","Jiangsu Zhongtian Technology Co., Ltd","1151977669","66.048","72.9533","54.75","57.694","46.54788","91.51819","92.13605","55.21694",""
"600531.SS","Henan Yuguang Gold&Lead Co., Ltd","253303367","72.944","79.4477","64.1","57.199","49.22049","100","99.78407","60.85963",""
"600546.SS","Shanxi Coal International Energy Group Co.,Ltd","336485935","61.049","65.2587","54.1","58.871","46.32517","79.283675","91.17244","53.04956",""
"600563.SS","XIAMEN FARATRONIC CO.LTD.","340728963","69.431","64.725","45.8","61.907","43.42984","100","100","70.15635",""
"600569.SS","Anyang Iron & Steel Inc","76022375","67.661","68.2961","50.35","56.505","38.9755","100","99.3792","60.12108",""
"600580.SS","Wolong Electric Drive Group Co., Ltd","748267573","70.46","78.6538","54.75","53.506","46.99332","100","95.16539","64.15059",""
"600598.SS","Heilongjiang Agriculture Co Ltd","385761822","68.997","74.5743","42","53.935","47.43875","100","99.82712","65.20205",""
"600600.SS","TSINGTAO BREWERY CO","534046222","62.776","49.2104","69.05","55.112","44.54343","88.0283","89.34879","56.10791",""
"600621.SS","Shanghai Chinafortune Co., Ltd","628786910","76.328","84.881","77.15","64.846","47.43875","100","100","59.98222",""
"600638.SS","Shanghai New Huang Pu Real Estate Co Ltd","76723550","71.267","67.9333","64.4","52.2","47.21604","100","100","67.12154",""
"600685.SS","CSSC Offshore & Marine Engineering (Group) Company Limited","405237315","46.41","79.7652","50.8","64.389","49.44321","50","20.39696","60.0743",""
"600686.SS","Xiamen King Long Motor Group Co., Ltd","1211704036","49.091","92.2106","70.8","63.827","45.65702","50","16.73732","54.4024",""
"600690.SS","Haier Smart Home Co., Ltd","1288541504","66.581","76.7281","39.9","52.542","45.87973","100","100","51.01954",""
"600699.SS","Ningbo Joyson Electronic Corp","430702115","72.043","79.3147","59.6","55.805","47.66147","100","98.62975","63.28739",""
"600702.SS","SHEDE SPIRITS CO LTD","1044322938","67.566","45.897","59.55","63.898","41.20267","100","93.69851","68.71607",""
"600705.SS","AVIC Capital Co.,Ltd","1143033649","76.662","82.666","80.9","59.993","40.97996","100","100","72.095",""
"600710.SS","Sumec Corporation Limited","167393722","72.054","87.1256","55.05","57.486","44.54343","100","100","60.17534",""
"600737.SS","COFCO Tunhe Sugar Co Ltd","417080662","69.184","82.8119","45.55","54.755","49.22049","97.34704","99.53199","57.72522",""
"600739.SS","Liaoning Cheng Da Co., Ltd","297270211","69.906","67.1837","65.45","50.171","43.65256","100","100","62.88782",""
"600740.SS","Shanxi Coking Co Ltd","95084648","67.094","56.2734","59.5","51.27","42.09354","100","98.62506","61.89371",""
"600741.SS","HUAYU Automotive Systems Company Limited","346892981","63.304","64.3699","39.7","50.966","46.32517","97.23009","97.43472","49.87128",""
"600760.SS","AVIC SHENYANG AIRCRAFT CO LTD","1162664319","73.388","88.0427","59.5","65.145","47.66147","100","96.12928","57.2385",""
"600761.SS","Anhui Heli Co., Ltd","370705798","64.955","81.2059","59.95","53.757","49.22049","81.008035","99.95438","48.5838",""
"600763.SS","TOPCHOICE MEDICAL CORPORATION","534574121","68.2","43.6581","78.7","54.414","41.87082","100","100","58.75924",""
"600764.SS","China Marine Information Electronics Company Limited","298122997","71.982","80.6574","39.4","66.514","49.88864","100","100","67.41186",""
"600782.SS","Xinyu Iron And Steel Co Ltd","236030317","68.802","66.5072","59.25","59.359","41.42539","100","90.91102","64.15844",""
"600789.SS","Shandong Lukang Pharmaceutical Co.,Ltd","550305898","72.359","80.5115","56.55","64.599","47.66147","100","96.49754","60.6954",""
"600790.SS","Zhejiang China Light&Textile Industrial City Group Co.,Ltd","40949798","65.401","59.0544","42","52.369","44.76615","100","100","59.61889",""
"600809.SS","SHANXI XINGHUACUN FENWINE FACTO","1763197026","68.823","58.8685","83.25","55.155","44.98886","98.39628","87.32969","55.375",""
"600810.SS","Shenma Industrial Co., Ltd","68852203","67.332","64.7245","50.8","49.538","46.99332","100","100","59.27131",""
"600829.SS","HPGC Renmintongtai Pharmaceutical Corporation","102895840","70.593","74.6268","52.85","59.692","51.00223","100","93.76019","62.22131",""
"600835.SS","Shanghai Mechanical & Electrical Industry Co., Ltd","365427632","74.348","91.2984","60.75","64.014","47.88419","100","99.62187","56.86787",""
"600850.SS","Shanghai East-China Computer Co.,Ltd","302225408","72.92","76.7155","61.75","55.659","49.22049","100","100","67.09189",""
"600864.SS","Harbin Hatou Investment Co.,Ltd","477472780","76.625","84.5487","75.6","65.098","46.32517","100","99.89022","64.91626",""
"600885.SS","HONGFA TECHNOLOGY CO LTD","289305384","66.686","67.528","48.75","51.372","44.54343","100","100","54.60641",""
"600887.SS","Inner Mongolia Yili Industrial Group Co., Ltd","2172775828","66.92","65.0521","52.55","52.488","43.65256","100","94.10284","60.59643",""
"600908.SS","Wuxi Rural Commercial Bank Co.,Ltd","145981927","69.1","73.8581","50.85","56.679","45.87973","100","97.14858","59.2836",""
"600926.SS","Bank of Hangzhou Co., Ltd","485390587","65.961","71.5418","35.8","55.462","44.098","98.865695","94.09631","62.9998",""
"600933.SS","IKD Co., Ltd","198921117","67.19","63.209","57.2","56.493","43.20713","100","95.01794","55.19949",""
"600966.SS","Shandong Bohui Paper Industrial Co Ltd","78564331","61.304","49.7561","66","52.11","42.09354","88.320355","87.82765","54.6966",""
"600967.SS","Inner Mongolia First Machinery Group Co Ltd","122186415","67.326","67.8987","49.15","55.558","47.88419","100","93.77485","57.01298",""
"600971.SS","Anhui Hengyuan Coal-Electricity Group Co., Ltd","150088753","51.679","78.8706","54.7","58.823","48.77506","50","70.39217","50.19499",""
"600976.SS","Jianmin Pharmaceutical Group Co., Ltd","126256267","52.376","68.2047","67.3","57.359","47.21604","66.946195","40.95774","51.70065",""
"600985.SS","Huaibei Mining Holdings Co.,Ltd","392750026","66.72","76.5111","52.65","55.868","46.54788","94.031335","97.89671","49.50049",""
"600989.SS","Ningxia Baofeng Energy Group Co., Ltd","457130528","60.718","81.9622","40.65","51.645","48.99777","78.43478","91.32938","53.57097",""
"600993.SS","Mayinglong Pharmaceutical Group Co., LTD","203734982","47.543","75.319","55.55","57.014","48.77506","56.6267","30.09484","52.79574",""
"600997.SS","Kailuan Energy Chemical Co Ltd","85223743","68.582","69.0047","58.8","54.607","49.22049","96.803175","97.6175","57.21629",""
"600998.SS","Jointown Pharmaceutical Group Co., Ltd","198951189","69.219","63.9958","64.5","55.762","47.66147","100","98.20655","54.40823",""
"600999.SS","China Merchants Securities Co., Ltd","1241891025","73.46","98.4074","47.45","59.632","46.10245","100","100","62.62472",""
"601001.SS","Datong Coal Industry Co Ltd","282285094","63.494","77.0641","46.3","61.772","44.98886","85.46435","95.81669","47.58524",""
"601003.SS","Liuzhou Iron & Steel Co Ltd","61702871","68.156","61.2175","57.5","54.108","40.75724","100","98.15973","65.34748",""
"601018.SS","Ningbo Zhoushan Port Company Limited","125549227","62.606","69.9258","48.85","49.589","43.42984","88.061025","89.68312","60.64282",""
"601038.SS","First Tractor Company Limited","158302746","68.008","81.0894","56.9","56.815","49.88864","89.46042","96.78788","55.6568",""
"601058.SS","Sailun Jinyu Group Co Ltd","761838327","67.28","87.7702","37.55","53.733","50.33408","95.2043","100","51.16664",""
"601088.SS","China Shenhua Energy Company Limited","1266184109","58.402","86.4848","25.95","57.846","51.00223","75.65103","89.80659","46.4232",""
"601100.SS","JIANGSU HENGLI HYDRAULIC CO LTD","512639847","68.453","65.513","64.85","54.28","45.4343","98.22071","100","52.6551",""
"601117.SS","China National Chemical Engineering Co., Ltd","532297777","67.453","69.6444","63.2","53.185","45.4343","96.67595","93.66966","53.68904",""
"601139.SS","Shenzhen Gas Corp Ltd","130396777","67.98","73.9134","48.5","53.187","45.21158","100","94.27961","60.76819",""
"601163.SS","Triangle Tyre Co., Ltd","107598644","58.16","77.6478","48.1","54.913","47.88419","72.63416","82.73674","50.56977",""
"601166.SS","Industrial Bank Co., Ltd","1560818505","66.849","69.1607","41.6","54.866","47.21604","100","98.7631","56.3362",""
"601168.SS","Western Mining Co.,Ltd","620075018","67.634","88.1307","39.5","56.807","52.11581","91.930475","98.07529","54.94859",""
"601169.SS","Bank of Beijing Co., Ltd","646428247","65.3","80.5628","40.8","53.119","50.55679","94.241665","90.51672","53.06133",""
"601208.SS","Sichuan Em Technology Co., Ltd","205000158","68.048","60.7799","59.5","51.417","44.98886","100","100","59.64986",""
"601222.SS","Jiangsu Linyang Energy Co., Ltd","232555684","56.607","60.4755","40.55","52.013","44.98886","69.72095","100","58.78282",""
"601225.SS","Shaanxi Coal Industry Company Limited","944459967","61.607","78.2783","28","54.319","50.33408","85.631475","96.65803","52.39535",""
"601233.SS","Tongkun Group Co Ltd","457006331","42.47","62.822","61.5","51.262","45.87973","50","27.17963","48.64357",""
"601238.SS","Guangzhou Automobile Group Co., Ltd","231275666","64.1","52.0943","49.35","52.459","44.098","99.74191","96.73727","54.48022",""
"601298.SS","Qingdao Port International Co., Ltd","153545195","47.022","84.8751","39.6","54.033","53.49887","27.94391","0.78757","52.24641",""
"601311.SS","Camel Group Co., Ltd","144955845","68.74","71.1945","50.25","53.307","46.10245","100","99.77817","60.54952",""
