"Symbol","Company Name","ADTValue","Beta","Weighted Score","Wtd Sortino","Wtd BullishVolume","Wtd PriceUp","TDI","TII","MFI","Weighted Score","Price last week","Price this week","Price move %"
"600971.SS","Anhui Hengyuan Coal-Electricity Group Co., Ltd","182529963","100","58.926","69.1678","60.332","47.2784","0","0","50.76482","58.926","10","9.95","-0.5",""
"601601.SS","China Pacific Insurance (Group) Co., Ltd","285335117","22.8","58.919","72.6725","58.666","45.41747","50","60.48735","60.88176","58.919","27.2","27.83","2.32",""
"601166.SS","Industrial Bank Co., Ltd","92248649","-3.45","58.863","68.4654","60.826","47.29819","26.44148","3.1037","56.96628","58.863","16.34","16.72","2.33",""
"603689.SS","Anhui Province Natural Gas Development Co., Ltd","86656316","42.05","58.464","70.8763","57.93","46.5855","77.11129","95.96688","52.40702","58.464","8.86","8.86","0",""
"600406.SS","NARI Technology Co., Ltd","366645352","27.35","58.302","71.6794","58.202","45.02549","55.171605","68.05865","47.59143","58.302","23.7","23.63","-0.3",""
"603606.SS","Ningbo Orient Wires & Cables Co.,Ltd","61577245","23.1","58.264","70.2148","60.401","44.17718","50","91.28433","52.76806","58.264","49.5","48.48","-2.06",""
"603129.SS","ZHEJIANG CF MOTO POWER CO LTD","54546357","76.75","58.218","68.7699","57.281","48.60381","25.46431","1.99818","49.47257","58.218","140.25","127.63","-9",""
"600989.SS","Ningxia Baofeng Energy Group Co., Ltd","7011297","89.35","58.209","71.7053","53.715","49.20663","12.631775","20.45522","50.43202","58.209","15.34","15.4","0.39",""
"601058.SS","Sailun Jinyu Group Co Ltd","602655110","100","58.159","71.6859","53.312","49.47983","26.563765","0","41.14374","58.159","12.45","12.4","-0.4",""
"600038.SS","AVIC HELICOPTER CO LTD","10854249","66.3","58.145","64.9727","61.422","48.03893","40.83509","9.15752","61.01982","58.145","40.21","39.03","-2.93",""
"601658.SS","Postal Savings Bank of China Co., Ltd","192702259","-29.2","58.078","70.8232","58.9","44.51175","33.491755","29.12186","57.14209","58.078","4.73","4.96","4.86",""
"600036.SS","China Merchants Bank Co., Ltd","15625620","5.05","57.976","67.9129","60.188","45.82826","25.778765","2.19829","49.81474","57.976","32.3","33.15","2.63",""
"601163.SS","Triangle Tyre Co., Ltd","285944622","83.45","57.931","69.6028","56.509","47.68028","50","0","47.09944","57.931","14.99","15.05","0.4",""
