"Symbol","Company Name","ADTValue","Beta","Weighted Score","Wtd Sortino","Wtd BullishVolume","Wtd PriceUp","TDI","TII","MFI","Weighted Score","Price last week","Price this week","Price move %"
"MLPX","al X MLP &amp; Energy Infrastru","9133456958317","19.3","72.859","93.3719","69.455","55.75068","70.436985","100","76.74487","72.859","50.08","51.05","1.94",""
"ACSI","American Customer Satisfaction","5495446533","34.05","70.804","99.3678","57.173","55.87097","100","100","49.88005","70.804","55.07","55.24","0.31",""
"^GSPC","S&amp;P 500","4836344588","52.4","69.808","99.8","54.116","55.50727","100","100","55.97328","69.808","5459.58","5460.48","0.02",""
"SPY","SPDR S&amp;P 500","918977034","54.15","69.396","99.8","51.618","56.77063","100","100","54.75172","69.396","544.33","544.22","-0.02",""
"ACTX","al X Guru Activist ETF","8285815707310","50","69.25","99.8","79.401","28.54983","0","0","32.5","69.25","0.0001","0.0001","0",""
"SSO","ProShares Ultra S&amp;P500","2.089381999601e+13","100","69.12","99.8","51.647","55.91426","100","100","50.99027","69.12","82.95","82.6","-0.42",""
"GURU","al X Guru Index ETF","5148043480677","57.05","69.098","92.1294","63.287","51.87879","94.893015","99.12244","79.32868","69.098","43.5","43.21","-0.67",""
"OUSA","27;Shares FTSE U.S. Quality Divi","6.02452056907e+13","31.05","67.365","94.7162","53.878","53.50086","100","99.04837","54.25807","67.365","49.93","49.62","-0.62",""
"^KLSE","FTSE Bursa Malaysia KLCI","1062695978061","-2.85","66.325","92.2708","57.434","49.26928","88.533115","99.86771","58.65544","66.325","1589.87","1590.09","0.01",""
"OEUR","27;Shares FTSE Europe Quality Di","377954978260","53.85","65.828","88.3927","56.554","52.53806","96.309765","100","57.93938","65.828","30.66","30.28","-1.24",""
"BTC-USD","Bitcoin USD","8070689561695","50","65.088","89.1547","55.051","51.05888","81.75688","61.54526","47.18743","65.088","63173.35","60320.14","-4.52",""
"GLD","SPDR Gold Shares","1466281607274","17.65","64.66","87.4477","52.62","53.91377","50","88.49835","64.55323","64.66","215.55","215.01","-0.25",""
"SGOL","ETFS Physical Swiss Gold Shares","1029069837","16.25","63.823","87.9086","51.618","51.94186","50","89.12807","61.08326","63.823","22.27","22.22","-0.22",""
"INDY","iShares S&amp;P India Nifty 50 Inde","5573911","45.95","63.361","85.0276","49.805","55.25006","100","98.22069","58.32405","63.361","52.67","53.66","1.88",""
"MLPA","al X MLP ETF","9354","23.9","62.711","82.3021","50.137","55.69352","33.06946","26.87358","70.039","62.711","47.48","48.5","2.15",""
"^AORD","ALL ORDINARIES","0","3.65","62.222","77.7776","54.626","54.26361","78.675985","76.69874","56.01551","62.222","8039.9","8013.8","-0.32",""
"^GSPTSE","S&amp;P/TSX Composite index","633138186","21.6","62.199","78.9735","52.491","55.13279","37.58242","43.59805","55.03372","62.199","21585.3","21875.8","1.35",""
"^FTSE","FTSE 100","103468","9.7","62.1","80.4229","54.172","51.70633","50","99.67284","52.62879","62.1","8237.7","8164.1","-0.89",""
"^AXAT","S&amp;P/ASX ALL AUSTRALIAN 200","1.787260340271e+15","-5.45","62.035","77.8327","54.348","53.92363","78.168335","78.55105","57.81971","62.035","7806.9","7783.7","-0.3",""
"EWU","iShares MSCI","2362906","21","61.854","77.855","54.375","53.33235","73.603305","96.34896","57.46309","61.854","35.37","34.88","-1.39",""
"^AXJO","S&amp;P/ASX 200","1982167","5.8","61.817","77.2338","54.893","53.32385","81.21602","79.95915","58.04267","61.817","7796","7767.5","-0.37",""
"XLB","Materials Select Sector SPDR ETF","12911003","30.1","61.643","77.8472","52.435","54.64696","37.450655","33.83186","49.89365","61.643","89.59","88.31","-1.43",""
"VAMO","Cambria ETF Trust Cambria Value","295717","14.55","61.057","70.547","61.227","51.39788","10.991085","11.83691","80.20727","61.057","27.91","27.66","-0.9",""
"EYLD","ria ETF Trust Cambria Emerg","1473455","37.85","60.547","87.7415","38.978","54.92092","75.423465","96.66072","60.84363","60.547","35.31","34.41","-2.55",""
"GLTR","ETFS Physical Precious Metal Ba","46884593","17.9","60.448","81.2013","49.042","51.10027","50","97.65089","59.71563","60.448","103.57","102.98","-0.57",""
"EWM","iShares MSCI Malaysia Index Fun","67017600","15.95","60.376","73.8596","60.68","46.5898","89.254015","95.90612","51.79766","60.376","22.47","22.46","-0.04",""
"SDEM","al X MSCI SuperDividend Eme","38964935","5.4","60.02","77.2269","52.069","50.76521","78.48789","84.27382","50.18369","60.02","26.13","25.69","-1.68",""
"SLV","iShares Silver Trust","6618987","18.2","59.945","81.4437","48.531","49.85957","50","99.93852","62.84015","59.945","27.06","26.57","-1.81",""
"SIVR","ETFS Physical Silver Shares Tru","10323247","20.8","59.806","81.3002","48.131","49.98768","50","99.91527","61.01661","59.806","28.34","27.84","-1.76",""
"GVAL","ria Global Value ETF","37145108","36.35","59.742","70.3658","55.823","53.03671","68.284365","73.20216","73.55162","59.742","21.12","20.95","-0.8",""
"^RUT","Russell 2000","3562248","47.15","59.708","77.1343","50.482","51.50632","75.572385","64.03469","51.36428","59.708","2023.23","2047.69","1.21",""
"EWS","iShares Inc iShares MSCI Singap","828888","11.2","59.322","70.0534","57.929","49.98275","84.06925","100","49.0652","59.322","19.16","19.2","0.21",""
"SYLD","Cambria Shareholder Yield ETF","167045","26.75","59.162","79.3375","47.054","51.09534","33.8329","2.13948","54.43197","59.162","68.11","68.28","0.25",""
"EWC","iShares MSCI Canada Index Fund","769541964","27.45","59.154","74.7913","51.944","50.72678","38.650725","32.23395","49.61189","59.154","36.66","37.09","1.17",""
"ALTY","al X SuperDividend Alternat","1348440709","10.5","59.043","69.4107","59.924","47.79404","57.85236","58.03886","53.7396","59.043","11.25","11.36","0.98",""
"^BSESN","S&amp;P BSE SENSEX","2827514","44.4","58.969","87.6831","30.464","58.76045","98.199475","96.90599","39.74532","58.969","76885.65","79032.73","2.79",""
"^STI","STI Index","301185","0.9","58.958","74.3395","51.657","50.87854","83.21182","100","58.17121","58.958","3302.19","3332.8","0.93",""
"GDX","VanEck Vectors Gold Miners ETF","61536","34.7","58.48","75.9568","49.683","49.79946","50","92.17629","60.9759","58.48","34.28","33.93","-1.02",""
"TNA","Direxion Small Cap Bull 3X Shar","214201","100","58.073","73.6101","49.01","51.59793","67.825965","33.18228","51.67128","58.073","35.77","36.67","2.52",""
"XLE","Energy Select Sector SPDR ETF","137652676","12.3","58.012","73.6505","47.411","52.97561","30.66715","8.08392","56.58584","58.012","89.53","91.15","1.81",""
"FYLD","ria Foreign Shareholder Yie","5051008","26.75","58.001","73.7648","47.506","52.7322","70.00532","64.72433","64.11856","58.001","26.34","26.42","0.3",""
"PPLT","ETFS Physical Platinum Shares","134501767","49.6","57.547","70.6325","52.96","49.04755","67.564375","96.20665","57.13677","57.547","91.97","91.47","-0.54",""
"REET","iShares Trust iShares Global RE","7602960","8","57.484","69.2335","53.147","50.07046","63.227885","82.02316","52.51379","57.484","23.11","23.25","0.61",""
"EWA","iShares MSCI Australia Index Fu","7640177","43.3","57.438","74.1184","47.686","50.50998","84.16058","91.18622","47.75515","57.438","24.41","24.43","0.08",""
"GAA","ria Global Asset Allocation","84723","19.55","57.204","74.003","46.266","51.34368","68.0355","62.92626","62.44571","57.204","28.6","28.47","-0.45",""
"USO","United States Oil","1291208","46.3","56.96","76.7938","41.751","52.33407","42.56835","20.38449","55.24101","56.96","78.52","79.59","1.36",""
"XLU","Utilities Select Sector SPDR ETF","10488544","1.05","56.955","71.1713","48.778","50.915","77.99892","99.31996","57.15944","56.955","68.82","68.14","-0.99",""
"DRIV","Global X Autonomous &amp; Electric","15096415","68.45","56.784","67.9137","53.11","49.32939","81.32933","81.76281","49.86219","56.784","23.77","23.49","-1.18",""
"IEI","iShares 3-7 Year Treasury Bond ETF","10484144","10","56.698","66.2158","54.66","49.21705","62.670275","88.05921","48.68252","56.698","115.77","115.47","-0.26",""
"^JKSE","Composite Index","119295","-13.05","55.878","67.8557","46.927","52.85144","7.47844","1.51072","46.75455","55.878","6877.47","7063.58","2.71",""
"MCHI","iShares MSCI China ETF","5096581","10.25","55.697","63.3577","54.662","49.0712","77.137235","97.01085","57.2872","55.697","43.25","42.17","-2.5",""
"AGG","iShares Core US Aggregate Bond ETF","236587982","13.8","55.639","65.3091","49.212","52.39714","64.90008","89.92955","51.80007","55.639","97.82","97.07","-0.77",""
"XKST","SPDR Kensho Smart Mobility ETF","71734016","52.65","55.627","58.3892","62.932","45.56098","76.203605","62.3002","69.92421","55.627","27.65","27.77","0.43",""
"GMOM","ria Global Momentum ETF","214702932","36.55","54.643","69.4168","45.735","48.77655","73.321685","76.76262","54.86487","54.643","28.47","28.52","0.18",""
"DIV","al X Super Dividend ETF","37988991","-0.3","54.39","65.4328","47.807","49.93052","76.98351","77.74082","48.21187","54.39","17.09","17.25","0.94",""
"000001.SS","SSE Composite Index","685480295","-8.3","54.233","58.3975","56.05","48.25129","28.70057","38.11421","54.14531","54.233","2982.83","2967.4","-0.52",""
"TLT","iShares 20+ Year Treasury Bond ETF","19063","35.5","54.163","59.0502","53.813","49.62503","60.616375","83.06264","53.37392","54.163","94.05","91.78","-2.41",""
"^HSI","HANG SENG INDEX","397990","-8.45","53.933","64.4516","50.426","46.9219","76.37858","98.43914","54.70216","53.933","17906.36","17718.61","-1.05",""
"SPFF","al X SuperIncome Preferred","26961233877","8.8","53.861","65.1895","49.351","47.04213","50","24.74015","51.05756","53.861","9.2","9.21","0.11",""
"SRET","al X SuperDividend REIT ETF","598764","9.65","53.738","59.8938","50.378","50.9426","80.47897","65.05618","59.83655","53.738","19.62","19.94","1.63",""
"SDIV","al X SuperDividend ETF","210678155","5.2","53.657","63.0263","43.638","54.30796","86.05197","96.10864","56.704","53.657","22.05","22.02","-0.14",""
"VNM","VanEck Vietnam ETF","5126425","66.1","52.8","62.6103","44.43","51.35846","50","2.38049","42.83272","52.8","12.26","12.17","-0.73",""
