"Symbol","Company Name","ADTValue","Beta","Weighted Score","Wtd Sortino","Wtd BullishVolume","Wtd PriceUp","TDI","TII","MFI","Weighted Score","Price last week","Price this week","Price move %"
"MBK.BK","MBK PCL","2368382","16.9","62.385","73.028","73.752","40.37584","100","100","59.1144","62.385","17.5","17.9","2.29",""
"TU.BK","Thai Union Group PCL","4337575","-0.2","62.37","67.8449","48.185","40.8907","50","52.00922","45.60684","52.307","14.8","14.9","0.68",""
"UMI.BK","THE UNION MOSAIC INDUSTRY PCL","744067954","-29.75","62.07","64.8877","86.522","34.80097","98.74968","100","70.82322","62.07","0.9","0.93","3.33",""
"ICC.BK","I.C.C. INTERNATIONAL PCL","90691829","21.65","62.059","68.0364","77.921","40.22035","59.420065","59.27372","43.76063","62.059","33","32.75","-0.76",""
"BH.BK","Bumrungrad Hospital PCL","1229456","24.95","61.809","81.2682","62.754","41.40476","100","100","48.02663","61.809","264","268","1.52",""
"NEWS.BK","NEWS NETWORK CORPORATION PCL","128417","100","61.75","99.8","68.112","17.33942","50","28.70786","80.76253","61.75","0.02","0.02","0",""
"SCI.BK","SCI Electric PCL","3543669","-11.95","61.695","71.0339","76.863","37.18832","100","100","65.77138","61.695","0.97","0.95","-2.06",""
"HTECH.BK","Halcyon Technology PCL","414652","24.55","61.594","86.081","66.1","32.60226","85.168695","100","70.68499","61.594","4.06","4.22","3.94",""
"JAS.BK","Jasmine International PCL","2595878","48.55","61.501","74.4175","68.803","41.28388","25.65577","17.00237","45.85955","61.501","2.42","2.48","2.48",""
"PT.BK","Premier Technology PCL","22538251","7.8","61.463","81.8714","60.077","42.44027","100","100","52.61312","61.463","9.45","9.7","2.65",""
"NPK.BK","New Plus Knitting PCL","1080117","75.7","61.399","67.6297","72.177","44.39169","63.177355","78.09079","42.72917","61.399","13.5","13.6","0.74",""
"TMW.BK","Thai Mitsuwa PCL","112611","8.45","61.382","77.1203","66.192","40.83517","77.92538","95.39262","58.68406","61.382","64.5","62.75","-2.71",""
