[Stock_List]SymbolExchange	sortino_ratio_raw	sortino_ratio_normalised	ta_score	risk_score	combo_score	CQR	Beta	OutlierPC	CloseToSMA6Ratio	UltraShortTerm_Score
BAY.BK	0.828	74.61	62.91	75.97	61.84	0	0.21	77.4	1.016	63.323
BBGI.BK	-0.081	64.062	45.24	37.86	34.6	5	0.4	55.38	0.988	46.299
BBL.BK	0.421	69.886	65.71	85.96	70.93	0	0.32	84.62	1.023	64.859
BC.BK	0.636	72.372	40.81	27.86	35.22	0	-0.14	32.6	1.0	48.641
BCH.BK	0.017	65.194	59.84	66.53	54.05	0	1.15	77.09	1.028	68.478
BCP.BK	-0.423	60.089	57.96	69.57	62.61	0	1.42	73.43	1.015	70.779
BCPG.BK	0.109	66.27	53.66	80.99	65.42	0	1.27	58.75	1.012	68.724
BDMS.BK	-0.595	58.1	57.36	64.76	52.76	0	0.55	66.74	1.012	65.724
BE8.BK	0.118	66.367	60.99	70.12	61.12	5	1.53	65.02	1.019	64.32
BEAUTY.BK	-0.145	63.316	34.38	44.76	43.72	0	0.69	45.82	0.978	24.856
BEC.BK	-0.635	57.631	54.1	50.57	50.03	5	0.15	66.35	1.007	71.617
BEM.BK	-0.462	59.636	49.08	48.15	45.79	0	0.89	61.95	0.994	51.168
BEYOND.BK	0.071	65.824	57.09	60.7	51.18	5	0.69	75.66	1.019	70.297
BGC.BK	-2.242	38.991	51.14	40.83	38.82	5	0.15	66.78	1.001	49.21
BGRIM.BK	1.163	78.495	66.93	69.69	58.95	5	1.74	72.76	1.037	80.872
BGT.BK	-1.204	51.029	37.02	25.71	27.96	0	-0.1	44.25	1.005	64.516
BH.BK	0.242	67.804	66.82	83.23	66.5	0	0.85	82.62	1.04	77.889
BIG.BK	0.221	67.564	35.79	51.15	38.82	0	0.39	41.89	0.979	14.284
BIOTEC.BK	-0.712	56.74	30.03	36.43	36.3	5	1.21	42.45	0.962	16.258
BIS.BK	-1.111	52.117	43.51	33.34	36.59	5	0.52	46.07	1.0	45.329
BIZ.BK	0.636	72.372	60.47	64.06	65.62	0	0.07	75.3	1.019	65.781
BJC.BK	-0.381	60.578	53.03	61.9	50.24	0	1.29	53.94	0.992	68.224
BJCHI.BK	-0.806	55.646	46.22	43.6	38.93	0	0.1	44.37	1.006	55.568
BKD.BK	-0.83	55.375	38.48	41.28	33.77	0	0.43	57.91	0.99	28.669
BLA.BK	0.571	71.625	66.08	75.14	61.74	0	0.97	75.63	1.023	70.077
BLAND.BK	0.864	75.018	56.33	66.14	56.94	0	1.14	70.39	1.007	44.216
BM.BK	0.676	72.838	50.11	46.96	44.64	0	1.07	61.68	0.966	40.362
BOFFICE.BK	0.495	70.739	48.56	41.5	38.98	5	0.15	54.22	1.0	52.345
BOL.BK	2.485	93.829	63.03	66.05	62.77	0	0.57	65.31	1.016	65.171
BPP.BK	1.152	78.364	67.25	85.32	67.14	0	1.08	83.57	1.035	75.555
BR.BK	0.122	66.419	60.0	58.74	49.3	0	0.14	81.22	1.016	71.198
BRI.BK	-0.799	55.729	57.41	52.33	49.16	5	0.67	62.54	1.003	68.278
BRR.BK	-0.303	61.486	50.0	52.33	43.04	0	0.2	59.05	0.997	66.097
BRRGIF.BK	-0.428	60.036	42.54	42.65	34.17	5	0.07	60.23	1.0	37.5
BSBM.BK	0.848	74.84	34.72	36.25	33.54	0	-0.02	44.9	0.99	34.821
BSM.BK	-1.327	49.61	32.95	29.34	28.85	0	0.38	37.11	0.992	36.458
BTS.BK	-1.449	48.189	54.14	50.56	46.54	0	1.41	58.17	1.011	69.652
BTSGIF.BK	0.723	73.389	41.47	32.93	30.04	5	0.17	24.18	0.996	50.0
BTW.BK	1.474	82.096	74.75	64.26	57.65	0	-0.14	84.67	1.097	91.667
