"Symbol","Company Name","ADTValue","AggregateScore","Sortino","Beta","BullishVolume","PriceUp","TDI","TII","MFI"
"ARIP.BK","ARIP PCL","1012381","57.961","60.9341","48.75","59.799","36.80387","60.77162","91.20838","86.68856",""
"ARROW.BK","Arrow Syndicate PCL","144855","36.405","49.6204","1.5","34.788","32.69231","50","97.80259","38.42868",""
"AS.BK","ASIASOFT CORPORATION PCL","37350279","60.563","37.4153","78.3","65.316","34.76071","75.24836","92.61757","65.03431",""
"ASAP.BK","SYNERGETIC AUTO PERFORMANCE PCL","148014","41.359","60.2738","8.75","71.72","37.35225","32.852625","37.50146","39.62229",""
"ASEFA.BK","ASEFA PCL","107474","29.782","59.6275","7.9","52.408","35.54502","50","18.34826","34.64764",""
"ASIA.BK","Asia Hotel PCL","11374","43.848","58.3723","10.1","22.167","34.34066","72.87838","100","36.19874",""
"ASIAN.BK","ASIAN SEA CORPORATION PCL","17406468","39.988","52.9551","-2.4","55.224","38.9313","13.55617","5.64675","56.67384",""
"ASIMAR.BK","Asian Marine Services PCL","274202","43.247","62.4471","4.4","77.015","33.24808","48.581805","40.17631","82.60728",""
"ASK.BK","Asia Sermkij Leasing PCL","7852278","32.617","30.2","14.25","46.79","31.80662","50","52.49756","52.77797",""
"ASN.BK","ASN Broker PCL","146229","53.384","54.066","9.2","51.309","35.95238","86.13045","95.43783","55.46247",""
"ASP.BK","Asia Plus Group Holdings PCL","1910867","41.48","55.0196","13.1","41.143","29.56298","52.543575","100","46.44399",""
"ASW.BK","ASSETWISE PCL","2661027","50.428","64.8171","3.45","40.357","33.0254","78.637425","100","54.07425",""
"ATP30.BK","ATP30 PCL","1822442","53.661","55.5433","22.65","36.856","36.51551","76.313655","98.481","72.95062",""
"AU.BK","After You PCL","26961379","47.678","63.5952","1.4","47.566","39.20188","58.268705","100","65.44849",""
"AUCT.BK","Union Auction PCL","4736656","39.02","67.7845","-0.05","46.569","38.99522","13.65707","0","47.15253",""
"AWC.BK","ASSET WORLD CORP PCL","281844687","50.118","43.8399","38.9","46.776","37.70115","69.590155","99.66701","44.76061",""
"AYUD.BK","ALLIANZ AYUDHYA CAPITAL PCL","434480","33.046","47.7387","11.95","61.269","31.37755","50","22.55712","56.4279",""
"B-WORK.BK","BUALUANG OFFICE LEASEHOLD REIT","2317851","43.753","38.5849","10.35","32.721","24.59397","70.753135","100","58.51746",""
"B.BK","BEGISTICS PCL","660134","52.252","59.7025","91.5","59.056","17.52577","65.36157","57.54198","49.71273",""
"B52.BK","B-52 CAPITAL PCL","279343","40.474","52.8905","-69.15","45.552","38.48168","89.606605","68.29006","68.04032",""
"BA.BK","Bangkok Airways PCL","119912023","61.835","96.1939","24.25","55.644","44.01914","79.726395","100","53.28206",""
