"Symbol","Company Name","ADTValue","Beta","Weighted Score","Wtd Sortino","Wtd BullishVolume","Wtd PriceUp","TDI","TII","MFI","Weighted Score","30D Max Move %","2x Offset Weighted Score","DeltaWeightedScore %","Price last week","Price this week","Price move %"
"VITA.PSE","Vitarich Corporation","12145979","39.55","55.513","64.5759","68.351","33.61197","37.153995","0.39474","66.69071","55.513","6.67","57.036","-2.67","0.6","0.6","0",""
"TUGS.PSE","Harbor Star Shipping Services, Inc. ","693879","40.35","55.409","71.7253","56.118","38.38291","69.47316","79.85166","66.80487","55.409","3.92","55.248","0.29","0.92","0.9","-2.17",""
"WEB.PSE","PhilWeb Corporation","16089587","25.5","54.848","62.687","58.569","43.28819","0","0","52.84116","54.848","14.5","56.408","-2.77","2.04","2.11","3.43",""
"CEB.PSE","Cebu Air, Inc.","4861917","30.35","54.405","62.3851","55.552","45.27692","42.28667","2.839","58.14821","54.405","11.96","55.158","-1.37","41","40.5","-1.22",""
"SCC.PSE","Semirara Mining and Power Corporation","295965378","45.2","54.107","66.4096","47.929","47.98273","35.88973","8.90613","36.06311","54.107","4.29","57.086","-5.22","28.25","28.1","-0.53",""
"CEBCP.PSE","Cebu Air Inc Preferred","182807","50","54.104","62.5381","63.078","36.69608","36.98371","0.01536","44.62669","54.104","10.15","55.511","-2.53","40.1","40.3","0.5",""
"SMC2I.PSE","San Miguel Corp Pref 3","488402","50","54.05","60.3594","65.569","36.22222","1.11558","0","34.78212","54.05","0.68","54.33","-0.52","73","73","0",""
"SLF.PSE","Sun Life Financial Inc.","2425457","-32.55","53.998","67.8124","63.358","30.82477","2.77655","2.41688","45.48349","53.998","4.31","55.284","-2.33","2600","2400","-7.69",""
"ION.PSE","Ionics, Inc.","120927677","27.8","53.897","69.446","59.725","32.52069","68.07458","80.61601","44.40361","53.897","96.97","55.368","-2.66","1.14","1.24","8.77",""
"SM.PSE","SM Investments Corporation","267598","33.45","53.781","68.3076","50.508","42.52814","22.898725","8.69147","37.19801","53.781","4.94","53.702","0.15","921","920","-0.11",""
"LTG.PSE","LT Group, Inc.","286014","12.35","53.654","73.3513","37.54","50.06982","45.556345","39.09744","64.92328","53.654","5.99","53.634","0.04","9.41","9.5","0.96",""
"MER.PSE","Manila Electric Company","44360","18","53.57","69.0088","44.983","46.71844","74.84205","97.09653","61.46297","53.57","5.61","53.246","0.61","322","328","1.86",""
"CEI.PSE","Crown Equities, Inc.","19803023","5.35","52.76","63.229","64.202","30.84881","50","85.01673","40.10862","52.76","1.16","52.797","-0.07","0.084","0.077","-8.33",""
