[Stock_List]SymbolExchange	sortino_ratio_raw	sortino_ratio_normalised	ta_score	risk_score	combo_score	CQR	Beta	OutlierPC	CloseToSMA6Ratio	UltraShortTerm_Score
ANN.AX	-0.934	54.161	41.47	30.34	36.53	5	1.2	41.55	0.989	35.455
ANZ.AX	0.915	75.613	58.01	64.95	59.3	5	1.06	54.67	1.001	66.005
AON.AX	-0.608	57.947	41.96	50.38	40.6	5	1.26	60.37	0.977	0.25
APA.AX	1.995	88.148	55.71	62.02	59.84	5	0.42	37.49	0.997	60.656
APC.AX	0.374	69.334	39.47	29.43	29.71	5	1.0	45.6	0.982	12.75
APE.AX	1.024	76.878	56.17	65.67	70.45	5	1.14	52.49	1.011	61.423
APZ.AX	3.057	99.8	40.65	58.62	52.1	5	0.67	44.78	0.995	36.2
AQC.AX	2.38	92.603	26.18	36.22	29.03	5	0.98	40.64	0.884	25.0
AQI.AX	0.535	71.21	46.81	40.63	36.93	5	0.38	53.54	0.978	24.856
AQZ.AX	0.985	76.42	63.87	45.27	49.85	5	1.08	59.74	1.01	72.802
AR3.AX	4.943	99.8	65.75	61.95	61.81	5	0.36	67.23	0.992	65.217
AR9.AX	3.459	99.8	35.74	44.74	42.52	5	-0.22	34.55	0.925	15.639
ARB.AX	3.451	99.8	64.78	68.52	62.58	5	1.41	71.61	1.01	56.245
ARD.AX	1.226	79.217	42.84	49.76	47.13	5	1.83	55.79	0.979	9.13
ARG.AX	1.703	84.758	56.55	64.04	52.53	5	0.43	60.87	0.999	56.997
ARL.AX	0.164	66.899	45.48	53.4	44.4	5	1.3	39.06	0.996	44.627
ARR.AX	1.436	81.658	63.14	52.23	51.06	5	0.93	51.47	0.931	82.658
ART.AX	0.003	65.031	60.65	46.49	47.6	5	1.07	66.56	1.02	75.509
ARU.AX	0.622	72.209	46.01	54.63	48.26	5	0.22	33.35	0.915	41.319
ARV.AX	0.265	68.077	35.3	51.76	40.5	5	2.45	39.64	0.968	26.136
ARX.AX	2.465	93.596	71.74	70.31	66.33	5	1.27	93.69	1.053	74.324
AS2.AX	2.446	93.37	60.64	48.48	44.63	5	2.47	54.86	0.805	65.341
ASB.AX	2.971	99.461	64.03	55.82	62.93	5	0.13	76.57	1.025	78.027
ASG.AX	2.06	88.901	61.24	55.44	61.46	5	0.48	62.6	1.005	72.832
ASN.AX	5.048	99.8	73.41	68.25	66.48	5	0.34	67.05	1.039	80.087
ASR.AX	1.037	77.033	41.77	30.05	28.99	5	-1.82	49.5	1.0	37.5
ASX.AX	-0.186	62.843	39.75	54.41	46.15	5	-0.02	32.27	0.992	60.136
ATA.AX	-0.912	54.415	42.45	42.41	36.53	5	1.49	46.92	0.986	59.44
ATC.AX	-1.868	43.329	35.29	36.53	35.75	5	0.6	48.53	0.957	8.279
ATS.AX	1.221	79.166	45.64	46.71	42.39	5	-0.83	66.62	1.019	0.25
AUB.AX	-0.987	53.547	40.57	38.7	42.18	5	0.56	36.82	1.002	43.661
AUC.AX	-0.294	61.585	31.69	25.72	33.54	5	1.72	32.81	0.954	29.657
AV1.AX	4.118	99.8	74.27	69.74	69.25	5	1.82	94.35	1.105	74.084
AVA.AX	-1.072	52.567	26.65	21.55	22.82	5	1.19	29.86	0.969	28.606
AVG.AX	1.996	88.156	47.06	58.04	46.93	5	-0.12	65.9	0.966	17.614
AVH.AX	-0.15	63.257	63.69	74.11	62.32	5	1.42	68.41	1.019	78.175
AVJ.AX	0.644	72.465	38.74	64.11	48.87	5	0.38	42.3	0.99	27.231
AVL.AX	0.867	75.052	63.04	38.75	42.54	5	0.67	65.41	1.017	65.625
AVR.AX	-0.548	58.645	53.46	48.29	51.75	5	2.82	48.8	1.047	78.636
AWJ.AX	-1.033	53.02	32.77	37.15	31.65	5	-0.07	33.7	0.958	19.433
AX1.AX	-0.466	59.596	38.59	44.07	39.89	5	1.17	46.21	0.988	33.885
AX8.AX	1.9	87.035	54.84	34.8	38.57	5	0.55	44.66	1.021	50.0
AXE.AX	0.473	70.485	40.72	45.06	39.13	5	-0.88	52.32	0.974	15.625
AXN.AX	0.156	66.807	43.36	50.2	43.52	5	0.65	21.35	0.98	70.076
AYA.AX	2.586	94.995	61.34	61.9	59.0	5	1.68	54.88	0.976	63.355
AZL.AX	2.858	98.155	68.54	61.15	55.15	5	1.97	68.88	1.021	70.313
AZY.AX	-0.373	60.678	41.8	31.11	36.4	5	1.16	34.88	0.949	51.962
BAP.AX	-0.61	57.923	34.48	69.96	56.2	5	0.56	22.23	0.911	55.654
BAS.AX	-0.557	58.542	55.94	33.17	38.55	5	0.58	31.66	0.929	81.731
BBL.AX	0.387	69.486	42.86	41.93	39.04	5	0.53	51.06	0.969	19.94
BBN.AX	0.984	76.413	62.5	46.26	49.27	5	1.27	49.88	1.042	93.334
BBT.AX	-0.93	54.215	64.97	71.84	58.91	5	2.39	72.13	1.032	66.406
BC8.AX	0.165	66.918	43.11	62.93	48.54	5	1.56	52.65	0.977	42.872
BCI.AX	3.69	99.8	54.66	58.01	54.11	5	0.57	56.18	1.015	74.467
BCN.AX	1.686	84.552	64.07	65.29	64.89	5	1.39	71.55	1.014	58.864
BDM.AX	1.359	80.762	44.96	44.45	43.94	5	0.92	39.21	1.0	39.516
BEN.AX	0.387	69.492	39.36	34.44	39.53	5	0.87	24.69	0.994	54.167
BFG.AX	0.696	73.073	50.01	60.69	53.03	5	0.61	65.96	0.997	30.617
BGA.AX	-1.152	51.632	45.9	43.46	43.13	5	1.28	44.12	1.003	51.087
BHP.AX	1.176	78.638	57.8	60.06	53.05	5	1.34	59.01	0.984	59.871
BIS.AX	1.939	87.492	44.45	48.13	48.93	5	1.15	48.86	0.989	39.803
BIT.AX	0.119	66.377	47.08	47.78	38.86	5	-2.0	71.83	1.034	12.75
BKI.AX	4.85	99.8	70.01	62.93	61.28	5	0.74	77.83	1.009	58.015
BKW.AX	3.25	99.8	40.72	49.52	50.5	5	1.0	32.35	0.998	49.379
BKY.AX	0.604	72.011	29.84	27.32	35.76	5	0.89	27.0	0.988	35.185
BLG.AX	-0.701	56.873	32.2	33.39	28.69	5	-1.54	31.69	0.939	24.342
BLU.AX	0.874	75.142	58.83	51.58	49.76	5	-0.45	81.19	1.171	50.0
BLX.AX	1.569	83.198	57.02	67.54	63.02	5	1.04	63.71	1.017	69.242
BM8.AX	2.655	95.803	74.91	64.83	60.23	5	-0.31	88.77	1.122	78.101
BML.AX	0.863	75.005	45.54	61.64	53.43	5	1.98	50.79	0.917	23.793
BMN.AX	-0.156	63.19	36.77	29.88	39.41	5	2.78	25.98	0.919	26.136
BNL.AX	0.717	73.319	41.73	34.54	33.02	5	2.54	50.21	0.947	0.25
BNZ.AX	3.073	99.8	64.1	64.67	62.37	5	1.94	69.65	1.035	57.275
BOC.AX	2.68	96.089	44.81	53.17	52.1	5	0.14	63.01	0.97	9.336
BOE.AX	-1.271	50.258	29.71	35.2	34.44	5	2.71	7.91	0.593	31.748
BOL.AX	-1.596	46.488	35.57	26.83	33.73	5	0.19	30.73	0.993	36.325
BOQ.AX	-0.6	58.043	42.41	45.72	48.56	5	0.88	28.02	0.999	57.165
BOT.AX	-0.72	56.653	44.1	35.61	34.94	5	2.11	44.01	0.995	50.0
BPH.AX	-0.091	63.947	36.37	32.06	29.71	5	2.09	26.47	0.928	25.781
BPT.AX	0.216	67.505	44.75	40.03	37.42	5	1.75	32.96	0.982	46.504
BRG.AX	3.106	99.8	71.3	78.71	75.12	5	1.88	89.52	1.053	64.847
BRI.AX	1.799	85.867	64.96	36.05	48.55	5	0.6	59.44	1.028	78.402
BRK.AX	1.497	82.369	53.83	46.15	51.33	5	1.15	53.78	1.012	73.824
BRU.AX	-1.252	50.474	54.83	37.61	39.59	5	0.52	44.93	1.015	93.182
BSL.AX	1.004	76.644	48.06	47.54	44.96	5	1.34	44.46	0.975	35.541
BSX.AX	0.45	70.218	54.46	33.93	39.62	5	1.48	47.07	0.98	72.705
BTI.AX	4.981	99.8	53.67	56.8	53.49	5	1.94	56.19	0.995	43.957
BTR.AX	-1.455	48.125	43.73	57.33	47.25	5	-7.31	45.58	0.981	63.783
BUX.AX	-1.115	52.066	37.14	34.4	41.29	5	1.82	22.89	0.949	27.53
BWP.AX	0.3	68.482	37.93	25.75	28.5	5	0.41	31.7	0.992	45.296
BXB.AX	0.322	68.732	47.96	56.9	55.46	5	0.62	47.17	1.002	65.622
CAA.AX	-0.216	62.492	55.7	55.94	47.13	5	0.56	64.57	0.989	52.722
CAE.AX	-1.512	47.462	45.13	39.41	36.38	5	1.45	43.63	0.979	26.63
CAF.AX	4.382	99.8	43.04	46.86	46.5	5	0.9	52.43	0.986	30.768
CAM.AX	-0.427	60.045	51.88	39.48	38.69	5	0.64	50.96	0.998	62.943
CAN.AX	0.473	70.491	37.3	31.5	28.03	5	1.54	27.89	0.955	19.643
CAR.AX	1.079	77.515	57.56	63.4	56.08	5	0.99	66.01	1.007	50.344
CAT.AX	3.271	99.8	69.13	74.16	75.69	5	2.05	85.96	1.053	77.661
CAY.AX	0.057	65.663	35.44	39.21	32.16	5	1.02	25.55	0.977	22.594
CBA.AX	-0.088	63.974	46.67	47.84	51.82	5	0.81	33.34	1.004	60.081
CBE.AX	1.315	80.26	37.5	35.04	31.16	5	0.94	47.88	1.0	15.272
CBO.AX	3.297	99.8	60.92	49.99	56.75	5	0.72	61.13	1.019	44.97
CCP.AX	1.649	84.127	65.63	61.72	54.32	5	1.85	63.59	0.999	65.924
CCR.AX	0.531	71.159	50.33	45.6	42.8	5	-0.08	62.03	0.98	30.64
CCV.AX	3.577	99.8	67.34	72.12	62.22	5	-0.11	65.78	1.003	63.462
CDA.AX	4.627	99.8	59.58	62.96	64.76	5	1.73	68.83	1.006	54.029
CDM.AX	2.063	88.935	50.89	43.4	38.97	5	0.47	33.73	0.989	65.814
CDT.AX	-0.752	56.276	44.0	37.6	39.14	5	1.71	55.72	0.981	37.5
CDX.AX	-1.032	53.031	23.85	26.47	24.31	5	-0.3	14.05	0.89	8.618
CEL.AX	0.055	65.632	58.68	67.13	58.06	5	0.85	63.74	0.996	70.139
CEN.AX	0.192	67.228	55.64	53.13	54.86	5	0.14	54.86	1.002	68.4
CGF.AX	1.765	85.479	55.21	57.79	56.79	5	0.13	56.32	1.006	66.019
CGS.AX	4.251	99.8	51.53	50.01	50.21	5	1.05	64.97	0.999	33.257
CHC.AX	3.141	99.8	53.07	63.97	57.8	5	1.53	65.26	1.005	55.677
CHL.AX	2.766	97.081	74.12	64.52	62.85	5	0.57	74.47	1.087	94.746
CHM.AX	-0.163	63.109	39.51	24.84	29.25	5	2.14	21.13	0.8	27.083
CHN.AX	2.92	98.876	42.3	44.08	41.08	5	2.52	37.11	0.943	28.475
CHR.AX	0.949	76.013	42.09	49.21	42.97	5	0.68	46.3	0.943	0.25
CIA.AX	1.799	85.871	57.5	68.71	57.36	5	2.12	59.58	0.965	59.281
CKA.AX	-0.306	61.45	38.19	50.03	47.01	5	2.19	38.77	0.995	31.452
CKF.AX	3.973	99.8	67.43	61.16	59.67	5	1.07	84.09	1.021	71.175
CLA.AX	0.323	68.75	58.55	39.7	40.2	5	-2.69	56.32	1.05	71.429
CLG.AX	-0.369	60.723	45.03	48.26	39.64	5	1.3	55.98	1.043	32.398
CLV.AX	3.622	99.8	53.08	58.14	51.75	5	0.36	71.36	1.02	24.771
CLX.AX	0.068	65.784	42.1	46.94	46.58	5	0.12	47.89	0.977	33.453
CMM.AX	-0.208	62.592	42.75	42.79	47.58	5	0.35	28.81	0.982	58.329
CNB.AX	1.132	78.133	44.09	36.66	39.38	5	1.71	18.86	0.953	47.694
CNI.AX	1.716	84.904	55.52	63.31	55.98	5	1.12	48.94	0.998	59.04
CNU.AX	1.558	83.071	54.28	63.75	58.8	5	0.67	62.3	1.019	52.771
COD.AX	-0.486	59.359	45.31	37.94	38.41	5	1.18	50.28	0.988	44.756
COG.AX	1.947	87.589	63.15	72.25	70.86	5	0.81	82.6	1.048	51.436
COH.AX	5.455	99.8	71.0	72.28	71.19	5	0.89	81.43	1.017	65.246
COI.AX	0.991	76.498	49.94	48.38	46.9	5	0.61	72.06	1.024	24.856
COL.AX	-1.747	44.739	39.89	41.43	37.93	5	0.14	36.1	0.999	50.77
COS.AX	-0.725	56.59	39.18	36.82	41.92	5	0.16	29.52	0.955	32.212
CPN.AX	-0.328	61.194	41.42	43.6	36.78	5	0.0	51.87	0.969	37.5
CPU.AX	0.565	71.559	60.75	60.8	58.87	5	1.11	73.46	1.015	65.704
CPV.AX	2.139	89.81	63.14	43.75	45.12	5	0.11	61.72	0.976	63.83
CQE.AX	-0.371	60.702	49.74	50.81	46.88	5	0.59	57.59	1.002	55.714
CRN.AX	2.742	96.807	61.56	80.25	68.61	5	2.18	70.8	1.02	60.62
CRR.AX	1.904	87.088	58.32	42.61	43.85	5	4.63	63.63	1.035	37.5
CRS.AX	0.649	72.53	55.33	48.61	46.18	5	0.64	66.9	1.0	61.208
CSL.AX	2.866	98.248	67.32	83.65	71.31	5	0.98	74.7	1.014	63.046
CSS.AX	0.01	65.12	35.83	25.66	24.47	5	0.21	49.5	1.0	36.343
CSX.AX	3.188	99.8	70.48	64.04	62.75	5	1.26	67.77	1.039	71.679
CTD.AX	1.922	87.29	52.52	76.46	60.42	5	1.69	57.06	0.997	42.12
CTM.AX	0.666	72.72	46.17	68.8	54.57	5	2.07	73.14	1.011	23.515
CTP.AX	0.025	65.295	57.67	25.15	35.32	5	0.39	62.11	1.0	65.909
CTT.AX	-0.15	63.262	50.8	49.84	45.52	5	0.42	65.41	1.027	36.008
CU6.AX	3.715	99.8	68.76	76.74	69.31	5	3.65	71.31	1.037	54.743
CUE.AX	0.672	72.797	26.71	19.38	21.76	5	1.02	12.59	0.943	9.832
CUP.AX	2.214	90.68	34.44	45.6	41.0	5	0.8	30.69	0.992	36.184
CUV.AX	2.237	90.952	71.67	82.47	70.17	5	1.58	75.94	1.033	73.728
CVL.AX	2.478	93.75	61.24	51.64	55.69	5	0.89	73.83	1.024	57.057
CVN.AX	4.576	99.8	45.23	63.14	45.71	5	0.86	27.17	0.978	35.795
CVV.AX	-1.057	52.744	46.19	31.9	34.16	5	1.87	41.89	1.005	68.75
CVW.AX	-0.899	54.568	35.68	35.43	32.34	5	0.22	42.98	0.972	22.855
CWY.AX	1.624	83.833	60.13	55.55	59.29	5	0.2	60.79	1.0	48.483
CXL.AX	3.297	99.8	51.38	69.26	53.48	5	1.6	66.08	0.98	25.585
CXO.AX	0.957	76.101	50.26	49.15	46.93	5	2.26	32.82	0.927	44.318
CXZ.AX	1.061	77.308	49.64	38.85	38.77	5	1.74	60.4	1.019	42.308
CY5.AX	1.604	83.601	52.36	48.28	46.5	5	1.95	62.7	0.978	44.057
CYC.AX	-1.261	50.372	47.78	31.94	35.46	5	1.36	43.41	0.96	48.202
CYG.AX	-0.362	60.8	43.62	39.42	39.79	5	0.21	47.54	0.985	30.212
CYL.AX	-1.131	51.875	41.15	35.28	45.24	5	0.74	35.44	0.985	72.591
CYM.AX	3.899	99.8	45.69	49.06	48.7	5	1.54	36.74	0.959	54.024
CYP.AX	0.036	65.419	52.17	47.81	41.49	5	1.81	64.82	1.024	34.028
CZR.AX	0.437	70.074	51.07	59.17	52.01	5	1.02	74.87	1.035	30.098
D2O.AX	-0.297	61.556	51.21	34.6	42.38	5	0.79	53.7	0.992	47.06
DBF.AX	-0.613	57.885	39.43	29.53	35.72	5	0.42	49.5	1.013	50.0
