"Symbol","Company Name","Wtd Sortino Score"
"EQR","EQ Resources Ltd","52.75248994321"
"MMS","Mcmillan Shakespeare Ltd","52.62216958909"
"WGX","Westgold Resources Ltd","52.12328884812"
"BOE","Boss Resources Ltd","51.31142797686"
"WOR","Worley Ltd","51.23344169728"
"LEL","Lithium Energy Ltd","51.13242814797"
"NCM","Newcrest Mining Ltd","50.84655667671"
"SYA","Sayona Mining Ltd","50.81364969907"
"VYS","Vysarn Ltd","49.94104239735"
"RMS","Ramelius Resources Ltd","49.51041103302"
"MIN","Mineral Resources Ltd","48.76259598949"
"CMM","Capricorn Metals Ltd","48.48693182495"
"RIC","Ridley Corporation Ltd","48.43032906126"
"VEA","Viva Energy Group Ltd","48.34592862448"
"TON","Triton Minerals Ltd","47.99169069009"
"EVN","Evolution Mining Ltd","47.83755619448"
"SNL","Supply Network Ltd","47.31049805475"
"IGL","IVE Group Ltd","47.2942861426"
"AXN","Alliance Nickel Ltd.","46.77325144629"
"WDS","Woodside Energy Group Ltd","46.1257024947"
"ALY","Alchemy Resources Ltd","46.08702988201"
"HHR","Hartshead Resources NL","45.26108512362"
"SRG","SRG Global Ltd","45.21323067018"
"RNU","Renascor Resources Ltd","44.69970276102"
"BXB","Brambles Ltd","44.17832233035"
"PWN","Parkway Minerals NL","44.16990944431"
"IGO","IGO Ltd","44.09448100974"
"FMG","Fortescue Metals Group Ltd","43.85485461049"
"PRS","Prospech Ltd","43.33455982925"
"AGL","AGL Energy Ltd","43.32996393742"
"XTE","Xtek Ltd","43.20495800063"
"PFG","Prime Financial Group Ltd","43.16436424515"
"QBE","Qbe Insurance Group Ltd","42.9953001705"
"AQS","Aquis Entertainment Ltd","42.89375260045"
"DTL","Data#3 Ltd","42.2558279111"
"TUA","Tuas Ltd","42.25099706957"
"CLA","Celsius Resources Ltd","42.09403584211"
"WEB","Webjet Ltd","41.84737183825"
"HAV","Havilah Resources Ltd","41.59890535961"
"SFR","Sandfire Resources NL","41.4477853037"
"COS","Cosol Ltd","40.7042293723"
"MNB","Minbos Resources Ltd","40.49285411458"
"PRU","Perseus Mining Ltd","40.30102071149"
"TNE","Technology One Ltd","40.21119247003"
"REG","Regis Healthcare Ltd","40.19856308836"
"BKL","Blackmores Ltd","40.14604621119"
"SKT","Sky Network Television Ltd.","40.10796808268"
"SIG","Sigma Pharmaceuticals Ltd","39.90602086736"
"FLT","Flight Centre Ltd","39.90020474251"
"A2B","A2B Australia Ltd","38.97422013311"
"EUR","European Lithium Limited","38.73680256036"
"VRS","Veris Ltd","38.24691481109"
"AMD","Arrow Minerals Ltd","37.60315208397"
"AUB","AUB Group Ltd","37.40460985581"
"MND","Monadelphous Group Ltd","37.36010196111"
"DBI","Dalrymple Bay Infrastructure Ltd","37.22050710133"
"SUL","Super Retail Group Ltd","37.14289278509"
"VMC","Venus Metals Corporation Ltd","37.08253458597"
"NAN","Nanosonics Ltd","37.01243364255"
"CNU","Chorus Ltd","36.89370295308"
"HOR","Horseshoe Metals Ltd","36.82774464267"
"DKM","Duketon Mining Ltd","36.38290385465"
"APE","AP Eagers Ltd","36.02894086102"
"DNK","Danakali Ltd","35.87019944101"
"BRI","Big River Industries Ltd","35.65401350002"
"IPX","IperionX Limited","35.45160207906"
"MTC","Metalstech Ltd","34.65076255571"
"TVN","Tivan Ltd.","34.53903069321"
"RRL","Regis Resources Ltd","34.10357545471"
"EHE","Estia Health Ltd","34.02521152391"
"SVL","Silver Mines Ltd","34.02414426808"
"ILU","Iluka Resources Ltd","33.81344601105"
"ASG","Autosports Group Ltd","33.48724498034"
"MVF","Monash IVF Group Ltd","33.4123889394"
"IVZ","Invictus Energy Ltd","33.32405200047"
"PPC","Peet Ltd","33.11327439839"
"UMG","United Malt Group Ltd","33.03921350589"
"CVL","Civmec Ltd","32.60558438476"
"ABV","Advanced Braking Technology Ltd","32.27369410011"
"SDF","Steadfast Group Ltd","31.95059031259"
"PBP","Probiotec Ltd","31.21199809042"
"SGP","Stockland Corporation Ltd","31.19314888998"
"PLL","Piedmont Lithium Ltd","31.01200863212"
"SIQ","SmartGroup Corporation Ltd","30.76672231467"
"IVR","Investigator Resources Ltd","30.52686812592"
"KFM","Kingfisher Mining Ltd","30.45876332289"
"STA","Strandline Resources Ltd","30.4262558342"
"QAN","Qantas Airways Ltd","30.35593033528"
"CIA","Champion Iron Ltd","30.23983142671"
"BOC","Bougainville Copper Ltd","29.92578974083"
"VR8","Vanadium Resources Ltd","29.67800187291"
"RCT","Reef Casino Trust","29.65456875468"
"SPQ","Superior Resources Ltd","29.20481533017"
"RXM","Rex Minerals Ltd","29.08523906218"
"AAJ","Aruma Resources Ltd","28.96437517969"
"ALK","Alkane Resources Ltd","28.80334017187"
"HSC","HSC Technology Group Ltd","28.78643172248"
"SOL","Washington H Soul Pattinson&Co Ltd","28.72961489024"
"IFT","Infratil Ltd","28.59808191536"
"TEG","Triangle Energy Global Ltd","28.57834705916"
"SLA","Silk Laser Australia Ltd","28.00084060078"
"COH","Cochlear Ltd","27.67525327727"
"APZ","Aspen Group Unit","27.5212178599"
"TLM","Talisman Mining Ltd","27.05454499185"
"EBO","EBOS Group Ltd","27.01933728355"
"AKG","Academies Australasia Group","26.78185305859"
"KSC","K & S Corporation Ltd","26.69122849621"
"MEZ","Meridian Energy Ltd","26.55232502984"
"BIS","Bisalloy Steel Group Ltd","26.01590155423"
"CRR","Critical Resources Ltd","25.88903480385"
"AIA","Auckland International Airport Ltd","25.77406470807"
"DRX","Diatreme Resources Ltd","25.57511081133"
"C6C","Copper Mountain Mining Corporation","25.52627113833"
"IOD","Iodm Ltd","25.36532777221"
"PME","Pro Medicus Ltd","25.35797441883"
"MPL","Medibank Private Ltd","25.15337324467"
"PGM","Platina Resources Ltd","24.94587481501"
"DVP","Develop Global Ltd","24.60657931465"
"ORI","Orica Ltd","24.47935469416"
"KAU","Kaiser Reef Ltd","24.39681967515"
"BKW","Brickworks Ltd","24.00802955299"
"MCY","Mercury NZ Ltd","23.99371145686"
"FML","Focus Minerals Ltd","23.93165928845"
"SPK","Spark New Zealand Ltd","23.51782270125"
"BC8","Black Cat Syndicate Ltd","23.50865094672"
"AUC","Ausgold Ltd","23.3522079951"
"ASH","Ashley Services Group Ltd","23.26679066427"
"KKO","Kinetiko Energy Ltd","23.18313917918"
"SFX","Sheffield Resources Ltd","23.10956278229"
"CDA","Codan Ltd","23.00346735842"
"BHP","BHP Group Limited","22.82746264079"
"WSI","Weststar Industrial Ltd","22.82369819031"
"QEM","QEM Ltd","22.77877069959"
"FND","Finders Resources Limited","22.66453959628"
"MOM","Moab Minerals Ltd.","22.50689429681"
"GTN","Gtn Ltd","21.9419854938"
"AD8","Audinate Group Ltd","21.93180983758"
"HNG","Hancock & Gore Ltd","21.92411468835"
"TIE","Tietto Minerals Limited","21.71320836473"
"RR1","Reach Resources Ltd","21.55727867805"
"HUB","Hub24 Ltd","21.14318796857"
"SUN","Suncorp Group Ltd","20.80156662903"
"KAR","Karoon Energy Ltd","20.64600725987"
"AHC","Austco Healthcare Ltd","20.38891296076"
"GEM","G8 Education Ltd","20.33954856657"
"FPH","Fisher & Paykel Healthcare Ltd","20.09256316233"
"ONE","Oneview Healthcare PLC","20.06655415463"
"BCN","Beacon Minerals Ltd","20.03402371583"
"NXT","Nextdc Ltd","19.96849246108"
"ANG","Austin Engineering Ltd","19.52838940792"
"TCL","Transurban Group","19.33523701049"
"JBH","JB Hi-Fi Ltd","18.94042140556"
"SPZ","Smart Parking Ltd","18.72615187372"
"TLS","Telstra Corporation Ltd.","18.57692275945"
"RIO","Rio Tinto Ltd","18.53094837532"
"JMS","Jupiter Mines Ltd","18.51747960761"
"TWE","Treasury Wine Estates Ltd","18.47877982382"
"TPD","Talon Petroleum Ltd","18.44037669759"
"ETR","Entyr Ltd.","18.11089464106"
"CAR","Carsales.Com Ltd","17.99762356262"
"CII","CI Resources Ltd","17.86061396848"
"HMI","Hiremii Ltd","17.13548326129"
"ARX","Aroa Biosurgery Ltd","17.044266274"
"EIQ","ECHOIQ LIMITED","17.04294603479"
"PGF","PM Cap Global Opportunities","16.73003149523"
"DCG","Decmil Group Ltd","16.66550044574"
"EGL","The Environmental Group Ltd","16.57845216665"
"ALU","Altium Ltd","16.56225705389"
"TLG","Talga Resources Ltd","16.08124398339"
