"Symbol","Company Name","ADTValue","Beta","Weighted Score","Wtd Sortino","Wtd BullishVolume","Wtd PriceUp","TDI","TII","MFI","Weighted Score","Price last week","Price this week","Price move %"
"FND.AX","FINDILIM FPO [FND]","13973","100","69.05","99.8","60.85","46.49932","50","44.56157","56.16927","69.05","3.53","4.08","15.58",""
"M4M.AX","MACRO FPO [M4M]","633083","27.2","63.447","98.6363","63.011","28.6927","32.91028","6.20966","65.89232","63.447","0.028","0.024","-14.29",""
"FPR.AX","FleetPartners Group Limited","3413","44.65","61.824","77.0423","58.409","50.02119","13.667775","2.55373","54.68426","61.824","3.25","3.16","-2.77",""
"AXN.AX","ALLI NCKL FPO [AXN]","14224","2.8","60.055","64.4067","81.783","33.97676","37.17418","0","64.91882","60.055","0.035","0.032","-8.57",""
"VTM.AX","VICTORY FPO [VTM]","42528","81.7","57.754","82.7351","48.958","41.56886","75.547305","100","53.39462","57.754","0.38","0.355","-6.58",""
"USL.AX","UNICOSILVE FPO [USL]","8883","93.55","57.482","82.2538","52.648","37.54404","83.005955","85.97689","37.59924","57.482","0.175","0.19","8.57",""
"RG8.AX","REGALASIAN FPO [RG8]","35857","36.25","57.027","67.8719","62.517","40.69348","46.638745","19.05088","62.18488","57.027","2.02","2.04","0.99",""
"EINC.AX","BETAMCEINC TMF UNITS","3010440","38.4","57.022","74.7399","46.4","49.92494","100","94.38049","58.72778","57.022","8.81","8.82","0.11",""
"IMPQ.AX","EIVST IMPQ TMF UNITS","16418","44.45","56.132","68.8271","53.978","45.59054","50","34.37254","56.53767","56.132","4.94","4.915","-0.51",""
"AGX1.AX","AT GBL SHR TMF UNITS","0","39.75","55.955","73.2271","47.501","47.13784","28.898185","0","59.22291","55.955","5.77","5.73","-0.69",""
"HYT.AX","HYTERRA FPO [HYT]","24886","72.9","55.373","78.8553","56.317","30.94777","50","62.82465","62.27075","55.373","0.032","0.031","-3.13",""
"RINC.AX","BETAMCRINC TMF UNITS","718078","23.75","54.879","70.2964","47.149","47.19159","85.173485","98.18564","43.45488","54.879","8.63","8.66","0.35",""
"MOM.AX","MOABMIN FPO [MOM]","1059619","100","54.303","72.1432","72.028","18.7367","79.32099","66.94834","61.09921","54.303","0.0045","0.005","11.11",""
"HLI.AX","HELIA GRP FPO [HLI]","4917","56.9","54.16","70.8796","42.377","49.22296","24.16127","10.92224","48.58727","54.16","3.97","3.96","-0.25",""
"ADG.AX","ADL GOLD FPO [ADG]","2755698","-24.7","53.384","71.4665","68.99","19.69623","47.6659","5.76741","69.20499","53.384","0.0035","0.004","14.29",""
"CZR.AX","COZIRONRES FPO [CZR]","157968","41.5","52.681","78.4831","46.467","33.09155","7.85932","6.76785","41.9062","52.681","0.26","0.24","-7.69",""
"UNT.AX","UNITH FPO [UNT]","66633","23.45","51.752","71.7896","54.584","28.8817","100","98.45909","54.89247","51.752","0.017","0.02","17.65",""
"PVT.AX","PVTMETALS FPO [PVT]","32782","-24.8","51.606","66.9775","55.01","32.83194","30.94295","25.64776","56.71681","51.606","0.014","0.013","-7.14",""
"ETR.AX","","26718","50","50.879","65.5321","60.247","26.8578","21.815545","0","32.5","50.879","0.007","0.007","0",""
"RGN.AX","REGION GP STAPLED [RGN]","194491","44.45","50.273","62.6019","45.637","42.58093","99.043185","98.50955","56.76698","50.273","2.25","2.21","-1.78",""
"LLI.AX","LOYALLITH FPO [LLI]","3742","88.45","50.207","59.099","53.685","37.83813","24.080405","0","30.85115","50.207","0.115","0.14","21.74",""
"PEL.AX","","14990","50","49.144","79.39","63.902","4.14036","40","0","60.05376","49.144","0.01","0.01","0",""
"KYP.AX","KINATICO FPO [KYP]","16232","-3.85","48.927","70.1037","47.226","29.45245","100","100","76.2392","48.927","0.11","0.1025","-6.82",""
"EEL.AX","ENRGELELTD FPO [EEL]","22887","100","47.868","67.9665","54.821","20.81615","50","0.02677","43.50061","47.868","0.0025","0.002","-20",""
"SVR.AX","Solvar Limited","454151","31.8","46.69","66.2724","26.831","46.9656","69.81901","100","63.69902","46.69","1.18","1.235","4.66",""
"EMMG.AX","BETAMCEMMG TMF UNITS","6577888","43.55","45.707","74.3151","13.618","49.18748","100","94.43992","15.56739","45.707","6.17","6.11","-0.97",""
"TVN.AX","TIVAN LTD FPO [TVN]","103485","39.75","45.337","56.8353","43.637","35.53858","39.52305","0.09185","47.8335","45.337","0.047","0.045","-4.26",""
"ETM.AX","ETRANSMIN FPO [ETM]","362281","33.8","44.397","56.6806","43.877","32.63365","48.25531","0.38495","27.41839","44.397","0.024","0.021","-12.5",""
"BM8.AX","BATTERYAGE FPO [BM8]","100043","57.85","43.301","59.7381","36.975","33.18895","36.746415","0.75529","54.5734","43.301","0.12","0.12","0",""
"GCM.AX","GREENCRIT FPO [GCM]","30878","100","42.509","59.954","46.409","21.16445","2.524635","1.46962","56.74318","42.509","0.002","0.002","0",""
"YAR.AX","YARIMINERA FPO [YAR]","46267","-417.5","38.617","64.0527","30.906","20.89228","28.04349","18.38328","33.46728","38.617","0.003","0.004","33.33",""
"FBM.AX","FUTURE BAT FPO [FBM]","71572","100","38.397","50.7756","31.476","32.93808","5.70057","0","41.09798","38.397","0.02","0.022","10",""
"NXD.AX","NEXTEDLIM FPO [NXD]","1127","67.05","37.216","33.2126","45.659","32.7756","50","0","24.42537","37.216","0.115","0.11","-4.35",""
