"Symbol","Company Name","ADTValue","Beta","Weighted Score","Wtd Sortino","Wtd BullishVolume","Wtd PriceUp","TDI","TII","MFI","Weighted Score","Price last week","Price this week","Price move %"
"IDN","Intellicheck Mobilisa Inc","74831379","47.6","75.28","83.041","95.767","47.03326","67.706195","70.75686","83.82581","75.28","3.2","3.1","-3.13",""
"TNGX","Tango Therapeutics Inc","28037801","44.65","75.252","88.1754","88.425","49.15595","100","100","57.36596","75.252","9.31","9.75","4.73",""
"FENG","Phoenix New Media Limited","1167995487","99.6","75.16","92.1796","91.312","41.98965","100","100","79.34448","75.16","3.64","3.37","-7.42",""
"IPW","iPower Inc","628892","-56.05","75.11","93.8533","86.256","45.22198","55.382225","98.29037","72.38895","75.11","1.76","1.66","-5.68",""
"PSNL","Personalis Inc","113407","-107.65","75.039","95.3122","86.817","42.98891","85.42244","86.19626","79.49385","75.039","3.41","3.45","1.17",""
"ALBT","Avalon GloboCare Corp.","173918","-56.65","74.969","85.3266","99.785","39.79601","74.91419","98.7088","75.8868","74.969","0.4","0.405","1.25",""
"JAN","Janone Inc","1165064","43.95","74.943","89.5276","90.469","44.83148","24.54494","0","43.23972","74.943","2.03","2.01","-0.99",""
"HOLO","MicroCloud Hologram Inc.","776060","-66.75","74.942","99.8","85.966","39.05888","0","0","50.42127","74.942","0.558","0.492","-11.83",""
"REAX","Real Brokerage Inc","39498","66.5","74.652","99.8","74","50.15521","55.363385","83.83683","71.60899","74.652","5.8","5.81","0.17",""
"JANX","Janux Therapeutics Inc","1259058","23.35","74.603","99.8","76.915","47.09337","26.1811","0.76288","53.2167","74.603","45.07","43.99","-2.4",""
"BYSI","BeyondSpring Inc","19697413","35.7","74.442","86.9068","88.817","47.60286","29.919185","14.96969","46.37073","74.442","2.25","1.965","-12.67",""
"GSIT","GSI Technology Inc","160910","50.3","74.322","83.8274","95.906","43.23232","38.399375","7.76044","64.08212","74.322","2.78","2.85","2.52",""
"TCRX","Tscan Therapeutics Inc","51715","39.05","74.169","93.514","80.34","48.6533","12.25674","5.98683","46.35078","74.169","6.92","7.27","5.06",""
"MNMD","Mind MedicineInc","2116633","-6.1","74.112","99.8","74.438","48.09855","22.98073","14.60156","56.90963","74.112","8.05","9.4","16.77",""
"USM","United States Cellular Corporation","1829155473","6.25","74.054","97.2486","75.773","49.14117","61.804945","100","59.64356","74.054","56.81","52.2","-8.11",""
"GRMN","Garmin Ltd","2850616","21.1","74.026","99.8","66.931","55.34664","50","100","57.48429","74.026","170.38","177.94","4.44",""
"SILO","Silo Pharma Inc","216999","64.55","73.893","80.5783","92.567","48.53314","35.114795","33.85768","82.46382","73.893","2.53","2.32","-8.3",""
"CVLT","CommVault Systems Inc","5530033","61.75","73.832","99.8","60.687","61.00813","73.26639","100","56.41661","73.832","122.46","124.6","1.75",""
"KRYS","Krystal Biotech Inc","772345382","27.25","73.83","99.8","65.967","55.7221","86.153145","100","66.54394","73.83","204.42","213.66","4.52",""
"SLQT","Selectquote Inc","6325978","58.85","73.753","99.8","72.398","49.06036","54.130685","100","68.75857","73.753","3.76","4.17","10.9",""
"CPOP","Pop Culture Group Co Ltd","234616423","59.25","73.7","99.8","82.028","39.27273","25.342705","0.87342","73.73369","73.7","1.45","1.34","-7.59",""
"SNDA","Sonida Senior Living Inc","35757734","7.15","73.655","99.4189","71.42","50.12554","27.018545","34.86385","64.2569","73.655","30.07","32.2","7.08",""
"ANF","Abercrombie & Fitch Company","29239064","19.45","73.58","99.8","64.426","56.51441","65.80318","96.05481","60.81877","73.58","166.78","152.59","-8.51",""
"VERA","Vera Therapeutics Inc","381904604","20.2","73.55","99.8","70.35","50.50111","0","0","46.80041","73.55","34.35","36.7","6.84",""
"SGMA","SigmaTron International Inc","5262899","-31.3","73.544","77.2465","92.67","50.71693","50","96.0397","63.17987","73.544","5.39","4.82","-10.58",""
"EVR","Evercore Partners Inc","699947","41.3","73.371","99.8","63.466","56.84553","91.14463","100","61.36206","73.371","241.41","249.23","3.24",""
"JMIA","Jumia Technologies AG","508853012","100","73.368","99.8","69.541","50.76324","82.416685","100","62.4203","73.368","13.02","13.1","0.61",""
"ZAPP","Zapp Electric Vehicles Group Limited Ordinary Shares","40581579","100","73.274","88.7451","95.062","36.01633","100","93.92745","85.73777","73.274","10.76","10.11","-6.04",""
"GDDY","Godaddy Inc","7425980","37.05","73.255","99.8","60.45","59.51614","53.04807","100","69.2638","73.255","145.92","143.65","-1.56",""
"APLT","Applied Therapeutics Inc","1784403","18.65","73.237","97.607","74.323","47.78024","74.5776","81.74586","56.95501","73.237","5.17","5.22","0.97",""
"PAYS","Paysign Inc","18780004","57.75","73.23","95.6768","73.473","50.54053","43.92126","44.61267","75.70999","73.23","5.2","5.32","2.31",""
"BMR","Beamr Imaging Ltd. Ordinary Share","3825389","98.8","73.195","99.8","78.277","41.50712","93.464835","16.89119","79.81978","73.195","5.14","4.85","-5.64",""
"ACIU","AC Immune Ltd","3020545","66.9","73.152","86.2383","90.021","43.19685","58.408355","98.49411","78.48723","73.152","3.5","3.91","11.71",""
"PWP","Perella Weinberg Partners","23921","52.8","73.147","99.8","68.304","51.33678","88.67294","86.66274","63.93993","73.147","17.98","19.06","6.01",""
"CCLD","CareCloud Inc.","109572791","85.45","73.084","79.3845","96.999","42.86869","50","84.2459","79.40165","73.084","1.95","2.25","15.38",""
"TROO","TROOPS Inc","25118855","-33.95","73.083","83.5129","91.209","44.52722","100","100","68.4752","73.083","3.66","3.67","0.27",""
"NUVL","Nuvalent Inc","216063","56.1","73.075","99.8","70.143","49.28209","87.81035","100","43.95167","73.075","79.37","81.61","2.82",""
"GE","General Electric Company","19503478","86.95","73.071","99.8","61.619","57.79453","50","72.5793","54.47121","73.071","159.97","169.81","6.15",""
