"Symbol","Company Name","ADTValue","Beta","Weighted Score","Wtd Sortino","Wtd BullishVolume","Wtd PriceUp","TDI","TII","MFI","Weighted Score","Price last week","Price this week","Price move %"
"SSNT","SilverSun Technologies Inc","304167996","-347.2","81.65","99.8","97.775","47.37512","2.674795","30.00991","47.89763","81.65","51.98","58.61","12.75",""
"CADL","Candel Therapeutics Inc","199978034","100","81.097","99.8","95.914","47.57822","50","13.22122","83.84591","81.097","6.2","6.01","-3.06",""
"SLNO","Soleno Therapeutics Inc","17229","86.65","80.697","99.8","91.978","50.31288","59.737835","73.1191","52.73309","80.697","47.67","46.96","-1.49",""
"IPX","IperionX Limited American Depositary Share","380649","30.8","80.525","95.8858","95.236","50.45298","78.207885","58.30941","48.31546","80.525","15.24","14.85","-2.56",""
"TIO","Tingo Group Inc.","407330688","100","80.202","99.8","97.002","43.80447","97.232395","96.21793","41.55471","80.202","0.013","0.018","38.46",""
"LBPH","Longboard Pharmaceuticals Inc","6917","100","80.01","99.8","89.957","50.27248","98.15097","95.12483","58.59797","80.01","37.33","35.95","-3.7",""
"SERA","Sera Prognostics Inc","7608001","-189.6","79.877","99.8","92.19","47.64031","0","0","39.50036","79.877","6.3","7.8","23.81",""
"APM","Aptorum Group Ltd Class A","18972586","90.3","79.872","99.8","99.335","40.48118","27.23809","0","79.08318","79.872","4.53","3.33","-26.49",""
"RGS","Regis Corporation","71380071","100","79.732","99.8","98.808","40.58734","90.107145","93.58942","71.41463","79.732","20.33","28.35","39.45",""
"SEV","Sono Group NV","105797078","-8243.7","79.624","99.8","96.535","42.53757","94.497095","33.48553","55.9079","79.624","0.03","0.033","10",""
"VVOS","Vivos TherapeuticsInc","14352854348","11.05","79.46","99.8","97.815","40.76373","50","31.11004","31.0043","79.46","2.8","2.45","-12.5",""
"TPST","Tempest Therapeutics Inc","6852948","99.1","79.457","99.8","94.372","44.20005","0","0","53.10476","79.457","2.19","1.93","-11.87",""
"BDTX","Black Diamond Therapeutics Inc","56157","12.3","79.455","99.8","92.884","45.68022","28.03616","35.95084","56.28836","79.455","5.7","5.75","0.88",""
