"Symbol","Company Name","Wtd Sortino Score"
"A","Agilent Technologies Inc","-12.96429230735"
"AORT","Artivion Inc","-14.02758894993"
"ALT","Altimmune Inc","-14.54665171936"
"ALK","Alaska Air Group Inc","-15.23935941756"
"ALB","Albemarle Corp","-15.4878964943"
"AMCR","Amcor PLC","-15.48850314252"
"AMZN","Amazon.com Inc","-15.84349395249"
"AKAM","Akamai Technologies Inc","-16.80195110921"
"ADSK","Autodesk Inc","-17.2650664695"
"ACTG","Acacia Research Corporation","-17.72750974614"
"ACEL","Accel Entertainment Inc","-18.68399676515"
"ABNB","Airbnb Inc","-19.7825066077"
"ANIK","Anika Therapeutics Inc","-20.28182743127"
"AR","Antero Resources Corp","-20.29468486948"
"ALGN","Align Technology Inc","-21.18660176277"
"AIZ","Assurant Inc","-21.47200752725"
"AFYA","Afya Ltd","-22.39456506748"
"AGNC","AGNC Investment Corp","-23.40120483324"
"AMST","Amesite Operating Co","-24.38819358223"
"AQNU","Algonquin Power & Utilities Corp Unit","-24.59238710879"
"ALKT","Alkami Technology Inc","-25.67245332818"
"ALGT","Allegiant Travel Company","-26.18885609268"
"ACCD","Accolade Inc","-26.20498657117"
"AMT","American Tower Corp","-27.28441616004"
"AAN","Aarons Inc","-27.72011519609"
"ARCE","Arco Platform ","-27.78989706274"
"APTV","Aptiv PLC","-30.26228627063"
"ANAB","AnaptysBio Inc","-30.96146083773"
"AEO","American Eagle Outfitters Inc","-31.7474191585"
"ACCO","Acco Brands Corporation","-32.54248797446"
"ADBE","Adobe Systems Incorporated","-33.36065685487"
"ADT","ADT Inc","-35.65526965806"
"ASAI","Sendas Distribuidora SA","-35.94806728729"
"AQN","Algonquin Power & Utilities Corp","-36.68659510449"
"ARKO","Arko Corp","-38.60483891842"
"ADAP","Adaptimmune Therapeutics Plc","-39.49184725991"
"AMRC","Ameresco Inc","-43.40181250609"
"ALX","Alexanders Inc","-43.63891892837"
"AA","Alcoa Corp","-44.85461769365"
"AMAL","Amalgamated Bank","-45.23130437798"
"AMBA","Ambarella Inc","-46.2733856574"
"ALLY","Ally Financial Inc","-50.53467500588"
"ACET","Adicet Bio Inc","-51.49476235568"
"AG","First Majestic Silver Corp","-51.85550559318"
"ANGI","ANGI Homeservices Inc","-52.64323699514"
"ALCO","Alico Inc","-52.82384171291"
"ASB","Associated Banc-Corp","-55.26798650711"
"AOSL","Alpha and Omega Semiconductor Ltd","-55.93906060918"
"APPN","Appian Corp","-56.88984288392"
"AAP","Advance Auto Parts Inc","-57.19454917165"
"APP","Applovin Corp","-57.81097366051"
"ACHR","Archer Aviation Inc","-61.50839049151"
"AMRN","Amarin Corporation PLC","-61.72320718619"
"AFCG","AFC Gamma Inc","-65.25088768185"
"AKTS","Akoustis Technologies Inc","-66.83746002267"
"ARQT","Arcutis Biotherapeutics Inc","-67.85420588026"
"AMPS","Altus Power Inc","-68.20944287756"
"ALHC","Alignment Healthcare LLC","-69.15778026183"
"ACMR","Acm Research Inc","-69.33347472046"
"ALEC","Alector Inc","-71.68740280728"
"ALLO","Allogene Therapeutics Inc","-72.8298128858"
"AAT","American Assets Trust Inc","-72.90598765829"
"ACRS","Aclaris Therapeutics Inc","-73.09394898584"
"AMRX","Amneal Pharmaceuticals Inc Class A","-73.83859825308"
"ASAN","Asana Inc","-74.93739029374"
"AHT","Ashford Hospitality Trust Inc","-75.85626245505"
"AMED","Amedisys Inc","-76.32066335079"
"AGEN","Agenus Inc","-76.41745853541"
"AROW","Arrow Financial Corporation","-78.05127480809"
"ALLK","Allakos Inc","-80.72087858121"
"AHCO","Adapthealth Corp","-84.73704789521"
"ALTO","Alto Ingredients Inc","-85.13318279511"
"AMBP","Ardagh Metal Packaging SA","-87.3007036488"
"ALVR","Allovir Inc","-88.23368796684"
"ADPT","Adaptive Biotechnologies Corp","-92.79668105545"
"ABCL","Abcellera Biologics Inc","-93.86264123382"
"APPS","Digital Turbine Inc","-111.8862694267"
"AMCX","AMC Networks Inc","-112.1256896796"
"ANGO","AngioDynamics Inc","-115.5334037582"
"AMWL","American Well Corp","-118.5796480526"
"ARVN","Arvinas Inc","-121.8284251847"
"ADTN","ADTRAN Inc","-123.4958345487"
"APM","Aptorum Group Ltd Class A","-125.3510061988"
"AADI","Aadi Bioscience Inc","-130.1299104553"
"APEI","American Public Education Inc","-133.5650495904"
"ALIM","Alimera Sciences Inc","-134.4151194851"
"API","Agora Inc","-139.8221274941"
"ACGN","Aceragen Inc.","-163.361906401"
"AEVA","Aeva Technologies Inc","-176.4198882413"
"ADCT","ADC Therapeutics SA","-188.2796038898"
"APPH","Appharvest Inc","-203.6578964953"
"ACB","Aurora Cannabis Inc","-212.5116694057"
"AMTX","Aemetis Inc","-214.7478335628"
"AMRS","Amyris Inc","-216.2376672435"
"ARQQ","Arqit Quantum Inc","-233.7501311827"
"ADTX","Aditxt Inc. ","-384.7429311166"
"AGFY","Agrify Corp","-509.0376146208"
"ARVL","Arrival Vault USA Inc","-517.1426401926"
