"Symbol","Company Name","ADTValue","Beta","Weighted Score","Wtd Sortino","Wtd BullishVolume","Wtd PriceUp","TDI","TII","MFI","Weighted Score","30D Max Move %","2x Offset Weighted Score","DeltaWeightedScore %","Price last week","Price this week","Price move %"
"WINA","Winmark Corporation","10852768","87.45","70.386","99.5001","58.002","53.65459","59.131465","100","70.71299","70.386","2.12","65.373","7.67","329.96","349.37","5.88",""
"ODC","Oil-Dri Corporation Of America","109941045","46.3","70.306","90.5766","69.34","51.00271","83.52152","99.36034","57.95783","70.306","4.68","68.932","1.99","38.52","39.56","2.7",""
"AXSM","Axsome Therapeutics Inc","16868089","62.2","70.184","94.0334","67.065","49.45257","22.67666","20.31298","47.21316","70.184","15.65","68.642","2.25","67.75","74.12","9.4",""
"HURN","Huron Consulting Group Inc","176991869","18.65","70.153","93.6333","64.692","52.13402","95.444555","100","56.82542","70.153","5.3","68.139","2.96","80.37","83.15","3.46",""
"MRAM","Everspin Technologies Inc","264702233","50","70.083","70.2857","92.185","47.77729","46.4767","12.63519","46.69355","70.083","41.27","71.123","-1.46","7.74","8.55","10.47",""
"RVNC","Revance The","6286726","19.7","70.051","93.5862","69.35","47.21754","50","70.36389","58.22843","70.051","16.57","70.359","-0.44","30.91","31.06","0.49",""
"CLMB","Climb Global Solutions","47593253","70.75","70.047","99.8","61.304","49.03671","95.61724","100","58.96586","70.047","0.64","71.115","-1.5","48.21","48.14","-0.15",""
"AAON","AAON Inc","376125","100","69.979","97.9785","60.334","51.62552","97.3395","100","62.38968","69.979","5.26","67.735","3.31","89.92","91.58","1.85",""
"TNK","Teekay Tankers Ltd","276150","100","69.807","97.6961","58.717","53.00714","60.03539","100","60.28448","69.807","14.83","71.565","-2.46","38.22","37.79","-1.13",""
"ACLS","Axcelis Technologies Inc","653728","100","69.799","97.2304","58.786","53.38064","50","100","59.06967","69.799","34.6","71.291","-2.09","153","162.36","6.12",""
