[Stock_List]SymbolExchange	sortino_ratio_raw	sortino_ratio_normalised	ta_score	risk_score	combo_score	CQR
HSO.AX	0	0	0	0	0	6
HT1.AX	0	0	0	0	0	6
HVN.AX	0	0	0	0	0	7
HZN.AX	0	0	0	0	0	2
IAG.AX	0	0	0	0	0	3
IDR.AX	0	0	0	0	0	2
IEM.AX	0	0	0	0	0	0
IFL.AX	0	0	0	0	0	8
IFM.AX	0	0	0	0	0	2
IFN.AX	0	0	0	0	0	1
IGO.AX	0	0	0	0	0	3
IJH.AX	0	0	0	0	0	0
IJP.AX	0	0	0	0	0	0
IJR.AX	0	0	0	0	0	0
ILC.AX	0	0	0	0	0	0
ILU.AX	0	0	0	0	0	6
IMD.AX	0	0	0	0	0	2
IMF.AX	0	0	0	0	0	5
IMM.AX	0	0	0	0	0	9
INA.AX	0	0	0	0	0	3
IND.AX	0	0	0	0	0	0
INM.AX	0	0	0	0	0	0
IOF.AX	0	0	0	0	0	3
IPH.AX	0	0	0	0	0	7
IPL.AX	0	0	0	0	0	6
IRE.AX	0	0	0	0	0	8
IRI.AX	0	0	0	0	0	9
ISD.AX	0	0	0	0	0	10
ITW.AX	0	0	0	0	0	0
IVC.AX	0	0	0	0	0	7
IVV.AX	0	0	0	0	0	0
IZZ.AX	0	0	0	0	0	0
JBH.AX	0	0	0	0	0	0
JHC.AX	0	0	0	0	0	8
JHG.AX	0	0	0	0	0	0
JHX.AX	0	0	0	0	0	0
JIN.AX	0	0	0	0	0	2
JMS.AX	0	0	0	0	0	0
KAR.AX	0	0	0	0	0	10
KCN.AX	0	0	0	0	0	10
KGN.AX	0	0	0	0	0	4
KMD.AX	0	0	0	0	0	3
LCM.AX	0	0	0	0	0	10
LEP.AX	0	0	0	0	0	5
LLC.AX	0	0	0	0	0	0
LNG.AX	0	0	0	0	0	9
LNK.AX	0	0	0	0	0	8
LYC.AX	0	0	0	0	0	2
MAH.AX	0	0	0	0	0	9
MAY.AX	0	0	0	0	0	10
MCM.AX	0	0	0	0	0	10
MCP.AX	0	0	0	0	0	2
MCR.AX	0	0	0	0	0	7
MDL.AX	0	0	0	0	0	4
MFF.AX	0	0	0	0	0	1
MFG.AX	0	0	0	0	0	0
MGE.AX	0	0	0	0	0	0
MGR.AX	0	0	0	0	0	7
MGX.AX	0	0	0	0	0	2
MIN.AX	0	0	0	0	0	4
MLD.AX	0	0	0	0	0	9
MLT.AX	0	0	0	0	0	7
MLX.AX	0	0	0	0	0	9
MML.AX	0	0	0	0	0	8
MMS.AX	0	0	0	0	0	9
MND.AX	0	0	0	0	0	10
MNS.AX	0	0	0	0	0	9
MNY.AX	0	0	0	0	0	1
MOC.AX	0	0	0	0	0	9
MPL.AX	0	0	0	0	0	8
MQG.AX	0	0	0	0	0	0
MRM.AX	0	0	0	0	0	10
MSB.AX	0	0	0	0	0	10
MTS.AX	0	0	0	0	0	10
MXI.AX	0	0	0	0	0	7
MYO.AX	0	0	0	0	0	8
MYR.AX	0	0	0	0	0	10
MYX.AX	0	0	0	0	0	4
